team,28~32_avg,28,29~33_avg,29,30,31,32,33
SWA,2.06,2,2.13,2,2,2,4,2
LEI,2.13,2,2.26,2,2,4,2,2
WBA,2.23,2,2.45,2,3,3,3,2
BUR,2.26,2,2.52,2,3,4,2,2
LIV,2.29,2,2.61,2,4,2,3,3
WAT,2.39,2,2.81,2,4,4,2,3
EVE,2.42,2,2.9,3,2,3,5,4
BOU,2.52,2,3.03,3,4,2,2,2
SOU,2.55,3,2.13,2,2,2,3,4
TOT,2.71,3,2.42,2,3,2,4,3
HUD,2.77,2,3.55,5,2,2,2,2
BHA,2.87,2,3.74,4,3,5,3,2
STK,2.97,3,2.97,2,5,2,4,4
NEW,3.23,3,3.45,4,2,5,2,3
WHU,3.29,4,2.58,2,3,4,2,4
ARS,3.61,5,2.13,2,2,3,2,2
MUN,3.61,4,3.26,3,4,3,2,5
MCI,3.71,4,3.42,4,3,2,3,4
CRY,3.87,4,3.71,4,4,2,4,3
CHE,3.94,4,3.81,5,2,3,4,2
