team,21~24_avg,21,22~25_avg,22,23~26_avg,23,24,25,26
BUR,2.27,2,2.53,2,3.13,3,4,2,3
CHE,2.33,2,2.67,2,3.53,4,3,2,5
HUD,2.33,2,2.8,2,3.73,4,3,4,4
ARS,2.53,2,3.27,3,3.47,4,2,5,2
EVE,2.53,3,2.07,2,2.2,2,2,3,3
TOT,2.6,2,3.2,4,2.33,2,3,2,3
WAT,2.73,3,2.47,2,3.0,2,5,3,3
WHU,2.73,2,3.6,4,3.07,3,3,4,2
MUN,2.8,2,3.67,5,2.13,2,2,3,2
LEI,2.87,3,2.8,2,3.8,3,5,4,5
WOL,3.0,2,4.07,5,2.93,3,3,3,2
BOU,3.07,3,3.07,3,3.27,3,4,2,5
CAR,3.2,4,2.27,2,2.53,2,4,2,2
CRY,3.2,3,3.33,3,3.67,5,2,2,3
BHA,3.33,3,3.67,4,3.2,4,2,3,2
FUL,3.33,4,2.53,2,3.2,4,2,2,4
MCI,3.33,4,2.67,3,2.4,2,2,4,4
SOU,3.47,4,2.8,3,2.53,3,2,2,2
NEW,3.73,4,3.53,4,3.0,2,4,5,3
LIV,3.93,5,2.73,3,2.4,2,3,3,2
