W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,123023
o,P,Pogba           ,MUN ,M,8.2 ,78 ,0.45 ,0.49 ,5.7,6.0 ,6.9 ,25.5,326923,21 ,      
m,R,Jiménez         ,WOL ,F,6.3 ,90 ,0.43 ,0.44 ,4.7,4.8 ,5.0 ,21.2,85088 ,7  ,      
 ,M,Salah           ,LIV ,M,13.3,92 ,0.41 ,0.42 ,7.5,7.6 ,9.4 ,40.9,56691 ,2  ,      
m,L,Digne           ,EVE ,D,5.2 ,84 ,0.4  ,0.44 ,4.1,4.3 ,5.0 ,12.1,52025 ,7  ,      
 ,N,Etheridge       ,CAR ,G,4.5 ,100,0.53 ,0.53 ,4.4,4.4 ,6.5 ,6.5 ,48959 ,12 ,      
 ,R,Firmino         ,LIV ,F,9.1 ,84 ,0.3  ,0.31 ,4.7,4.8 ,5.9 ,15.8,48034 ,5  ,      
m,D,David Luiz      ,CHE ,D,5.8 ,95 ,0.48 ,0.48 ,4.8,4.8 ,5.6 ,10.8,45178 ,7  ,      
o,M,Doherty         ,WOL ,D,5.2 ,98 ,0.46 ,0.46 ,4.4,4.4 ,4.3 ,23.8,39473 ,3  ,      
 ,T,Alexander-Arnold,LIV ,D,5.1 ,73 ,0.73 ,0.73 ,5.7,5.7 ,3.0 ,19.6,31648 ,3  ,      
m,M,Rashford        ,MUN ,F,7.2 ,60 ,0.26 ,0.39 ,3.9,4.8 ,6.3 ,20.1,29547 ,2  ,      
 ,W,Boly            ,WOL ,D,4.6 ,100,0.33 ,0.33 ,3.5,3.5 ,3.8 ,5.0 ,25861 ,9  ,      
 ,V,Camarasa        ,CAR ,M,4.6 ,93 ,0.3  ,0.3  ,3.4,3.4 ,4.8 ,2.4 ,25531 ,18 ,      
 ,N,Kanté           ,CHE ,M,4.9 ,99 ,0.31 ,0.31 ,3.5,3.5 ,4.7 ,17.2,25235 ,2  ,      
o,F,Felipe Anderson ,WHU ,M,7.4 ,93 ,0.43 ,0.43 ,5.2,5.2 ,7.0 ,20.4,22152 ,2  ,      
m,E,Hazard          ,CHE ,M,11.1,83 ,0.47 ,0.52 ,7.2,7.8 ,7.6 ,38.3,21799 ,1  ,      
