W,I,web_name        ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf,123023
 ,S,Morrison        ,CAR ,D,4.7,99 ,0.19 ,0.17 ,2.9,2.8 ,3.5 ,0.6 ,1789  ,5 ,      
 ,B,Davies          ,TOT ,D,5.6,65 ,0.11 ,0.16 ,2.6,2.9 ,2.6 ,2.5 ,-3331 ,-2,      
 ,C,Coady           ,WOL ,D,4.5,100,0.16 ,0.16 ,2.7,2.7 ,2.7 ,0.6 ,657   ,2 ,      
 ,R,Bennett         ,WOL ,D,4.1,95 ,0.15 ,0.15 ,2.6,2.6 ,2.3 ,10.5,6545  ,1 ,      
 ,C,Löwe            ,HUD ,D,4.4,69 ,0.02 ,0.14 ,2.1,2.6 ,0.6 ,0.1 ,-36   ,-1,      
 ,P,Zabaleta        ,WHU ,D,4.3,69 ,0.14 ,0.14 ,2.6,2.6 ,1.9 ,2.4 ,-6514 ,-4,      
 ,S,Steve Cook      ,BOU ,D,4.5,100,0.13 ,0.13 ,2.6,2.6 ,1.1 ,6.9 ,-8508 ,-2,      
 ,W,Morgan          ,LEI ,D,4.5,72 ,0.13 ,0.13 ,2.6,2.6 ,2.7 ,1.1 ,-3872 ,-6,      
 ,C,Cathcart        ,WAT ,D,4.5,100,0.13 ,0.13 ,2.6,2.6 ,1.9 ,0.9 ,-836  ,-2,      
 ,K,Zouma           ,EVE ,D,5.0,65 ,0.06 ,0.12 ,2.3,2.6 ,1.1 ,0.2 ,-33   ,0 ,      
 ,S,Coleman         ,EVE ,D,5.2,78 ,0.1  ,0.1  ,2.5,2.5 ,0.9 ,1.2 ,-1696 ,-2,      
 ,B,Mee             ,BUR ,D,4.7,100,0.11 ,0.09 ,2.5,2.4 ,2.4 ,1.9 ,-133  ,0 ,      
 ,B,Ecuele Manga    ,CAR ,D,4.4,100,0.11 ,0.09 ,2.5,2.4 ,3.3 ,0.2 ,731   ,6 ,      
 ,A,Young           ,MUN ,D,5.7,72 ,0.07 ,0.09 ,2.4,2.5 ,2.4 ,1.9 ,-1596 ,-1,      
 ,D,Rice            ,WHU ,D,4.4,82 ,0.05 ,0.09 ,2.2,2.4 ,2.9 ,0.8 ,961   ,2 ,      
 ,L,Shaw            ,MUN ,D,4.9,74 ,0.08 ,0.08 ,2.4,2.4 ,0.9 ,6.0 ,4372  ,1 ,      
 ,F,Hadergjonaj     ,HUD ,D,4.4,78 ,0.02 ,0.05 ,2.1,2.2 ,1.3 ,0.1 ,-6    ,0 ,      
 ,T,Kongolo         ,HUD ,D,4.3,78 ,0.05 ,0.05 ,2.2,2.2 ,2.1 ,0.3 ,22    ,0 ,      
 ,W,Hoedt           ,SOU ,D,4.2,65 ,0.05 ,0.05 ,2.2,2.2 ,0.0 ,0.2 ,-164  ,-1,      
 ,C,Taylor          ,BUR ,D,4.4,90 ,0.0  ,0.02 ,2.0,2.1 ,2.4 ,0.3 ,1039  ,6 ,      
 ,V,Lindelöf        ,MUN ,D,4.8,75 ,0.0  ,0.02 ,2.0,2.1 ,1.0 ,1.3 ,1421  ,2 ,      
 ,D,Yedlin          ,NEW ,D,4.5,83 ,0.02 ,0.02 ,2.1,2.1 ,0.0 ,1.0 ,-1161 ,-2,      
 ,I,Diop            ,WHU ,D,4.3,90 ,0.02 ,0.02 ,2.1,2.1 ,2.6 ,0.9 ,-47   ,0 ,      
o,C,Chambers        ,FUL ,D,4.2,59 ,-0.1 ,0.0  ,1.6,2.0 ,2.4 ,0.9 ,-998  ,-2,      
 ,M,Lowton          ,BUR ,D,4.6,65 ,-0.11,-0.11,1.5,1.5 ,0.1 ,0.3 ,-265  ,-1,      
 ,D,Odoi            ,FUL ,D,4.4,88 ,-0.14,-0.11,1.4,1.5 ,2.4 ,0.1 ,-3    ,0 ,      
