W,I,web_name       ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,123023
o,H,Son            ,TOT ,M,8.8 ,51 ,0.47 ,0.72 ,6.1,8.3 ,9.6 ,16.9,8058  ,1  ,      
 ,L,Sané           ,MCI ,M,9.5 ,60 ,0.36 ,0.62 ,5.4,7.9 ,4.0 ,11.0,-96522,-14,      
m,E,Hazard         ,CHE ,M,11.1,83 ,0.47 ,0.52 ,7.2,7.8 ,7.6 ,38.3,21799 ,1  ,      
 ,M,Salah          ,LIV ,M,13.3,92 ,0.41 ,0.42 ,7.5,7.6 ,9.4 ,40.9,56691 ,2  ,      
 ,R,Sterling       ,MCI ,M,11.3,77 ,0.46 ,0.46 ,7.2,7.2 ,3.9 ,11.8,-75921,-11,      
o,A,Martial        ,MUN ,M,7.3 ,53 ,0.48 ,0.7  ,5.5,7.1 ,3.0 ,8.1 ,-12372,-3 ,      
 ,S,Mané           ,LIV ,M,9.5 ,83 ,0.39 ,0.42 ,5.7,6.0 ,3.7 ,19.5,-4959 ,0  ,      
o,P,Pogba          ,MUN ,M,8.2 ,78 ,0.45 ,0.49 ,5.7,6.0 ,6.9 ,25.5,326923,21 ,      
o,R,Richarlison    ,EVE ,M,7.0 ,82 ,0.47 ,0.54 ,5.3,5.8 ,4.7 ,30.2,-40474,-2 ,      
 ,D,David Silva    ,MCI ,M,8.5 ,66 ,0.38 ,0.45 ,5.2,5.8 ,2.4 ,3.8 ,6440  ,3  ,      
 ,G,Sigurdsson     ,EVE ,M,7.3 ,90 ,0.38 ,0.45 ,4.8,5.3 ,3.6 ,6.5 ,-11138,-3 ,      
 ,G,Deulofeu       ,WAT ,M,5.5 ,45 ,0.35 ,0.58 ,3.9,5.2 ,4.6 ,1.8 ,10829 ,10 ,      
o,F,Felipe Anderson,WHU ,M,7.4 ,93 ,0.43 ,0.43 ,5.2,5.2 ,7.0 ,20.4,22152 ,2  ,      
 ,R,Fraser         ,BOU ,M,6.1 ,88 ,0.46 ,0.51 ,4.8,5.1 ,3.6 ,21.8,-63088,-5 ,      
 ,C,Eriksen        ,TOT ,M,9.3 ,64 ,0.24 ,0.33 ,4.2,5.1 ,5.6 ,6.1 ,-9411 ,-3 ,      
 ,L,Lucas Moura    ,TOT ,M,6.9 ,74 ,0.35 ,0.45 ,4.4,5.1 ,4.0 ,8.6 ,-15227,-3 ,      
m,R,Pereyra        ,WAT ,M,6.3 ,96 ,0.44 ,0.49 ,4.8,5.1 ,5.1 ,17.1,2551  ,0  ,      
 ,X,Shaqiri        ,LIV ,M,7.1 ,45 ,0.41 ,0.42 ,4.9,5.0 ,5.3 ,3.5 ,-2037 ,-1 ,      
 ,B,Bernardo Silva ,MCI ,M,7.5 ,88 ,0.37 ,0.4  ,4.8,5.0 ,5.0 ,6.5 ,995   ,0  ,      
 ,A,Herrera        ,MUN ,M,5.0 ,41 ,0.26 ,0.6  ,3.3,5.0 ,5.3 ,1.3 ,7024  ,9  ,      
 ,J,Maddison       ,LEI ,M,6.8 ,82 ,0.29 ,0.37 ,4.0,4.5 ,4.1 ,5.2 ,-12088,-4 ,      
 ,J,Gudmundsson    ,BUR ,M,5.6 ,70 ,0.34 ,0.43 ,3.9,4.4 ,1.6 ,1.5 ,-575  ,-1 ,      
 ,J,Lingard        ,MUN ,M,6.9 ,55 ,0.23 ,0.35 ,3.6,4.4 ,6.1 ,7.5 ,-28794,-6 ,      
 ,D,Brooks         ,BOU ,M,5.0 ,70 ,0.4  ,0.44 ,4.0,4.2 ,3.9 ,3.8 ,20657 ,9  ,      
