W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,110921
o,C,Wilson,BOU,F,0.65,0.63,6.4,6.3,7.0,967,6.8,34.7,252298,12,
m,M,Arnautovic,WHU,F,0.51,0.39,5.6,4.8,4.3,719,7.1,21.5,216919,17,
,A,Martial,MUN,M,0.59,0.77,6.4,7.8,11.3,528,7.5,9.9,139115,24,
o,R,Richarlison,EVE,M,0.61,0.59,6.2,6.1,7.7,747,6.9,26.1,108286,7,
m,F,Felipe Anderson,WHU,M,0.28,0.14,3.9,3.0,5.7,900,6.9,4.2,101249,41,
m,S,Mané,LIV,M,0.45,0.51,6.5,7.0,5.7,880,9.9,35.0,99378,5,
,R,Jiménez,WOL,F,0.44,0.32,4.5,3.8,5.0,895,5.7,8.4,65687,13,
m,R,Sterling,MCI,M,0.59,0.45,8.6,7.0,9.0,768,11.1,8.1,60716,13,
o,R,Fraser,BOU,M,0.62,0.69,5.8,6.2,5.3,932,6.1,24.7,58086,4,
m,B,Chilwell,LEI,D,0.29,0.12,3.5,2.6,6.0,990,5.1,2.0,52402,45,
m,S,Duffy,BHA,D,0.48,0.54,4.2,4.5,4.7,990,4.6,7.0,51842,13,
,A,Lacazette,ARS,F,0.34,0.47,5.3,6.6,3.3,805,9.7,14.0,44712,5,
,V,van Dijk,LIV,D,0.34,0.37,4.0,4.2,4.0,954,5.9,16.1,41961,4,
m,G,Murray,BHA,F,0.38,0.55,4.5,5.6,3.3,842,6.6,5.3,41400,13,
,P,Aubameyang,ARS,F,0.36,0.23,5.9,4.5,7.3,760,10.9,16.1,39406,4,
,J,Milner,LIV,M,0.34,0.41,3.9,4.3,4.7,769,5.6,4.7,38023,14,
m,M,Ryan,BHA,G,0.48,0.54,4.2,4.5,7.3,990,4.6,6.2,36173,10,
,E,Lamela,TOT,M,0.52,0.69,5.4,6.5,6.7,342,6.5,1.5,35773,41,
o,R,Barkley,CHE,M,0.43,1.08,4.6,8.5,8.3,451,6.0,9.8,33427,6,
o,A,Robertson,LIV,D,0.61,0.67,5.9,6.3,3.3,900,6.4,30.3,33015,2,
,Á,Morata,CHE,F,0.22,0.14,3.9,3.2,6.7,601,8.7,2.8,31585,19,
,L,Dunk,BHA,D,0.25,0.23,3.1,3.0,6.3,829,4.4,2.1,29721,24,
,H,Bellerín,ARS,D,0.28,0.35,3.5,3.9,3.3,945,5.4,10.4,28857,5,
m,D,Brooks,BOU,M,0.35,0.39,3.8,4.0,3.7,723,5.1,2.7,26018,16,
m,J,Gudmundsson,BUR,M,0.48,0.52,4.9,5.1,3.3,824,6.0,3.4,22668,11,
m,F,Kiko Femenía,WAT,D,0.19,0.93,2.8,6.0,6.7,414,4.3,1.8,21234,20,
,A,Alisson,LIV,G,0.44,0.47,4.5,4.7,3.7,990,5.7,20.2,20006,2,
o,M,Alonso,CHE,D,0.73,0.74,7.1,7.2,6.0,990,7.0,47.2,19345,1,
m,R,Pereyra,WAT,M,0.5,0.55,5.2,5.5,7.0,968,6.4,20.0,17211,1,
