team,12~15_avg,12,13~16_avg,13,14~17_avg,14,15,16,17
BHA,2.27,2,2.53,3,2.13,2,2,2,4
HUD,2.33,2,2.8,3,2.53,2,3,4,2
LIV,2.4,2,2.87,3,2.8,3,2,3,4
LEI,2.4,2,2.93,3,2.8,3,2,4,2
CAR,2.47,2,2.93,3,2.87,3,3,2,3
NEW,2.6,3,2.2,2,2.4,2,3,3,2
BUR,2.67,3,2.27,2,2.67,2,4,2,4
WHU,2.8,2,3.6,5,2.0,2,2,2,2
TOT,2.8,2,3.67,4,3.2,4,2,3,2
WAT,2.87,2,3.8,4,3.47,3,5,3,2
SOU,2.93,3,2.8,2,3.73,4,4,2,4
BOU,2.93,2,4.0,4,3.93,5,2,4,3
CHE,3.13,3,3.4,4,2.73,2,3,5,3
WOL,3.2,4,2.27,2,2.6,2,4,2,3
ARS,3.2,3,3.33,3,3.6,4,4,2,2
EVE,3.47,4,2.87,2,3.93,5,2,3,5
MCI,3.53,4,3.07,3,3.13,3,3,4,3
CRY,3.67,4,3.27,4,2.47,2,3,3,3
MUN,3.73,5,2.27,2,2.73,2,4,2,5
FUL,3.93,5,2.8,2,3.6,4,3,4,2
