O,I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
,J,Henderson,LIV,M,0.29,32,9,3.6,810,90.0,5.5,2.0
x,R,Elliot,NEW,G,0.38,40,11,3.6,990,90.0,4.2,26.6
,M,Ritchie,NEW,M,0.27,40,11,3.6,975,88.0,5.9,4.1
,A,Mawson,SWA,D,0.32,40,11,3.6,990,90.0,5.0,1.3
,H,Bellerín,ARS,D,0.25,38,11,3.5,990,90.0,5.9,9.6
,G,Xhaka,ARS,M,0.27,38,11,3.5,957,87.0,5.5,10.6
,J,Tarkowski,BUR,D,0.33,38,11,3.5,990,90.0,4.5,0.6
x,K,Naughton,SWA,D,0.33,39,11,3.5,987,89.0,4.6,5.5
x,C,Daniels,BOU,D,0.29,37,11,3.4,990,90.0,4.8,9.7
,B,Bruno,BHA,D,0.31,34,10,3.4,826,82.0,4.5,0.5
,N,Kanté,CHE,M,0.29,27,8,3.4,720,90.0,4.9,12.0
,C,Löwe,HUD,D,0.31,37,11,3.4,771,70.0,4.5,3.9
,C,Atsu,NEW,M,0.27,37,11,3.4,913,83.0,5.1,3.7
,F,Kiko Femenía,WAT,D,0.31,34,10,3.4,853,85.0,4.5,4.7
,A,Ayew,WHU,M,0.2,34,10,3.4,592,59.0,6.9,1.3
,A,Hegazi,WBA,D,0.3,37,11,3.4,956,86.0,4.6,20.3
~,~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.36,~~~,~~~~~,~~~~~,~
,M,Özil,ARS,M,0.14,30,9,3.3,657,73.0,9.3,1.9
,A,Begovic,BOU,G,0.29,36,11,3.3,990,90.0,4.5,3.9
,A,Rüdiger,CHE,D,0.22,30,9,3.3,744,82.0,5.9,1.9
,S,Mignolet,LIV,G,0.27,33,10,3.3,900,90.0,4.9,1.5
,R,Bertrand,SOU,D,0.24,36,11,3.3,985,89.0,5.4,9.2
,F,Fernández,SWA,D,0.29,36,11,3.3,990,90.0,4.5,3.2
,T,Bakayoko,CHE,M,0.25,33,10,3.3,762,76.0,5.1,4.0
,J,Hart,WHU,G,0.3,36,11,3.3,990,90.0,4.4,8.6
,R,Brady,BUR,M,0.22,35,11,3.2,977,88.0,5.5,1.7
,A,Moreno,LIV,D,0.27,29,9,3.2,810,90.0,4.5,3.9
,A,Knockaert,BHA,M,0.19,34,11,3.1,734,66.0,5.7,0.9
,C,Fàbregas,CHE,M,0.16,31,10,3.1,797,79.0,6.9,4.8
,C,Cédric,SOU,D,0.22,34,11,3.1,982,89.0,4.9,7.8
,M,Gabbiadini,SOU,F,0.17,34,11,3.1,660,60.0,6.6,2.8
,T,Cleverley,WAT,M,0.22,34,11,3.1,963,87.0,5.0,1.3
,B,Foster,WBA,G,0.24,31,10,3.1,900,90.0,4.5,12.2
,A,Nyom,WBA,D,0.22,28,9,3.1,676,75.0,5.0,1.7
,J,Manquillo,NEW,D,0.25,28,9,3.1,810,90.0,4.4,1.4
,N,Matic,MUN,M,0.2,33,11,3.0,990,90.0,5.0,14.2
,R,Shawcross,STK,D,0.21,18,6,3.0,540,90.0,4.8,0.8
,C,Dawson,WBA,D,0.2,27,9,3.0,810,90.0,4.9,1.8
,M,Phillips,WBA,M,0.18,30,10,3.0,538,53.0,5.7,0.8
,A,Cresswell,WHU,D,0.2,30,10,3.0,774,77.0,5.0,1.0
,P,Obiang,WHU,M,0.22,21,7,3.0,509,72.0,4.5,1.4
,M,Antonio,WHU,M,0.14,27,9,3.0,662,73.0,7.4,0.3
,G,Krychowiak,WBA,M,0.2,24,8,3.0,678,84.0,5.0,0.4
,L,Koscielny,ARS,D,0.15,23,8,2.9,714,89.0,6.0,0.9
,C,Schindler,HUD,D,0.2,32,11,2.9,956,86.0,4.6,3.5
,G,Wijnaldum,LIV,M,0.13,26,9,2.9,757,84.0,6.7,2.5
,D,Fletcher,STK,M,0.18,32,11,2.9,990,90.0,4.9,0.8
,J,Ayew,SWA,F,0.18,32,11,2.9,968,88.0,5.1,4.1
,J,Holebas,WAT,D,0.18,29,10,2.9,900,90.0,5.0,0.7
,M,Suttner,BHA,D,0.2,20,7,2.9,630,90.0,4.4,0.5
,H,Gomes,WAT,G,0.18,31,11,2.8,958,87.0,4.5,2.1
,W,Reid,WHU,D,0.16,22,8,2.8,720,90.0,4.9,0.8
,J,Joselu,NEW,F,0.15,28,10,2.8,713,71.0,5.5,1.0
,N,Aké,BOU,D,0.14,30,11,2.7,982,89.0,4.9,3.8
,L,Dunk,BHA,D,0.16,30,11,2.7,990,90.0,4.4,2.0
,S,Arfield,BUR,M,0.14,19,7,2.7,496,70.0,4.9,0.2
,W,Hennessey,CRY,G,0.16,19,7,2.7,630,90.0,4.4,1.0
,D,Calvert-Lewin,EVE,F,0.14,30,11,2.7,723,65.0,5.0,2.2
,T,Ince,HUD,M,0.12,30,11,2.7,990,90.0,5.7,0.6
,A,Young,MUN,M,0.14,19,7,2.7,617,88.0,4.9,0.4
,J,Butland,STK,G,0.14,30,11,2.7,990,90.0,5.0,3.0
,C,Kouyaté,WHU,M,0.14,24,9,2.7,694,77.0,5.0,0.5
,S,Steve Cook,BOU,D,0.13,23,9,2.6,669,74.0,4.8,0.8
,J,King,BOU,F,0.09,23,9,2.6,798,88.0,7.0,1.3
,D,Stephens,BHA,M,0.13,29,11,2.6,990,90.0,4.5,1.7
,S,March,BHA,M,0.12,29,11,2.6,716,65.0,5.0,0.5
,J,Gudmundsson,BUR,M,0.12,26,10,2.6,614,61.0,5.0,0.1
,A,Gray,WAT,F,0.1,29,11,2.6,640,58.0,6.3,1.3
,G,Barry,WBA,M,0.13,26,10,2.6,862,86.0,4.5,1.5
,D,Yedlin,NEW,D,0.14,18,7,2.6,630,90.0,4.4,0.6
,A,Pérez,NEW,F,0.11,29,11,2.6,838,76.0,5.4,1.1
,D,Tadic,SOU,M,0.09,29,11,2.6,892,81.0,6.4,2.1
,N,Redmond,SOU,M,0.1,29,11,2.6,785,71.0,6.2,2.6
,T,Carroll,SWA,M,0.13,29,11,2.6,946,86.0,4.5,6.5
,D,Pröpper,BHA,M,0.11,29,11,2.6,990,90.0,5.4,0.1
,M,Merino,NEW,M,0.12,23,9,2.6,598,66.0,5.0,0.2
,S,Defour,BUR,M,0.09,28,11,2.5,929,84.0,5.5,0.3
,W,Willian,CHE,M,0.07,28,11,2.5,573,52.0,6.7,6.8
,J,Pickford,EVE,G,0.1,27,11,2.5,990,90.0,4.9,6.4
,L,Baines,EVE,D,0.09,28,11,2.5,983,89.0,5.8,5.1
,E,Kachunga,HUD,M,0.08,27,11,2.5,817,74.0,5.9,0.2
,D,Simpson,LEI,D,0.11,28,11,2.5,973,88.0,4.5,3.9
,W,Ndidi,LEI,M,0.1,27,11,2.5,990,90.0,4.9,0.4
,C,Kabasele,WAT,D,0.11,25,10,2.5,806,80.0,4.5,0.2
,J,Rodriguez,WBA,F,0.09,28,11,2.5,977,88.0,5.6,0.8
,P,Zabaleta,WHU,D,0.1,25,10,2.5,871,87.0,4.9,1.8
,S,Francis,BOU,D,0.09,22,9,2.4,754,83.0,4.4,1.3
,J,Cork,BUR,M,0.09,26,11,2.4,990,90.0,4.5,3.2
,K,Zouma,STK,D,0.07,24,10,2.4,900,90.0,5.5,2.3
,T,Smith,HUD,D,0.08,24,10,2.4,844,84.0,4.9,0.3
,W,Morgan,LEI,D,0.09,26,11,2.4,990,90.0,4.5,2.7
,E,Can,LIV,M,0.08,22,9,2.4,704,78.0,4.9,5.5
,M,Lemina,SOU,M,0.08,17,7,2.4,572,81.0,5.0,0.2
x,R,Loftus-Cheek,CRY,M,0.07,16,7,2.3,540,77.0,4.5,5.3
