team,18~21_avg,18,19~22_avg,19,20~23_avg,20,21,22,23
MUN,2.13,2,2.4,2,2.8,3,2,4,2
FUL,2.4,2,2.8,3,2.67,2,4,2,4
MCI,2.4,2,2.87,3,2.67,2,4,3,2
HUD,2.53,2,3.07,4,2.2,2,2,2,5
SOU,2.53,2,3.13,2,4.33,5,4,3,3
WHU,2.53,3,2.13,2,2.33,2,2,4,3
ARS,2.67,2,3.4,3,3.87,5,2,3,4
CHE,2.8,3,2.53,3,2.13,2,2,2,4
BOU,2.87,2,3.8,4,3.47,4,3,3,2
TOT,2.93,3,2.93,3,2.8,3,2,4,2
LIV,3.0,3,3.0,2,4.0,4,5,3,2
NEW,3.07,2,4.27,5,3.33,3,4,4,2
WAT,3.13,3,3.2,4,2.27,2,3,2,2
BHA,3.27,3,3.6,4,3.2,3,3,4,4
EVE,3.27,4,2.47,2,2.93,3,3,3,2
BUR,3.33,4,2.53,3,2.07,2,2,2,3
CAR,3.33,4,2.53,2,3.07,3,4,2,2
WOL,3.33,4,2.73,2,3.53,4,2,5,3
CRY,3.93,5,2.73,2,3.67,4,3,3,5
LEI,3.93,4,3.73,5,2.33,2,3,2,3
