team,18~22_avg,18,19~23_avg,19,20,21,22,23
HUD,2.03,2,2.06,2,2,2,3,2
WHU,2.06,2,2.13,2,2,2,4,2
WAT,2.1,2,2.19,2,2,2,5,2
STK,2.13,2,2.32,2,2,4,2,4
BHA,2.26,2,2.52,2,4,2,2,2
MUN,2.29,2,2.58,3,2,2,3,2
CHE,2.32,2,2.65,3,2,2,4,2
LIV,2.55,2,3.19,4,2,2,3,5
ARS,2.58,2,3.16,4,2,2,4,2
EVE,2.58,2,3.23,4,2,2,4,4
LEI,2.65,2,3.35,4,2,4,2,4
BUR,2.84,2,3.68,4,4,2,4,2
SWA,2.84,3,2.65,2,4,2,4,2
CRY,2.97,3,2.9,2,4,5,2,2
MCI,3.03,4,2.06,2,2,2,2,4
WBA,3.16,4,2.26,2,2,4,2,2
NEW,3.42,4,2.77,2,5,2,2,2
SOU,3.42,4,2.77,2,4,4,2,2
BOU,3.81,4,3.61,5,2,2,2,4
TOT,3.81,5,2.52,3,2,2,2,2
