O,I,web_name        ,team,T,VA/M ,VA/ML,pt,g ,p/g,p/gl,min ,m/g,price,%   ,txn    ,121517
 ,E,Mangala         ,MCI ,D,0.0  ,0.2  ,12,6 ,2.0,3.0 ,290 ,48 ,5.0  ,0.2 ,486    ,      
 ,D,Sánchez         ,TOT ,D,0.17 ,0.2  ,36,12,3.0,3.2 ,952 ,79 ,6.0  ,0.4 ,-1293  ,      
 ,T,Alexander-Arnold,LIV ,D,0.19 ,0.19 ,17,6 ,2.8,2.8 ,529 ,88 ,4.2  ,1.2 ,1084   ,      
 ,M,Britos          ,WAT ,D,0.05 ,0.18 ,20,9 ,2.2,2.8 ,704 ,78 ,4.4  ,0.8 ,-1322  ,      
 ,W,Reid            ,WHU ,D,0.17 ,0.17 ,36,13,2.8,2.8 ,1156,89 ,4.8  ,0.7 ,-699   ,      
 ,N,Aké             ,BOU ,D,0.16 ,0.16 ,48,17,2.8,2.8 ,1522,90 ,4.9  ,3.9 ,-3540  ,      
 ,L,Baines          ,EVE ,D,0.14 ,0.16 ,36,13,2.8,2.9 ,1099,85 ,5.7  ,3.7 ,-5404  ,      
 ,J,Collins         ,WHU ,D,0.16 ,0.16 ,8 ,3 ,2.7,2.7 ,237 ,79 ,4.3  ,0.1 ,-66    ,      
 ,R,Shawcross       ,STK ,D,0.15 ,0.15 ,32,12,2.7,2.7 ,1080,90 ,4.8  ,0.9 ,1200   ,      
 ,K,Gibbs           ,WBA ,D,0.12 ,0.14 ,36,14,2.6,2.7 ,1186,85 ,5.0  ,0.4 ,298    ,      
 ,J,Holebas         ,WAT ,D,0.1  ,0.14 ,32,13,2.5,2.7 ,1040,80 ,4.9  ,0.5 ,560    ,      
 ,C,Cédric          ,SOU ,D,0.13 ,0.13 ,39,15,2.6,2.6 ,1338,89 ,4.8  ,3.9 ,-7073  ,      
 ,V,Kompany         ,MCI ,D,0.07 ,0.12 ,17,7 ,2.4,2.7 ,574 ,82 ,5.8  ,2.0 ,-3311  ,      
 ,V,Lindelöf        ,MUN ,D,0.02 ,0.12 ,15,7 ,2.1,2.6 ,473 ,68 ,4.9  ,1.3 ,-3787  ,      
 ,P,Zabaleta        ,WHU ,D,0.12 ,0.12 ,42,16,2.6,2.6 ,1411,88 ,4.9  ,1.7 ,3482   ,      
 ,K,Zouma           ,STK ,D,0.11 ,0.11 ,42,16,2.6,2.6 ,1415,88 ,5.5  ,2.2 ,-6365  ,      
 ,D,Simpson         ,LEI ,D,0.11 ,0.11 ,42,17,2.5,2.5 ,1513,89 ,4.5  ,4.0 ,1870   ,      
 ,C,Mbemba          ,NEW ,D,0.1  ,0.1  ,17,7 ,2.4,2.4 ,588 ,84 ,4.0  ,10.7,-19022 ,      
 ,W,Morgan          ,LEI ,D,0.09 ,0.09 ,41,17,2.4,2.4 ,1530,90 ,4.5  ,3.0 ,1751   ,      
 ,A,Ogbonna         ,WHU ,D,0.09 ,0.09 ,29,12,2.4,2.4 ,1080,90 ,4.3  ,1.7 ,32598  ,      
 ,A,Masuaku         ,WHU ,D,0.05 ,0.09 ,26,12,2.2,2.4 ,711 ,59 ,4.4  ,0.6 ,10720  ,      
 ,J,Manquillo       ,NEW ,D,0.09 ,0.09 ,33,14,2.4,2.4 ,1260,90 ,4.4  ,1.2 ,-2455  ,      
 ,T,Smith           ,HUD ,D,0.08 ,0.08 ,33,14,2.4,2.4 ,1204,86 ,4.8  ,0.3 ,-182   ,      
 ,J,Evans           ,WBA ,D,0.06 ,0.08 ,32,14,2.3,2.4 ,1201,86 ,4.9  ,0.7 ,-161   ,      
 ,S,Francis         ,BOU ,D,-0.02,0.07 ,26,14,1.9,2.3 ,1162,83 ,4.4  ,1.1 ,-1767  ,      
 ,F,Hadergjonaj     ,HUD ,D,0.04 ,0.07 ,13,6 ,2.2,2.3 ,315 ,52 ,4.5  ,0.0 ,24     ,      
 ,G,Bong            ,BHA ,D,0.07 ,0.05 ,18,8 ,2.3,2.2 ,720 ,90 ,4.4  ,0.1 ,-96    ,      
 ,J,Tomkins         ,CRY ,D,-0.02,0.05 ,15,8 ,1.9,2.2 ,592 ,74 ,4.3  ,0.4 ,-120   ,      
 ,V,van Dijk        ,SOU ,D,0.02 ,0.04 ,25,12,2.1,2.2 ,993 ,83 ,5.4  ,1.9 ,-3420  ,      
 ,L,Dunk            ,BHA ,D,0.02 ,0.02 ,36,17,2.1,2.1 ,1530,90 ,4.4  ,2.6 ,-1198  ,      
 ,W,Hoedt           ,SOU ,D,0.02 ,0.02 ,17,8 ,2.1,2.1 ,720 ,90 ,5.0  ,0.0 ,-115   ,      
