O,I,web_name     ,team,T,VA/M ,VA/ML,pt,g ,p/g,p/gl,min ,m/g,price,%   ,txn    ,121517
 ,S,Agüero       ,MCI ,F,0.44 ,0.48 ,85,12,7.1,7.6 ,951 ,79 ,11.6 ,16.7,-14847 ,      
 ,C,Austin       ,SOU ,F,0.18 ,0.81 ,44,14,3.1,7.0 ,489 ,35 ,6.2  ,4.5 ,-2579  ,      
x,O,Niasse       ,EVE ,F,0.61 ,1.02 ,40,8 ,5.0,7.0 ,422 ,53 ,4.9  ,4.5 ,-24104 ,      
 ,G,Jesus        ,MCI ,F,0.29 ,0.4  ,75,15,5.0,6.1 ,874 ,58 ,10.3 ,11.8,-47092 ,      
x,H,Kane         ,TOT ,F,0.31 ,0.31 ,96,16,6.0,6.0 ,1389,87 ,12.9 ,40.4,-46045 ,      
x,Á,Morata       ,CHE ,F,0.35 ,0.35 ,85,15,5.7,5.7 ,1166,78 ,10.7 ,22.0,-203441,      
 ,S,Okazaki      ,LEI ,F,0.39 ,0.67 ,57,14,4.1,5.6 ,704 ,50 ,5.4  ,5.5 ,92183  ,      
 ,W,Rooney       ,EVE ,F,0.43 ,0.47 ,78,15,5.2,5.5 ,1144,76 ,7.5  ,16.9,201969 ,      
 ,R,Lukaku       ,MUN ,F,0.27 ,0.27 ,86,17,5.1,5.1 ,1530,90 ,11.3 ,33.0,33625  ,      
 ,C,Callum Wilson,BOU ,F,0.26 ,0.52 ,28,8 ,3.5,5.0 ,451 ,56 ,5.8  ,2.6 ,-22296 ,      
