O,I,web_name        ,team,T,VA/M ,VA/ML,pt ,g ,p/g,p/gl,min ,m/g,price,%   ,txn    ,121517
 ,C,Fuchs           ,LEI ,D,0.2  ,0.24 ,39 ,13,3.0,3.2 ,1081,83 ,4.9  ,2.3 ,-1100  ,      
 ,G,Wijnaldum       ,LIV ,M,0.13 ,0.15 ,40 ,14,2.9,3.0 ,1126,80 ,6.7  ,2.3 ,-1124  ,      
 ,S,Duffy           ,BHA ,D,0.24 ,0.24 ,53 ,17,3.1,3.1 ,1512,89 ,4.6  ,3.1 ,-1146  ,      
 ,A,Mawson          ,SWA ,D,0.28 ,0.28 ,58 ,17,3.4,3.4 ,1530,90 ,5.0  ,1.2 ,-1194  ,      
 ,L,Dunk            ,BHA ,D,0.02 ,0.02 ,36 ,17,2.1,2.1 ,1530,90 ,4.4  ,2.6 ,-1198  ,      
 ,M,Yoshida         ,SOU ,D,0.48 ,0.54 ,56 ,13,4.3,4.6 ,1084,83 ,4.8  ,3.1 ,-1209  ,      
 ,N,Chalobah        ,WAT ,M,0.09 ,0.09 ,12 ,5 ,2.4,2.4 ,429 ,86 ,4.3  ,0.9 ,-1243  ,      
 ,J,Ward            ,CRY ,D,-0.02,-0.02,27 ,14,1.9,1.9 ,1214,87 ,4.8  ,0.2 ,-1269  ,      
 ,A,Knockaert       ,BHA ,M,0.14 ,0.21 ,44 ,16,2.8,3.2 ,1156,72 ,5.7  ,0.7 ,-1271  ,      
 ,D,Sánchez         ,TOT ,D,0.17 ,0.2  ,36 ,12,3.0,3.2 ,952 ,79 ,6.0  ,0.4 ,-1293  ,      
 ,E,Capoue          ,WAT ,M,0.02 ,-0.1 ,15 ,7 ,2.1,1.5 ,228 ,33 ,4.9  ,1.5 ,-1315  ,      
 ,M,Britos          ,WAT ,D,0.05 ,0.18 ,20 ,9 ,2.2,2.8 ,704 ,78 ,4.4  ,0.8 ,-1322  ,      
 ,T,Fosu-Mensah     ,CRY ,D,-0.14,-0.14,15 ,11,1.4,1.4 ,860 ,78 ,4.4  ,0.8 ,-1382  ,      
 ,J,Shelvey         ,NEW ,M,-0.12,0.0  ,18 ,13,1.4,2.0 ,835 ,64 ,5.2  ,0.4 ,-1400  ,      
 ,A,Townsend        ,CRY ,M,0.09 ,0.11 ,42 ,17,2.5,2.6 ,1444,85 ,5.6  ,0.9 ,-1404  ,      
 ,M,Rojo            ,MUN ,D,-0.31,-0.28,1  ,3 ,0.3,0.5 ,225 ,75 ,5.4  ,0.1 ,-1405  ,      
 ,C,Kouyaté         ,WHU ,M,0.16 ,0.28 ,37 ,13,2.8,3.4 ,1006,77 ,5.0  ,0.3 ,-1419  ,      
 ,M,Phillips        ,WBA ,M,0.18 ,0.24 ,39 ,13,3.0,3.3 ,801 ,62 ,5.5  ,0.5 ,-1442  ,      
 ,J,Fonte           ,WHU ,D,0.48 ,0.46 ,34 ,8 ,4.3,4.2 ,688 ,86 ,4.8  ,1.0 ,-1489  ,      
 ,D,Yedlin          ,NEW ,D,-0.02,0.0  ,25 ,13,1.9,2.0 ,1085,83 ,4.4  ,0.7 ,-1518  ,      
 ,T,Hemed           ,BHA ,F,0.19 ,0.52 ,32 ,11,2.9,4.5 ,555 ,50 ,4.8  ,1.2 ,-1527  ,      
 ,C,Dawson          ,WBA ,D,0.21 ,0.21 ,27 ,9 ,3.0,3.0 ,810 ,90 ,4.8  ,1.1 ,-1625  ,      
 ,D,Gayle           ,NEW ,F,0.13 ,0.36 ,39 ,14,2.8,4.2 ,735 ,52 ,6.1  ,1.2 ,-1641  ,      
 ,T,Heaton          ,BUR ,G,0.0  ,0.06 ,8  ,4 ,2.0,2.3 ,305 ,76 ,4.8  ,1.8 ,-1694  ,      
 ,P,Jagielka        ,EVE ,D,-0.13,-0.11,17 ,12,1.4,1.5 ,904 ,75 ,4.7  ,2.6 ,-1735  ,      
 ,S,Francis         ,BOU ,D,-0.02,0.07 ,26 ,14,1.9,2.3 ,1162,83 ,4.4  ,1.1 ,-1767  ,      
 ,A,Martial         ,MUN ,M,0.29 ,0.28 ,68 ,16,4.3,4.2 ,726 ,45 ,8.0  ,3.5 ,-1841  ,      
 ,J,King            ,BOU ,F,0.11 ,0.11 ,42 ,15,2.8,2.8 ,1333,89 ,7.0  ,1.4 ,-1866  ,      
 ,N,Redmond         ,SOU ,M,0.1  ,0.13 ,41 ,16,2.6,2.8 ,1111,69 ,6.0  ,2.0 ,-1957  ,      
 ,A,Pérez           ,NEW ,F,0.02 ,0.13 ,34 ,16,2.1,2.7 ,1025,64 ,5.2  ,0.8 ,-1958  ,      
 ,M,Fellaini        ,MUN ,M,0.33 ,1.1  ,32 ,9 ,3.6,7.3 ,373 ,41 ,4.8  ,0.8 ,-1959  ,      
 ,J,Milner          ,LIV ,D,0.05 ,0.28 ,32 ,14,2.3,3.7 ,738 ,53 ,6.1  ,2.4 ,-1977  ,      
 ,J,Henderson       ,LIV ,M,0.19 ,0.22 ,42 ,14,3.0,3.2 ,1170,84 ,5.4  ,1.6 ,-1983  ,      
 ,W,Hennessey       ,CRY ,G,0.3  ,0.3  ,30 ,9 ,3.3,3.3 ,810 ,90 ,4.3  ,1.0 ,-2030  ,      
 ,C,Benteke         ,CRY ,F,-0.09,-0.08,16 ,12,1.3,1.4 ,941 ,78 ,7.6  ,2.0 ,-2081  ,      
 ,D,Tadic           ,SOU ,M,0.22 ,0.24 ,54 ,16,3.4,3.5 ,1265,79 ,6.3  ,1.9 ,-2124  ,      
 ,C,Atsu            ,NEW ,M,0.22 ,0.31 ,40 ,13,3.1,3.5 ,1029,79 ,4.9  ,1.3 ,-2168  ,      
 ,L,Rosenior        ,BHA ,D,-0.26,-0.26,3  ,3 ,1.0,1.0 ,163 ,54 ,3.9  ,3.9 ,-2254  ,      
 ,J,Rodriguez       ,WBA ,F,0.05 ,0.07 ,37 ,16,2.3,2.4 ,1302,81 ,5.5  ,0.7 ,-2324  ,      
 ,M,Diouf           ,STK ,F,0.29 ,0.29 ,58 ,16,3.6,3.6 ,1418,89 ,5.6  ,5.4 ,-2353  ,      
 ,S,Vokes           ,BUR ,F,0.14 ,0.43 ,31 ,11,2.8,4.5 ,407 ,37 ,5.8  ,2.2 ,-2358  ,      
 ,M,Keane           ,EVE ,D,-0.08,-0.08,19 ,12,1.6,1.6 ,984 ,82 ,5.3  ,5.0 ,-2413  ,      
 ,S,Rondón          ,WBA ,F,0.0  ,0.05 ,32 ,16,2.0,2.3 ,1058,66 ,6.0  ,0.7 ,-2446  ,      
 ,J,Manquillo       ,NEW ,D,0.09 ,0.09 ,33 ,14,2.4,2.4 ,1260,90 ,4.4  ,1.2 ,-2455  ,      
 ,C,Austin          ,SOU ,F,0.18 ,0.81 ,44 ,14,3.1,7.0 ,489 ,35 ,6.2  ,4.5 ,-2579  ,      
 ,G,Barry           ,WBA ,M,0.07 ,0.09 ,32 ,14,2.3,2.4 ,1125,80 ,4.5  ,1.0 ,-2583  ,      
 ,S,Mignolet        ,LIV ,G,0.27 ,0.27 ,50 ,15,3.3,3.3 ,1350,90 ,4.9  ,1.6 ,-2615  ,      
 ,D,Zappacosta      ,CHE ,D,0.27 ,0.39 ,32 ,9 ,3.6,4.3 ,534 ,59 ,5.9  ,0.4 ,-2625  ,      
 ,F,Fernández       ,SWA ,D,0.24 ,0.24 ,37 ,12,3.1,3.1 ,1080,90 ,4.5  ,1.9 ,-2778  ,      
 ,J,Joselu          ,NEW ,F,0.13 ,0.2  ,41 ,15,2.7,3.1 ,1034,69 ,5.5  ,0.6 ,-2836  ,      
 ,E,Dier            ,TOT ,M,0.04 ,0.04 ,37 ,17,2.2,2.2 ,1426,84 ,4.8  ,2.5 ,-2950  ,      
x,K,Naughton        ,SWA ,D,0.33 ,0.33 ,59 ,17,3.5,3.5 ,1527,90 ,4.6  ,6.1 ,-3057  ,      
 ,A,Begovic         ,BOU ,G,0.38 ,0.38 ,63 ,17,3.7,3.7 ,1530,90 ,4.5  ,4.8 ,-3079  ,      
 ,O,Oriol Romeu     ,SOU ,M,0.05 ,0.07 ,35 ,16,2.2,2.3 ,1349,84 ,4.4  ,2.6 ,-3177  ,      
 ,E,Ederson         ,MCI ,G,0.33 ,0.35 ,65 ,17,3.8,3.9 ,1485,87 ,5.5  ,5.0 ,-3193  ,      
 ,M,Elneny          ,ARS ,M,0.05 ,0.3  ,11 ,5 ,2.2,3.3 ,263 ,53 ,4.3  ,2.5 ,-3268  ,      
 ,V,Kompany         ,MCI ,D,0.07 ,0.12 ,17 ,7 ,2.4,2.7 ,574 ,82 ,5.8  ,2.0 ,-3311  ,      
 ,M,Gabbiadini      ,SOU ,F,0.08 ,0.3  ,38 ,15,2.5,3.9 ,725 ,48 ,6.4  ,1.6 ,-3317  ,      
 ,C,Löwe            ,HUD ,D,0.22 ,0.33 ,45 ,15,3.0,3.5 ,1033,69 ,4.5  ,2.8 ,-3330  ,      
 ,V,van Dijk        ,SOU ,D,0.02 ,0.04 ,25 ,12,2.1,2.2 ,993 ,83 ,5.4  ,1.9 ,-3420  ,      
 ,L,Milivojevic     ,CRY ,M,0.13 ,0.17 ,41 ,16,2.6,2.8 ,1279,80 ,4.6  ,0.4 ,-3502  ,      
 ,N,Aké             ,BOU ,D,0.16 ,0.16 ,48 ,17,2.8,2.8 ,1522,90 ,4.9  ,3.9 ,-3540  ,      
 ,W,Hughes          ,WAT ,M,0.7  ,0.91 ,26 ,5 ,5.2,6.2 ,323 ,65 ,4.6  ,0.5 ,-3759  ,      
 ,V,Lindelöf        ,MUN ,D,0.02 ,0.12 ,15 ,7 ,2.1,2.6 ,473 ,68 ,4.9  ,1.3 ,-3787  ,      
 ,C,Wood            ,BUR ,F,0.23 ,0.28 ,46 ,13,3.5,3.8 ,907 ,70 ,6.4  ,1.8 ,-4126  ,      
x,L,Fabianski       ,SWA ,G,0.48 ,0.48 ,71 ,17,4.2,4.2 ,1530,90 ,4.6  ,8.4 ,-4355  ,      
 ,J,Jesé            ,STK ,M,0.16 ,0.24 ,26 ,9 ,2.9,3.3 ,482 ,54 ,5.5  ,2.4 ,-4453  ,      
 ,C,Clark           ,NEW ,D,0.24 ,0.27 ,40 ,13,3.1,3.2 ,1115,86 ,4.5  ,1.9 ,-4569  ,      
 ,J,Matip           ,LIV ,D,0.31 ,0.31 ,48 ,13,3.7,3.7 ,1170,90 ,5.4  ,2.0 ,-5156  ,      
 ,G,Cahill          ,CHE ,D,0.11 ,0.27 ,32 ,12,2.7,3.7 ,864 ,72 ,6.2  ,3.3 ,-5368  ,      
 ,L,Baines          ,EVE ,D,0.14 ,0.16 ,36 ,13,2.8,2.9 ,1099,85 ,5.7  ,3.7 ,-5404  ,      
 ,J,Ayew            ,SWA ,F,0.1  ,0.14 ,42 ,17,2.5,2.7 ,1375,81 ,5.0  ,3.3 ,-5583  ,      
 ,N,Matic           ,MUN ,M,0.14 ,0.14 ,46 ,17,2.7,2.7 ,1493,88 ,4.9  ,9.9 ,-5789  ,      
 ,A,Young           ,MUN ,M,0.39 ,0.43 ,52 ,13,4.0,4.2 ,1074,83 ,5.1  ,5.8 ,-5862  ,      
 ,R,Brady           ,BUR ,M,0.31 ,0.35 ,56 ,15,3.7,3.9 ,1277,85 ,5.5  ,0.8 ,-5869  ,      
 ,M,Rashford        ,MUN ,F,0.21 ,0.26 ,61 ,17,3.6,4.0 ,1006,59 ,7.6  ,8.3 ,-6016  ,      
 ,S,Steve Cook      ,BOU ,D,0.17 ,0.25 ,37 ,13,2.8,3.2 ,1029,79 ,4.8  ,1.6 ,-6054  ,      
x,R,Loftus-Cheek    ,CRY ,M,0.2  ,0.24 ,38 ,13,2.9,3.1 ,1080,83 ,4.6  ,7.9 ,-6243  ,      
 ,G,Xhaka           ,ARS ,M,0.21 ,0.21 ,53 ,17,3.1,3.1 ,1454,86 ,5.3  ,8.3 ,-6249  ,      
 ,B,Foster          ,WBA ,G,0.32 ,0.32 ,54 ,16,3.4,3.4 ,1440,90 ,4.4  ,10.4,-6274  ,      
 ,K,Zouma           ,STK ,D,0.11 ,0.11 ,42 ,16,2.6,2.6 ,1415,88 ,5.5  ,2.2 ,-6365  ,      
 ,J,Gomez           ,LIV ,D,0.4  ,0.53 ,51 ,13,3.9,4.5 ,1001,77 ,4.7  ,5.8 ,-6852  ,      
 ,A,Gray            ,WAT ,F,0.1  ,0.29 ,45 ,17,2.6,3.8 ,914 ,54 ,6.3  ,2.1 ,-7017  ,      
 ,J,Stones          ,MCI ,D,0.33 ,0.44 ,46 ,12,3.8,4.4 ,884 ,74 ,5.5  ,3.6 ,-7023  ,      
 ,C,Cédric          ,SOU ,D,0.13 ,0.13 ,39 ,15,2.6,2.6 ,1338,89 ,4.8  ,3.9 ,-7073  ,      
 ,T,Alderweireld    ,TOT ,D,0.31 ,0.31 ,38 ,10,3.8,3.8 ,900 ,90 ,5.8  ,5.5 ,-7094  ,      
 ,T,Carroll         ,SWA ,M,0.09 ,0.14 ,38 ,16,2.4,2.6 ,1263,79 ,4.4  ,4.3 ,-7582  ,      
x,J,Lascelles       ,NEW ,D,0.39 ,0.39 ,46 ,12,3.8,3.8 ,1037,86 ,4.6  ,5.7 ,-7680  ,      
 ,R,Bertrand        ,SOU ,D,0.22 ,0.22 ,55 ,17,3.2,3.2 ,1525,90 ,5.4  ,8.0 ,-7787  ,      
 ,M,Lowton          ,BUR ,D,0.46 ,0.46 ,53 ,13,4.1,4.1 ,1170,90 ,4.6  ,2.7 ,-8118  ,      
 ,A,Mooy            ,HUD ,M,0.2  ,0.22 ,53 ,17,3.1,3.2 ,1438,85 ,5.4  ,5.6 ,-8175  ,      
 ,M,Ritchie         ,NEW ,M,0.28 ,0.28 ,61 ,17,3.6,3.6 ,1446,85 ,5.7  ,2.8 ,-8240  ,      
 ,J,Lössl           ,HUD ,G,0.41 ,0.41 ,66 ,17,3.9,3.9 ,1530,90 ,4.6  ,9.0 ,-8391  ,      
 ,D,David Luiz      ,CHE ,D,0.28 ,0.28 ,29 ,8 ,3.6,3.6 ,716 ,90 ,5.8  ,8.8 ,-8500  ,      
 ,R,Firmino         ,LIV ,F,0.28 ,0.34 ,70 ,16,4.4,4.9 ,1164,73 ,8.6  ,23.1,-8648  ,      
 ,H,Lloris          ,TOT ,G,0.31 ,0.31 ,59 ,16,3.7,3.7 ,1440,90 ,5.5  ,8.7 ,-8738  ,      
 ,S,Kolasinac       ,ARS ,D,0.5  ,0.5  ,76 ,15,5.1,5.1 ,1297,86 ,6.2  ,15.5,-8851  ,      
 ,S,Mané            ,LIV ,M,0.31 ,0.44 ,54 ,11,4.9,6.1 ,765 ,70 ,9.4  ,7.8 ,-9314  ,      
 ,M,Zeegelaar       ,WAT ,D,0.5  ,0.86 ,21 ,5 ,4.2,5.8 ,398 ,80 ,4.4  ,0.8 ,-9784  ,      
 ,S,Davis           ,SOU ,M,0.31 ,0.39 ,58 ,16,3.6,4.0 ,1220,76 ,5.1  ,3.8 ,-9902  ,      
 ,J,Hart            ,WHU ,G,0.27 ,0.27 ,45 ,14,3.2,3.2 ,1260,90 ,4.4  ,6.8 ,-10302 ,      
 ,E,Can             ,LIV ,M,0.19 ,0.27 ,38 ,13,2.9,3.3 ,995 ,77 ,4.8  ,4.3 ,-10862 ,      
 ,T,Cleverley       ,WAT ,M,0.16 ,0.16 ,47 ,17,2.8,2.8 ,1496,88 ,5.0  ,0.9 ,-11072 ,      
x,S,Mustafi         ,ARS ,D,0.74 ,0.89 ,54 ,9 ,6.0,6.8 ,734 ,82 ,5.4  ,2.3 ,-11246 ,      
