O,I,web_name        ,team,T,VA/M ,VA/ML,pt,g ,p/g,p/gl,min ,m/g,price,%   ,txn   ,121213
 ,R,Klavan          ,LIV ,D,0.33 ,0.33 ,27,8 ,3.4,3.4 ,720 ,90 ,4.3  ,1.1 ,5564  ,      
 ,A,Mawson          ,SWA ,D,0.32 ,0.32 ,58,16,3.6,3.6 ,1440,90 ,5.0  ,1.2 ,867   ,      
 ,J,Matip           ,LIV ,D,0.31 ,0.31 ,48,13,3.7,3.7 ,1170,90 ,5.4  ,2.1 ,-8278 ,      
 ,T,Alderweireld    ,TOT ,D,0.31 ,0.31 ,38,10,3.8,3.8 ,900 ,90 ,5.8  ,5.7 ,-7694 ,      
 ,M,Zanka           ,HUD ,D,0.29 ,0.29 ,53,16,3.3,3.3 ,1440,90 ,4.5  ,6.9 ,18076 ,      
 ,A,Hegazi          ,WBA ,D,0.24 ,0.29 ,49,16,3.1,3.3 ,1406,88 ,4.5  ,17.9,-29310,      
 ,A,Christensen     ,CHE ,D,0.22 ,0.29 ,38,12,3.2,3.6 ,874 ,73 ,5.5  ,3.4 ,11114 ,      
 ,L,Koscielny       ,ARS ,D,0.28 ,0.28 ,48,13,3.7,3.7 ,1164,90 ,6.0  ,1.4 ,3260  ,      
x,C,Daniels         ,BOU ,D,0.28 ,0.28 ,55,16,3.4,3.4 ,1440,90 ,5.0  ,12.1,-60079,      
 ,D,David Luiz      ,CHE ,D,0.28 ,0.28 ,29,8 ,3.6,3.6 ,716 ,90 ,5.8  ,9.0 ,-12657,      
 ,J,Milner          ,LIV ,D,0.05 ,0.28 ,32,14,2.3,3.7 ,738 ,53 ,6.1  ,2.4 ,-591  ,      
 ,C,Kabasele        ,WAT ,D,0.24 ,0.28 ,47,15,3.1,3.3 ,1229,82 ,4.6  ,2.1 ,40650 ,      
 ,D,Sánchez         ,TOT ,D,0.17 ,0.28 ,36,12,3.0,3.7 ,952 ,79 ,6.0  ,0.4 ,-2856 ,      
 ,H,Bellerín        ,ARS ,D,0.27 ,0.27 ,57,16,3.6,3.6 ,1440,90 ,5.9  ,9.4 ,-9779 ,      
 ,G,Cahill          ,CHE ,D,0.11 ,0.27 ,32,12,2.7,3.7 ,864 ,72 ,6.2  ,3.4 ,-2958 ,      
 ,C,Fuchs           ,LEI ,D,0.22 ,0.27 ,37,12,3.1,3.3 ,991 ,83 ,4.9  ,2.3 ,-4657 ,      
 ,C,Clark           ,NEW ,D,0.24 ,0.27 ,40,13,3.1,3.2 ,1115,86 ,4.5  ,2.0 ,-1973 ,      
 ,J,Stephens        ,SOU ,D,0.27 ,0.27 ,16,5 ,3.2,3.2 ,450 ,90 ,4.5  ,0.2 ,127   ,      
 ,S,Duffy           ,BHA ,D,0.28 ,0.26 ,52,16,3.3,3.2 ,1422,89 ,4.6  ,3.1 ,-7192 ,      
 ,J,Vertonghen      ,TOT ,D,0.23 ,0.25 ,54,16,3.4,3.5 ,1409,88 ,6.1  ,8.3 ,-8470 ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,0.25 ,~~,~ ,~~~,~~~~,~~~ ,~~~,~~~~~,~   ,~~~   ,~~~~~~
 ,S,Steve Cook      ,BOU ,D,0.16 ,0.24 ,37,13,2.8,3.2 ,1029,79 ,4.9  ,1.7 ,-8718 ,      
 ,B,Bruno           ,BHA ,D,0.2  ,0.24 ,44,15,2.9,3.1 ,1262,84 ,4.5  ,0.7 ,-1868 ,      
 ,M,Holgate         ,EVE ,D,0.24 ,0.24 ,21,7 ,3.0,3.0 ,630 ,90 ,4.2  ,1.1 ,11355 ,      
 ,F,Fernández       ,SWA ,D,0.24 ,0.24 ,37,12,3.1,3.1 ,1080,90 ,4.5  ,2.0 ,-3467 ,      
 ,A,Nyom            ,WBA ,D,0.16 ,0.24 ,37,13,2.8,3.2 ,1036,80 ,4.9  ,1.4 ,-2076 ,      
 ,B,Chilwell        ,LEI ,D,0.12 ,0.23 ,20,8 ,2.5,3.0 ,568 ,71 ,4.3  ,0.5 ,1909  ,      
 ,D,Lovren          ,LIV ,D,0.11 ,0.23 ,31,12,2.6,3.2 ,845 ,70 ,5.3  ,0.8 ,790   ,      
 ,M,Britos          ,WAT ,D,0.05 ,0.23 ,20,9 ,2.2,3.0 ,704 ,78 ,4.4  ,0.8 ,-1647 ,      
 ,M,Suttner         ,BHA ,D,0.23 ,0.23 ,27,9 ,3.0,3.0 ,810 ,90 ,4.3  ,0.5 ,-217  ,      
 ,S,Malone          ,HUD ,D,0.02 ,0.23 ,17,8 ,2.1,3.0 ,449 ,56 ,4.3  ,0.2 ,-816  ,      
 ,R,Bertrand        ,SOU ,D,0.24 ,0.22 ,52,16,3.3,3.2 ,1435,90 ,5.4  ,8.2 ,-298  ,      
 ,A,Williams        ,EVE ,D,0.13 ,0.21 ,35,13,2.7,3.1 ,1023,79 ,5.2  ,2.4 ,5538  ,      
 ,C,Dawson          ,WBA ,D,0.21 ,0.21 ,27,9 ,3.0,3.0 ,810 ,90 ,4.8  ,1.2 ,-2344 ,      
