team,17~20_avg,17,18~21_avg,18,19~22_avg,19,20,21,22
FUL,2.13,2,2.4,2,2.8,3,2,4,2
HUD,2.27,2,2.53,2,3.07,4,2,2,2
WHU,2.27,2,2.53,3,2.13,2,2,2,4
ARS,2.33,2,2.67,2,3.4,3,5,2,3
NEW,2.47,2,3.07,2,4.27,5,3,4,4
TOT,2.47,2,2.93,3,2.93,3,3,2,4
WAT,2.53,2,3.13,3,3.2,4,2,3,2
MCI,2.67,3,2.4,2,2.87,3,2,4,3
BOU,2.93,3,2.87,2,3.8,4,4,3,3
CHE,2.93,3,2.8,3,2.53,3,2,2,2
LEI,2.93,2,3.93,4,3.73,5,2,3,2
CAR,3.13,3,3.33,4,2.53,2,3,4,2
WOL,3.2,3,3.33,4,2.73,2,4,2,5
SOU,3.27,4,2.53,2,3.13,2,5,4,3
CRY,3.47,3,3.93,5,2.73,2,4,3,3
LIV,3.47,4,3.0,3,3.0,2,4,5,3
BHA,3.67,4,3.27,3,3.6,4,3,3,4
MUN,3.67,5,2.13,2,2.4,2,3,2,4
BUR,3.73,4,3.33,4,2.53,3,2,2,2
EVE,4.2,5,3.27,4,2.47,2,3,3,3
