team,25~29_avg,25,26~30_avg,26,27,28,29,30
BHA,2.06,2,2.16,2,2,2,4,3
STK,2.06,2,2.23,2,2,3,2,5
WHU,2.13,2,2.29,2,2,4,2,3
CHE,2.29,2,2.58,2,2,5,5,2
CRY,2.32,2,2.71,2,3,4,4,4
SOU,2.32,2,2.65,2,4,3,2,2
ARS,2.45,2,2.9,2,4,5,2,2
LIV,2.52,2,3.13,4,2,2,2,5
WAT,2.52,2,3.1,4,2,2,2,4
MCI,2.58,2,3.16,3,3,4,4,2
BUR,2.77,2,3.55,5,2,2,2,2
NEW,2.84,3,2.65,2,4,2,4,2
LEI,2.9,3,2.77,2,5,2,2,2
BOU,3.06,4,2.13,2,2,2,3,4
EVE,3.06,3,3.1,4,2,2,3,2
MUN,3.16,4,2.32,2,2,4,2,4
SWA,3.42,4,2.77,3,3,2,2,2
TOT,3.81,4,3.55,4,4,2,2,2
WBA,3.81,5,2.55,2,4,2,2,3
HUD,3.87,4,3.68,5,2,2,4,2
