O,I,web_name     ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,013013
 ,A,Lacazette    ,ARS ,F,0.19 ,0.21 ,4.0,4.2 ,4.0 ,1693,10.3 ,8.7 ,11383  ,      
 ,J,Gudmundsson  ,BUR ,M,0.2  ,0.22 ,3.0,3.1 ,4.0 ,1778,5.0  ,0.8 ,11166  ,      
x,J,Lascelles    ,NEW ,D,0.35 ,0.35 ,3.6,3.6 ,3.7 ,1667,4.6  ,6.1 ,9978   ,      
 ,M,Ryan         ,BHA ,G,0.4  ,0.4  ,3.8,3.8 ,2.0 ,2160,4.5  ,2.5 ,9515   ,      
 ,K,De Bruyne    ,MCI ,M,0.39 ,0.39 ,6.0,6.0 ,6.7 ,2054,10.2 ,21.2,9511   ,      
 ,K,Naughton     ,SWA ,D,0.27 ,0.27 ,3.2,3.2 ,2.0 ,1966,4.5  ,3.0 ,9418   ,      
 ,B,Mee          ,BUR ,D,0.27 ,0.27 ,3.3,3.3 ,1.3 ,1980,4.9  ,14.5,9081   ,      
 ,A,Young        ,MUN ,M,0.42 ,0.46 ,4.1,4.3 ,1.0 ,1524,5.0  ,2.3 ,9080   ,      
 ,A,Dragovic     ,LEI ,D,0.51 ,0.51 ,4.5,4.5 ,6.0 ,314 ,4.9  ,0.2 ,8620   ,      
 ,L,Koscielny    ,ARS ,D,0.42 ,0.42 ,4.5,4.5 ,3.3 ,1685,6.0  ,1.6 ,8570   ,      
 ,D,Simpson      ,LEI ,D,0.07 ,0.07 ,2.3,2.3 ,0.0 ,1659,4.3  ,1.8 ,8408   ,      
 ,D,Tadic        ,SOU ,M,0.21 ,0.21 ,3.3,3.3 ,2.7 ,1702,6.2  ,1.7 ,7968   ,      
 ,C,Smalling     ,MUN ,D,0.36 ,0.4  ,3.9,4.1 ,4.3 ,1365,5.3  ,2.2 ,7901   ,      
 ,P,Pogba        ,MUN ,M,0.54 ,0.54 ,6.3,6.3 ,8.3 ,1222,8.0  ,15.3,7702   ,      
 ,P,Cech         ,ARS ,G,0.3  ,0.3  ,3.6,3.6 ,2.3 ,2160,5.4  ,5.0 ,7700   ,      
 ,J,Butland      ,STK ,G,0.2  ,0.2  ,3.0,3.0 ,5.0 ,1890,5.0  ,2.3 ,7563   ,      
x,A,Adrián       ,WHU ,G,0.34 ,0.34 ,3.5,3.5 ,2.5 ,900 ,4.4  ,3.8 ,6956   ,      
 ,K,Darlow       ,NEW ,G,0.41 ,0.41 ,3.8,3.8 ,4.7 ,720 ,4.4  ,0.4 ,5267   ,      
 ,F,Fernández    ,SWA ,D,0.18 ,0.18 ,2.8,2.8 ,4.0 ,1620,4.4  ,1.6 ,5070   ,      
 ,J,Ibe          ,BOU ,M,0.1  ,0.15 ,2.5,2.7 ,5.7 ,1352,4.8  ,0.8 ,4522   ,      
 ,C,Benteke      ,CRY ,F,0.08 ,0.11 ,2.6,2.8 ,5.0 ,1478,7.6  ,2.3 ,4445   ,      
 ,C,Cédric       ,SOU ,D,0.06 ,0.09 ,2.3,2.4 ,0.7 ,1534,4.7  ,2.5 ,4414   ,      
 ,R,Shawcross    ,STK ,D,0.13 ,0.15 ,2.6,2.7 ,2.0 ,1381,4.8  ,0.8 ,4117   ,      
 ,B,Sako         ,CRY ,M,0.06 ,0.47 ,2.3,4.3 ,4.0 ,426 ,4.9  ,0.3 ,3824   ,      
 ,S,Mané         ,LIV ,M,0.31 ,0.4  ,4.9,5.7 ,5.7 ,1166,9.3  ,7.6 ,3750   ,      
 ,E,Pieters      ,STK ,D,0.0  ,0.0  ,2.0,2.0 ,4.0 ,1750,4.7  ,0.4 ,3725   ,      
 ,T,Fosu-Mensah  ,CRY ,D,0.0  ,0.02 ,2.0,2.1 ,3.3 ,1230,4.4  ,1.1 ,3710   ,      
 ,C,Dawson       ,WBA ,D,0.31 ,0.31 ,3.5,3.5 ,5.3 ,1250,4.8  ,1.2 ,3563   ,      
 ,J,Tarkowski    ,BUR ,D,0.32 ,0.32 ,3.5,3.5 ,1.7 ,1890,4.7  ,4.9 ,3502   ,      
 ,W,Zaha         ,CRY ,M,0.26 ,0.26 ,3.8,3.8 ,2.3 ,1606,6.9  ,5.1 ,2997   ,      
 ,M,van der Hoorn,SWA ,D,0.34 ,0.39 ,3.5,3.7 ,4.3 ,973 ,4.4  ,0.2 ,2899   ,      
 ,J,Gomez        ,LIV ,D,0.3  ,0.36 ,3.4,3.7 ,1.7 ,1541,4.7  ,6.0 ,2751   ,      
 ,D,Stephens     ,BHA ,M,0.09 ,0.09 ,2.4,2.4 ,2.0 ,2160,4.5  ,1.3 ,2565   ,      
 ,S,Francis      ,BOU ,D,-0.09,-0.05,1.6,1.8 ,1.0 ,1702,4.3  ,0.9 ,2211   ,      
 ,D,Amartey      ,LEI ,M,-0.07,0.19 ,1.7,2.8 ,3.0 ,394 ,4.3  ,0.3 ,2019   ,      
 ,J,Murphy       ,NEW ,M,0.04 ,0.2  ,2.2,3.0 ,5.0 ,820 ,5.0  ,0.1 ,1966   ,      
 ,T,Carroll      ,SWA ,M,0.12 ,0.16 ,2.5,2.7 ,1.7 ,1806,4.3  ,5.1 ,1866   ,      
 ,J,Joselu       ,NEW ,F,0.16 ,0.16 ,2.9,2.9 ,3.0 ,1459,5.5  ,0.7 ,1218   ,      
 ,K,Zouma        ,STK ,D,0.11 ,0.11 ,2.6,2.6 ,3.0 ,1865,5.4  ,1.9 ,1166   ,      
 ,N,Kanté        ,CHE ,M,0.24 ,0.24 ,3.2,3.2 ,2.3 ,1824,4.9  ,11.8,1035   ,      
 ,D,de Gea       ,MUN ,G,0.56 ,0.56 ,5.3,5.3 ,6.3 ,2160,5.9  ,43.0,999    ,      
 ,A,Pérez        ,NEW ,F,0.08 ,0.23 ,2.4,3.2 ,5.0 ,1352,5.2  ,1.3 ,951    ,      
 ,A,Townsend     ,CRY ,M,0.23 ,0.25 ,3.3,3.4 ,1.7 ,1888,5.6  ,0.9 ,847    ,      
 ,G,Krychowiak   ,WBA ,M,0.1  ,0.21 ,2.5,3.0 ,3.3 ,1187,4.8  ,0.2 ,648    ,      
 ,O,Oriol Romeu  ,SOU ,M,0.02 ,0.02 ,2.1,2.1 ,1.3 ,1889,4.3  ,2.2 ,610    ,      
 ,W,Ndidi        ,LEI ,M,0.1  ,0.1  ,2.5,2.5 ,3.0 ,2130,4.9  ,0.5 ,373    ,      
 ,M,Noble        ,WHU ,M,0.13 ,0.09 ,2.7,2.5 ,3.3 ,1140,5.3  ,0.1 ,359    ,      
 ,C,Kouyaté      ,WHU ,M,0.14 ,0.2  ,2.7,3.0 ,2.8 ,1545,5.0  ,0.4 ,348    ,      
 ,J,King         ,BOU ,F,0.11 ,0.13 ,2.8,2.9 ,0.3 ,1470,7.0  ,1.0 ,124    ,      
 ,A,Adam Smith   ,BOU ,D,0.0  ,0.02 ,2.0,2.1 ,3.3 ,1766,4.8  ,0.4 ,118    ,      
 ,M,Olsson       ,SWA ,D,0.18 ,0.18 ,2.9,2.9 ,2.7 ,1976,5.0  ,0.2 ,-32    ,      
 ,G,Barry        ,WBA ,M,0.09 ,0.07 ,2.4,2.3 ,2.0 ,1627,4.5  ,0.9 ,-34    ,      
 ,S,Rondón       ,WBA ,F,0.03 ,0.08 ,2.2,2.5 ,3.0 ,1560,6.0  ,0.6 ,-77    ,      
 ,J,Izquierdo    ,BHA ,M,0.08 ,0.36 ,2.5,4.1 ,3.3 ,841 ,5.9  ,0.1 ,-111   ,      
 ,D,Pröpper      ,BHA ,M,0.09 ,0.09 ,2.5,2.5 ,1.7 ,2145,5.3  ,0.1 ,-119   ,      
 ,J,McClean      ,WBA ,M,-0.13,0.38 ,1.4,3.8 ,3.0 ,708 ,4.8  ,0.1 ,-126   ,      
 ,S,March        ,BHA ,M,0.02 ,0.18 ,2.1,2.9 ,1.0 ,1396,4.9  ,0.2 ,-179   ,      
 ,M,Schneiderlin ,EVE ,M,-0.06,-0.02,1.7,1.9 ,1.3 ,1421,4.7  ,0.5 ,-187   ,      
 ,J,Hendrick     ,BUR ,M,0.19 ,0.19 ,3.0,3.0 ,2.0 ,1616,5.4  ,0.2 ,-228   ,      
 ,A,Carrillo     ,WAT ,M,0.11 ,0.2  ,2.6,3.1 ,3.0 ,1422,5.5  ,0.1 ,-288   ,      
 ,J,Livermore    ,WBA ,M,0.02 ,0.08 ,2.1,2.4 ,1.3 ,1754,4.8  ,0.1 ,-303   ,      
 ,D,Yedlin       ,NEW ,D,0.05 ,0.07 ,2.2,2.3 ,3.0 ,1649,4.4  ,0.8 ,-410   ,      
 ,J,Matip        ,LIV ,D,0.24 ,0.26 ,3.3,3.4 ,1.0 ,1531,5.4  ,1.8 ,-416   ,      
 ,E,Can          ,LIV ,M,0.19 ,0.25 ,2.9,3.2 ,2.0 ,1523,4.8  ,3.7 ,-416   ,      
 ,D,Fletcher     ,STK ,M,0.12 ,0.12 ,2.6,2.6 ,1.7 ,1975,4.9  ,0.5 ,-440   ,      
 ,G,Wijnaldum    ,LIV ,M,0.09 ,0.12 ,2.6,2.8 ,2.0 ,1575,6.6  ,2.1 ,-509   ,      
 ,T,Smith        ,HUD ,D,0.02 ,0.02 ,2.1,2.1 ,0.0 ,1519,4.8  ,0.3 ,-533   ,      
 ,T,Bakayoko     ,CHE ,M,0.2  ,0.32 ,3.0,3.6 ,2.7 ,1640,5.0  ,2.2 ,-537   ,      
 ,I,Gueye        ,EVE ,M,0.04 ,0.04 ,2.2,2.2 ,0.7 ,1759,4.8  ,0.8 ,-548   ,      
 ,P,Zabaleta     ,WHU ,D,0.1  ,0.1  ,2.5,2.5 ,2.0 ,2029,4.9  ,2.3 ,-626   ,      
 ,Y,Cabaye       ,CRY ,M,0.08 ,0.11 ,2.4,2.6 ,1.0 ,1512,5.3  ,0.2 ,-690   ,      
 ,B,Foster       ,WBA ,G,0.32 ,0.32 ,3.4,3.4 ,4.0 ,2070,4.4  ,9.5 ,-797   ,      
 ,S,Defour       ,BUR ,M,0.11 ,0.11 ,2.6,2.6 ,1.3 ,1998,5.4  ,0.4 ,-819   ,      
 ,S,Steve Cook   ,BOU ,D,0.15 ,0.21 ,2.7,3.0 ,4.3 ,1603,4.7  ,1.2 ,-850   ,      
 ,T,Ince         ,HUD ,M,0.13 ,0.13 ,2.7,2.7 ,1.7 ,1967,5.5  ,0.4 ,-860   ,      
 ,E,Dier         ,TOT ,M,0.09 ,0.09 ,2.4,2.4 ,3.3 ,2014,4.7  ,2.5 ,-935   ,      
 ,A,Knockaert    ,BHA ,M,0.15 ,0.22 ,2.8,3.2 ,3.0 ,1606,5.5  ,0.6 ,-962   ,      
~,~,~~~~~~~~     ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,-985.05,~~~~~~
 ,S,Dann         ,CRY ,D,-0.02,0.0  ,1.9,2.0 ,0.0 ,1434,4.6  ,0.3 ,-1053  ,      
 ,A,Hegazi       ,WBA ,D,0.24 ,0.24 ,3.1,3.1 ,3.3 ,2126,4.6  ,18.9,-1065  ,      
 ,K,Wimmer       ,STK ,D,-0.21,-0.17,1.1,1.3 ,0.7 ,1321,4.2  ,0.4 ,-1116  ,      
 ,K,Gibbs        ,WBA ,D,0.16 ,0.18 ,2.8,2.9 ,3.0 ,1806,5.0  ,0.5 ,-1244  ,      
 ,W,Reid         ,WHU ,D,0.13 ,0.13 ,2.6,2.6 ,1.0 ,1426,4.8  ,0.6 ,-1302  ,      
 ,N,Redmond      ,SOU ,M,0.03 ,0.08 ,2.2,2.5 ,0.3 ,1369,5.9  ,1.6 ,-1304  ,      
 ,M,Rojo         ,MUN ,D,-0.09,0.24 ,1.5,3.3 ,3.0 ,384 ,5.4  ,0.2 ,-1398  ,      
 ,J,Schlupp      ,CRY ,D,0.02 ,0.02 ,2.1,2.1 ,0.7 ,1560,4.7  ,0.2 ,-1421  ,      
 ,A,Nyom         ,WBA ,D,0.13 ,0.19 ,2.6,2.9 ,0.3 ,1330,4.8  ,1.1 ,-1466  ,      
 ,J,Manquillo    ,NEW ,D,0.07 ,0.07 ,2.3,2.3 ,2.0 ,1685,4.4  ,0.9 ,-1840  ,      
 ,B,Bruno        ,BHA ,D,0.29 ,0.36 ,3.3,3.6 ,0.7 ,1635,4.5  ,1.5 ,-2012  ,      
