O,I,web_name     ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,013013
x,N,Otamendi     ,MCI ,D,0.45 ,0.45 ,4.9,4.9 ,1.0 ,2050,6.5  ,31.8,-58280 ,      
 ,L,Depoitre     ,HUD ,F,0.25 ,0.42 ,3.4,4.3 ,1.3 ,1321,5.5  ,6.4 ,-64381 ,      
 ,T,Courtois     ,CHE ,G,0.42 ,0.42 ,4.3,4.3 ,2.3 ,2070,5.5  ,12.0,-68417 ,      
 ,M,Lanzini      ,WHU ,M,0.31 ,0.37 ,4.1,4.5 ,5.8 ,1449,6.8  ,1.8 ,-69408 ,      
 ,Á,Morata       ,CHE ,F,0.27 ,0.29 ,4.8,5.0 ,1.0 ,1514,10.4 ,9.5 ,-77768 ,      
 ,W,Rooney       ,EVE ,F,0.38 ,0.46 ,4.8,5.4 ,1.0 ,1457,7.4  ,13.0,-88440 ,      
x,H,Son          ,TOT ,M,0.37 ,0.54 ,5.0,6.4 ,6.8 ,1452,8.2  ,13.1,-99695 ,      
 ,D,Calvert-Lewin,EVE ,F,0.19 ,0.3  ,3.0,3.6 ,0.7 ,1548,5.3  ,7.4 ,-101265,      
x,J,Lingard      ,MUN ,M,0.4  ,0.6  ,4.5,5.8 ,4.3 ,1075,6.3  ,17.6,-110245,      
 ,L,Sané         ,MCI ,M,0.4  ,0.46 ,5.4,5.9 ,5.7 ,1542,8.4  ,9.5 ,-155500,      
 ,C,Eriksen      ,TOT ,M,0.37 ,0.37 ,5.4,5.4 ,4.3 ,1958,9.2  ,13.8,-169922,      
x,H,Kane         ,TOT ,F,0.36 ,0.39 ,6.7,7.0 ,6.0 ,1951,12.9 ,45.5,-172676,      
 ,M,Arnautovic   ,WHU ,M,0.31 ,0.51 ,4.2,5.6 ,6.5 ,1267,7.0  ,7.0 ,-350948,      
