O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,013013
,C,Cédric,SOU,D,0.06,0.09,2.3,2.4,0.7,1534,4.7,2.5,4414,
,C,Kabasele,WAT,D,0.07,0.09,2.3,2.4,0.3,1949,4.6,1.5,-8213,
,D,Simpson,LEI,D,0.07,0.07,2.3,2.3,0.0,1659,4.3,1.8,8408,
,D,Yedlin,NEW,D,0.05,0.07,2.2,2.3,3.0,1649,4.4,0.8,-410,
x,A,Ogbonna,WHU,D,0.07,0.07,2.3,2.3,1.8,1710,4.5,5.9,-10855,
,J,Manquillo,NEW,D,0.07,0.07,2.3,2.3,2.0,1685,4.4,0.9,-1840,
,M,Keane,EVE,D,0.04,0.06,2.2,2.3,0.3,1344,5.3,4.5,-2267,
,A,Adam Smith,BOU,D,0.0,0.02,2.0,2.1,3.3,1766,4.8,0.4,118,
,J,Schlupp,CRY,D,0.02,0.02,2.1,2.1,0.7,1560,4.7,0.2,-1421,
,T,Smith,HUD,D,0.02,0.02,2.1,2.1,0.0,1519,4.8,0.3,-533,
,W,Morgan,LEI,D,0.0,0.02,2.0,2.1,0.0,1917,4.4,1.9,-8433,
,T,Fosu-Mensah,CRY,D,0.0,0.02,2.0,2.1,3.3,1230,4.4,1.1,3710,
,A,Masuaku,WHU,D,0.02,0.02,2.1,2.1,1.5,1323,4.5,1.6,-42778,
,S,Dann,CRY,D,-0.02,0.0,1.9,2.0,0.0,1434,4.6,0.3,-1053,
,E,Pieters,STK,D,0.0,0.0,2.0,2.0,4.0,1750,4.7,0.4,3725,
,S,Francis,BOU,D,-0.09,-0.05,1.6,1.8,1.0,1702,4.3,0.9,2211,
,K,Wimmer,STK,D,-0.21,-0.17,1.1,1.3,0.7,1321,4.2,0.4,-1116,
