I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
J,Holebas,WAT,D,0.3,14,4,3.5,360,90.0,5.0,0.7
T,Smith,HUD,D,0.28,17,5,3.4,416,83.0,5.0,0.5
A,Cresswell,WHU,D,0.28,17,5,3.4,369,73.0,5.0,0.7
A,Rüdiger,CHE,D,0.22,13,4,3.3,360,90.0,5.9,2.1
R,Shawcross,STK,D,0.27,10,3,3.3,270,90.0,4.9,1.2
C,Mbemba,NEW,D,0.32,13,4,3.3,326,81.0,4.0,10.0
M,Lowton,BUR,D,0.27,16,5,3.2,450,90.0,4.5,1.1
J,Matip,LIV,D,0.18,15,5,3.0,450,90.0,5.5,2.9
R,Klavan,LIV,D,0.23,9,3,3.0,270,90.0,4.4,0.5
C,Kabasele,WAT,D,0.22,12,4,3.0,278,69.0,4.5,0.1
H,Bellerín,ARS,D,0.14,14,5,2.8,450,90.0,5.9,10.1
S,Duffy,BHA,D,0.18,14,5,2.8,450,90.0,4.5,0.6
G,Cameron,STK,D,0.18,11,4,2.8,293,73.0,4.5,0.5
A,Moreno,LIV,D,0.16,8,3,2.7,270,90.0,4.5,2.0
V,Kompany,MCI,D,0.12,8,3,2.7,270,90.0,5.9,3.4
C,Daniels,BOU,D,0.12,13,5,2.6,450,90.0,4.9,11.6
J,Tarkowski,BUR,D,0.13,13,5,2.6,450,90.0,4.5,0.2
K,Zouma,STK,D,0.11,13,5,2.6,450,90.0,5.5,2.7
P,Jagielka,EVE,D,0.1,10,4,2.5,352,88.0,5.0,6.1
B,Mee,BUR,D,0.09,12,5,2.4,450,90.0,4.5,7.4
M,Keane,EVE,D,0.07,12,5,2.4,450,90.0,5.5,11.2
M,Suttner,BHA,D,0.09,12,5,2.4,450,90.0,4.5,0.6
B,Bruno,BHA,D,0.07,9,4,2.3,286,71.0,4.5,0.2
E,Pieters,STK,D,0.04,11,5,2.2,448,89.0,5.0,0.8
P,Zabaleta,WHU,D,0.04,11,5,2.2,450,90.0,4.9,2.3
L,Baines,EVE,D,0.0,10,5,2.0,450,90.0,5.9,7.6
C,Fuchs,LEI,D,0.0,8,4,2.0,360,90.0,4.9,2.7
D,Simpson,LEI,D,0.0,10,5,2.0,450,90.0,4.5,4.4
L,Dunk,BHA,D,-0.04,9,5,1.8,450,90.0,4.5,1.2
A,Williams,EVE,D,-0.04,9,5,1.8,375,75.0,5.4,3.4
W,Morgan,LEI,D,-0.09,8,5,1.6,450,90.0,4.5,2.8
T,Fosu-Mensah,CRY,D,-0.09,8,5,1.6,437,87.0,4.5,1.5
N,Aké,BOU,D,-0.12,7,5,1.4,450,90.0,5.0,4.6
S,Dann,CRY,D,-0.12,7,5,1.4,450,90.0,4.9,0.7
A,Adam Smith,BOU,D,-0.2,5,5,1.0,370,74.0,4.9,0.7
S,Steve Cook,BOU,D,-0.24,3,4,0.8,360,90.0,4.9,0.5
J,Ward,CRY,D,-0.24,4,5,0.8,450,90.0,4.9,0.3
T,Alexander-Arnold,LIV,D,-0.38,1,3,0.3,270,90.0,4.5,2.0
A,Ogbonna,WHU,D,-0.39,1,3,0.3,270,90.0,4.4,0.9
