W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,110222
m,A,Lacazette,ARS,F,0.33,0.47,5.2,6.6,5.3,715,9.7,13.5,-110880,-14,
o,C,Wilson,BOU,F,0.65,0.65,6.3,6.3,9.3,877,6.6,29.7,262061,15,
o,S,Agüero,MCI,F,0.35,0.35,6.0,6.0,3.0,711,11.3,51.9,66077,2,
m,G,Murray,BHA,F,0.41,0.55,4.7,5.6,5.7,752,6.6,4.4,108155,42,
,J,King,BOU,F,0.45,0.45,4.9,4.9,5.0,779,6.4,3.7,-72312,-34,
,H,Kane,TOT,F,0.23,0.23,4.9,4.9,1.7,891,12.4,24.2,-56164,-4,
,A,Mitrovic,FUL,F,0.41,0.41,4.8,4.8,2.7,900,6.8,24.7,-111268,-8,
m,M,Arnautovic,WHU,F,0.4,0.4,4.8,4.8,0.7,629,7.0,17.2,-12973,-1,
,P,Aubameyang,ARS,F,0.39,0.23,6.3,4.5,11.7,688,10.9,15.3,94272,11,
,R,Lukaku,MUN,F,0.17,0.23,3.8,4.5,1.7,768,10.8,5.7,-32386,-10,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,4.44,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,S,Vokes,BUR,F,0.15,0.38,2.8,4.0,4.0,535,5.3,1.4,12007,15,
,W,Zaha,CRY,F,0.29,0.29,4.0,4.0,3.0,810,6.8,16.0,-29035,-3,
o,J,Vardy,LEI,F,0.21,0.22,3.9,4.0,1.7,563,9.0,5.2,16325,5,
,R,Firmino,LIV,F,0.18,0.22,3.7,4.0,1.7,745,9.3,19.8,-104440,-9,
,D,Ings,SOU,F,0.29,0.34,3.6,3.9,1.7,700,5.6,5.2,-31070,-10,
,T,Deeney,WAT,F,0.31,0.31,3.8,3.8,0.7,718,5.9,3.2,-34345,-18,
,R,Jiménez,WOL,F,0.32,0.32,3.8,3.8,2.7,805,5.7,7.4,-21148,-5,
,B,Reid,CAR,F,0.15,0.33,2.8,3.7,5.0,543,5.2,0.6,7673,22,
,A,Gray,WAT,F,0.18,0.27,3.1,3.6,1.0,603,6.0,1.4,-3051,-4,
,Á,Morata,CHE,F,0.1,0.14,2.9,3.2,4.0,511,8.7,2.1,18301,15,
,A,Pérez,NEW,F,0.03,0.05,2.2,2.3,3.0,734,6.1,1.1,-199,0,
