team,11~14_avg,11,12~15_avg,12,13~16_avg,13,14,15,16
HUD,2.13,2,2.33,2,2.8,3,2,3,4
LEI,2.2,2,2.4,2,2.93,3,3,2,4
WAT,2.33,2,2.87,2,3.8,4,3,5,3
WHU,2.4,2,2.8,2,3.6,5,2,2,2
CHE,2.53,2,3.13,3,3.4,4,2,3,5
BHA,2.67,3,2.27,2,2.53,3,2,2,2
CAR,2.73,3,2.47,2,2.93,3,3,3,2
EVE,2.73,2,3.47,4,2.87,2,5,2,3
MCI,2.73,2,3.53,4,3.07,3,3,3,4
BUR,2.8,3,2.67,3,2.27,2,2,4,2
NEW,2.8,3,2.6,3,2.2,2,2,3,3
FUL,2.93,2,3.93,5,2.8,2,4,3,4
TOT,2.93,3,2.8,2,3.67,4,4,2,3
LIV,3.27,4,2.4,2,2.87,3,3,2,3
MUN,3.33,3,3.73,5,2.27,2,2,4,2
BOU,3.53,4,2.93,2,4.0,4,5,2,4
ARS,3.6,4,3.2,3,3.33,3,4,4,2
WOL,3.6,4,3.2,4,2.27,2,2,4,2
CRY,3.87,4,3.67,4,3.27,4,2,3,3
SOU,4.0,5,2.93,3,2.8,2,4,4,2
