team,11~15_avg,11,12~16_avg,12,13,14,15,16
SWA,1.94,1,2.9,3,2,5,2,2
BOU,2.0,2,2.0,2,2,2,2,2
TOT,2.06,1,3.16,4,2,3,2,2
EVE,2.13,2,2.32,2,3,2,2,4
BHA,2.26,2,2.52,2,4,1,4,2
LIV,2.26,2,2.55,2,4,2,2,3
HUD,2.42,2,2.81,2,4,4,3,1
NEW,2.61,2,3.26,4,2,2,5,3
LEI,2.65,2,3.29,4,2,4,2,2
STK,2.65,3,2.32,2,2,4,2,4
WAT,2.71,3,2.42,2,2,4,4,3
WBA,2.74,2,3.48,4,4,2,1,2
BUR,2.81,3,2.58,2,4,2,3,2
SOU,2.84,2,3.74,4,3,5,2,4
CHE,3.29,4,2.52,2,4,2,2,2
MCI,3.29,4,2.58,3,2,2,2,4
CRY,3.29,4,2.52,3,2,2,2,2
WHU,3.32,4,2.65,2,3,3,5,4
MUN,3.48,5,1.94,2,1,2,4,4
ARS,4.26,5,3.45,4,3,2,4,3
