team,26~29_avg,26,27~30_avg,27,28~31_avg,28,29,30,31
ARS,2.2,2,2.53,2,3.13,2,5,4,3
BHA,3.2,2,4.4,6,2.53,3,2,2,2
BOU,4.27,5,3.33,3,3.6,4,4,2,2
BUR,3.07,3,3.27,4,2.47,2,2,5,3
CAR,2.47,2,3.0,3,3.0,3,3,3,3
CHE,4.93,5,4.73,6,3.27,4,2,3,3
CRY,3.07,3,3.07,3,3.27,4,2,2,5
EVE,3.73,3,4.4,6,2.67,2,4,2,4
FUL,3.47,4,2.87,3,2.8,2,4,3,4
HUD,3.27,4,2.4,2,2.87,3,3,2,3
LEI,3.67,5,2.13,2,2.27,2,3,2,2
LIV,2.73,2,3.47,4,2.8,3,3,2,2
MCI,4.33,4,4.6,6,3.07,3,3,3,4
MUN,2.53,2,3.2,4,2.4,2,2,4,4
NEW,2.6,3,2.2,2,2.47,2,3,3,3
SOU,2.67,2,3.47,4,2.87,2,4,4,3
TOT,2.93,3,2.8,2,3.6,4,4,2,2
WAT,3.0,3,3.13,2,4.27,5,3,5,2
WHU,2.4,2,2.8,2,3.6,5,2,2,2
WOL,2.27,2,2.67,3,2.4,2,2,4,4
