team,26~30_avg,26,27~31_avg,27,28,29,30,31
BOU,2.13,2,2.26,2,2,3,4,2
BHA,2.16,2,2.42,2,2,4,3,5
STK,2.19,2,2.39,2,3,2,4,2
WHU,2.29,2,2.65,2,4,2,3,4
MUN,2.39,2,2.81,2,4,3,4,3
CHE,2.45,2,2.94,2,4,5,2,3
WBA,2.55,2,3.1,4,2,2,3,2
SOU,2.65,2,3.29,4,3,2,2,2
CRY,2.71,2,3.42,3,4,4,4,2
ARS,2.77,2,3.58,4,4,2,2,3
LEI,2.77,2,3.61,5,2,2,2,4
SWA,2.77,3,2.52,3,2,2,2,2
BUR,3.06,4,2.13,2,2,2,3,4
EVE,3.1,4,2.13,2,2,3,2,2
LIV,3.1,4,2.13,2,2,2,4,2
HUD,3.16,4,2.26,2,2,4,2,2
MCI,3.16,3,3.29,3,4,4,2,2
NEW,3.16,3,3.35,4,2,4,2,4
WAT,3.35,4,2.71,3,2,2,4,4
TOT,3.68,4,3.29,4,3,2,2,2
