O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,020214
,G,Xhaka,ARS,M,0.19,0.19,3.0,3.0,2.5,2170,5.2,7.4,-3626,-1,
,J,Gudmundsson,BUR,M,0.18,0.2,2.9,3.0,2.0,1860,5.0,0.8,-1527,-3,
,J,Hendrick,BUR,M,0.17,0.19,2.9,3.0,2.0,1706,5.4,0.2,-145,-1,
,J,Murphy,NEW,M,0.02,0.2,2.1,3.0,3.3,846,5.0,0.1,-264,-5,
,G,Krychowiak,WBA,M,0.08,0.21,2.4,3.0,3.3,1219,4.8,0.2,-195,-2,
,G,Deulofeu,WAT,M,0.17,0.17,3.0,3.0,3.0,87,6.0,0.2,8073,70,
,J,Ibe,BOU,M,0.15,0.19,2.7,2.9,6.0,1434,4.8,1.3,28514,38,
,S,March,BHA,M,0.04,0.18,2.2,2.9,2.3,1486,4.9,0.2,25,0,
,C,Kouyaté,WHU,M,0.12,0.18,2.6,2.9,2.8,1630,5.0,0.4,-333,-1,
,G,Wijnaldum,LIV,M,0.08,0.12,2.5,2.8,1.7,1582,6.6,2.0,-485,0,
,T,Ince,HUD,M,0.11,0.13,2.6,2.7,1.3,1978,5.5,0.4,-414,-2,
,T,Carroll,SWA,M,0.09,0.16,2.4,2.7,1.3,1813,4.3,5.1,-653,0,
,T,Cleverley,WAT,M,0.1,0.14,2.5,2.7,1.3,1900,5.0,0.5,-638,-2,
,S,Defour,BUR,M,0.11,0.11,2.6,2.6,0.7,1998,5.4,0.3,-1138,-7,
,J,Cork,BUR,M,0.13,0.13,2.6,2.6,2.0,2250,4.6,3.1,-2498,-1,
,Y,Cabaye,CRY,M,0.06,0.11,2.3,2.6,1.0,1561,5.3,0.2,-19,0,
,W,Ndidi,LEI,M,0.12,0.12,2.6,2.6,3.3,2220,4.9,0.5,1120,4,
,D,Fletcher,STK,M,0.13,0.13,2.6,2.6,2.7,2065,4.8,0.5,-206,-1,
,N,Matic,MUN,M,0.1,0.1,2.5,2.5,2.3,2213,4.8,8.3,-3847,-1,
,N,Redmond,SOU,M,0.03,0.08,2.2,2.5,0.0,1369,5.9,1.6,-735,-1,
,L,Fer,SWA,M,0.02,0.1,2.1,2.5,1.7,1359,5.2,0.2,83,1,
,E,Dier,TOT,M,0.09,0.11,2.4,2.5,3.3,2104,4.7,2.6,956,1,
,D,Pröpper,BHA,M,0.09,0.09,2.5,2.5,2.0,2235,5.3,0.1,21,0,
,D,Stephens,BHA,M,0.09,0.09,2.4,2.4,2.0,2250,4.5,1.4,1536,2,
,J,Livermore,WBA,M,0.02,0.08,2.1,2.4,0.7,1754,4.8,0.1,-199,-3,
,G,Barry,WBA,M,0.07,0.07,2.3,2.3,2.0,1684,4.5,0.9,164,0,
,I,Gueye,EVE,M,0.04,0.04,2.2,2.2,1.3,1849,4.8,0.8,-197,0,
,O,Oriol Romeu,SOU,M,0.0,0.02,2.0,2.1,1.0,1934,4.3,2.2,-602,0,
,M,Schneiderlin,EVE,M,-0.09,-0.02,1.6,1.9,1.0,1430,4.7,0.5,-168,-1,
