I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
J,Stanislas,BOU,M,0.52,107,21,5.1,1467,69.0,6.0,0.2
C,Eriksen,TOT,M,0.43,218,36,6.1,3159,87.0,9.5,14.0
B,Alli,TOT,M,0.43,225,37,6.1,3036,82.0,9.5,37.1
A,Sánchez,ARS,M,0.41,264,38,6.9,3217,84.0,12.0,9.4
S,Cazorla,ARS,M,0.4,38,8,4.8,618,77.0,7.0,0.1
E,Hazard,CHE,M,0.4,224,36,6.2,2985,82.0,10.5,2.0
S,Mané,LIV,M,0.4,156,27,5.8,2242,83.0,9.5,14.6
P,Coutinho,LIV,M,0.39,171,31,5.5,2228,71.0,9.0,23.7
H,Son,TOT,M,0.39,174,34,5.1,2063,60.0,8.0,1.2
I,Gündogan,MCI,M,0.38,41,10,4.1,704,70.0,5.5,0.6
M,Phillips,WBA,M,0.38,115,27,4.3,2181,80.0,6.0,2.2
K,De Bruyne,MCI,M,0.35,199,36,5.5,2877,79.0,10.0,24.6
M,Antonio,WHU,M,0.35,132,29,4.6,2433,83.0,7.5,0.2
M,Özil,ARS,M,0.33,167,33,5.1,2841,86.0,9.5,4.1
W,Zaha,CRY,M,0.33,149,35,4.3,3019,86.0,7.0,23.0
A,Lallana,LIV,M,0.33,139,31,4.5,2338,75.0,7.5,3.9
G,Sigurdsson,SWA,M,0.33,181,38,4.8,3327,87.0,8.5,8.4
T,Walcott,ARS,M,0.32,122,28,4.4,1916,68.0,7.5,2.3
P,Pedro,CHE,M,0.32,162,35,4.6,2140,61.0,8.0,2.3
C,Fàbregas,CHE,M,0.31,121,29,4.2,1340,46.0,7.0,8.5
R,Sterling,MCI,M,0.31,149,33,4.5,2509,76.0,8.0,5.9
W,Ndidi,LEI,M,0.3,59,17,3.5,1521,89.0,5.0,0.5
G,Wijnaldum,LIV,M,0.3,149,36,4.1,2974,82.0,7.0,7.3
J,Mata,MUN,M,0.3,102,25,4.1,1614,64.0,7.0,2.7
X,Shaqiri,STK,M,0.3,80,21,3.8,1699,80.0,6.0,3.6
R,Snodgrass,WHU,M,0.3,133,35,3.8,2548,72.0,6.0,6.5
R,Fraser,BOU,M,0.29,100,28,3.6,1764,63.0,5.5,1.6
J,McArthur,CRY,M,0.27,93,29,3.2,1999,68.0,4.5,10.5
R,Barkley,EVE,M,0.27,144,36,4.0,2900,80.0,7.5,0.4
E,Capoue,WAT,M,0.27,131,37,3.5,3204,86.0,5.5,8.1
E,Can,LIV,M,0.26,104,32,3.3,2371,74.0,5.0,6.6
M,Lanzini,WHU,M,0.26,133,35,3.8,2708,77.0,7.0,4.0
A,Iwobi,ARS,M,0.25,89,26,3.4,1456,56.0,5.5,1.6
N,Chadli,WBA,M,0.25,110,31,3.5,2135,68.0,6.0,2.8
L,Sané,MCI,M,0.24,105,26,4.0,1781,68.0,8.5,6.3
J,Allen,STK,M,0.24,118,36,3.3,2930,81.0,5.5,5.2
M,Arnautovic,WHU,M,0.24,117,32,3.7,2713,84.0,7.0,3.8
A,Ayew,WHU,M,0.23,89,25,3.6,1439,57.0,7.0,2.9
K,Mirallas,EVE,M,0.22,119,35,3.4,2074,59.0,6.5,3.3
D,David Silva,MCI,M,0.22,130,34,3.8,2760,81.0,8.0,2.9
G,Yaya Touré,MCI,M,0.22,86,25,3.4,1941,77.0,6.5,2.4
A,Martial,MUN,M,0.22,95,25,3.8,1553,62.0,8.0,1.2
P,Pogba,MUN,M,0.22,115,30,3.8,2608,86.0,8.0,22.7
N,Redmond,SOU,M,0.22,126,37,3.4,2898,78.0,6.5,9.6
R,Pereyra,WAT,M,0.22,43,13,3.3,1036,79.0,6.0,0.2
C,Brunt,WBA,M,0.22,99,31,3.2,2477,79.0,5.5,0.3
M,Pugh,BOU,M,0.2,64,21,3.0,1329,63.0,5.0,0.1
J,Walters,BUR,M,0.2,72,23,3.1,1304,56.0,5.5,0.7
W,Willian,CHE,M,0.2,114,34,3.4,1534,45.0,7.0,14.3
N,Matic,MUN,M,0.2,105,35,3.0,2694,76.0,5.0,10.6
A,Townsend,CRY,M,0.2,116,36,3.2,2520,70.0,6.0,2.8
L,Milivojevic,CRY,M,0.2,42,14,3.0,1224,87.0,5.0,2.1
A,Herrera,MUN,M,0.2,97,31,3.1,2465,79.0,5.5,5.4
J,Ward-Prowse,SOU,M,0.2,92,30,3.1,1883,62.0,5.5,2.2
D,Tadic,SOU,M,0.2,108,33,3.3,2411,73.0,6.5,3.8
T,Carroll,SWA,M,0.2,52,18,2.9,1389,77.0,4.5,4.5
Y,Bolasie,EVE,M,0.18,45,14,3.2,1048,74.0,6.5,0.2
J,Henderson,LIV,M,0.18,73,24,3.0,2116,88.0,5.5,1.9
V,Wanyama,TOT,M,0.18,103,36,2.9,3012,83.0,5.0,2.0
E,Lamela,TOT,M,0.17,28,9,3.1,595,66.0,6.5,0.1
M,Albrighton,LEI,M,0.16,95,33,2.9,2412,73.0,5.5,1.2
A,Chamberlain,ARS,M,0.15,83,29,2.9,1564,53.0,6.0,2.5
R,Brady,BUR,M,0.15,39,14,2.8,719,51.0,5.5,0.5
Y,Cabaye,CRY,M,0.15,91,33,2.8,2125,64.0,5.5,1.6
R,Mahrez,LEI,M,0.15,120,36,3.3,2826,78.0,8.5,1.8
L,Fer,SWA,M,0.15,95,34,2.8,2405,70.0,5.5,0.7
D,Fletcher,STK,M,0.14,103,38,2.7,3231,85.0,5.0,1.1
~,~~~~~~~~,~~~~,~,0.14,~~,~,~~~,~~~,~~~~~,~~~~~,~
G,Xhaka,ARS,M,0.13,85,31,2.7,2483,80.0,5.5,2.3
H,Mkhitaryan,MUN,M,0.13,73,24,3.0,1348,56.0,8.0,6.0
W,Routledge,SWA,M,0.13,74,27,2.7,1917,71.0,5.5,0.1
J,Morrison,WBA,M,0.13,84,31,2.7,1741,56.0,5.5,0.0
J,Puncheon,CRY,M,0.12,92,35,2.6,3093,88.0,5.0,1.4
E,Dier,TOT,M,0.12,93,36,2.6,3043,84.0,5.0,4.3
S,Defour,BUR,M,0.11,54,21,2.6,1068,50.0,5.5,0.2
T,Davies,EVE,M,0.11,63,24,2.6,1544,64.0,5.5,1.0
M,Nolito,MCI,M,0.11,54,19,2.8,777,40.0,7.0,0.3
P,Obiang,WHU,M,0.11,55,22,2.5,1763,80.0,4.5,0.8
S,Feghouli,WHU,M,0.11,55,21,2.6,1042,49.0,5.5,0.1
C,Adam,STK,M,0.1,59,24,2.5,1491,62.0,5.0,0.1
M,Dembélé,TOT,M,0.1,76,30,2.5,2056,68.0,5.0,2.3
C,Kouyaté,WHU,M,0.1,79,32,2.5,2723,85.0,5.0,0.0
D,Marney,BUR,M,0.09,51,21,2.4,1764,84.0,4.5,0.0
J,Clasie,SOU,M,0.09,38,16,2.4,1022,63.0,4.5,0.4
H,Arter,BOU,M,0.08,84,35,2.4,2956,84.0,5.0,0.9
J,Gudmundsson,BUR,M,0.08,47,20,2.4,999,49.0,5.0,0.1
N,Kanté,CHE,M,0.08,83,35,2.4,3138,89.0,5.0,15.8
I,Gueye,EVE,M,0.08,80,33,2.4,2681,81.0,5.0,1.4
D,Drinkwater,LEI,M,0.08,69,29,2.4,2466,85.0,5.0,0.7
F,Fernandinho,MCI,M,0.08,78,33,2.4,2755,83.0,5.0,0.9
S,Davis,SOU,M,0.08,77,32,2.4,2643,82.0,5.0,0.2
J,Hendrick,BUR,M,0.07,76,32,2.4,2691,84.0,5.5,0.2
J,Lingard,MUN,M,0.07,60,25,2.4,1360,54.0,6.0,0.5
O,Oriol Romeu,SOU,M,0.07,80,35,2.3,3071,87.0,4.5,4.5
M,Noble,WHU,M,0.07,71,30,2.4,2389,79.0,5.5,0.2
A,Ramsey,ARS,M,0.06,56,23,2.4,1236,53.0,7.0,3.3
S,Arfield,BUR,M,0.04,69,31,2.2,2103,67.0,5.0,0.1
M,Schneiderlin,EVE,M,0.04,37,17,2.2,1073,63.0,5.0,1.0
D,Amartey,LEI,M,0.04,53,24,2.2,1673,69.0,4.5,0.3
A,Young,MUN,M,0.04,26,12,2.2,760,63.0,5.0,0.0
N,Amrabat,WAT,M,0.04,65,30,2.2,2091,69.0,5.0,0.1
J,Wilshere,ARS,M,0.02,61,29,2.1,1950,67.0,5.5,0.0
G,Barry,EVE,M,0.02,68,32,2.1,2109,65.0,4.5,1.9
G,Whelan,STK,M,0.02,62,30,2.1,2276,75.0,4.5,0.1
R,Sobhi,STK,M,0.02,36,17,2.1,855,50.0,5.0,1.0
J,Livermore,WBA,M,0.02,77,37,2.1,2970,80.0,5.0,0.2
A,Surman,BOU,M,0.0,44,22,2.0,1800,81.0,4.5,0.9
L,Lucas,LIV,M,0.0,47,24,2.0,1112,46.0,4.5,0.1
G,Imbula,STK,M,0.0,24,12,2.0,796,66.0,4.5,0.2
L,Britton,SWA,M,0.0,32,16,2.0,1163,72.0,4.5,0.1
T,Cleverley,WAT,M,0.0,55,28,2.0,1848,66.0,5.0,0.2
M,Elneny,ARS,M,-0.02,26,14,1.9,694,49.0,4.5,0.9
J,McCarthy,EVE,M,-0.02,23,12,1.9,613,51.0,5.0,0.1
D,Gray,LEI,M,-0.02,58,31,1.9,1049,33.0,5.5,1.0
A,Musa,LEI,M,-0.02,39,21,1.9,761,36.0,6.5,1.2
M,Barrow,SWA,M,-0.02,34,18,1.9,1145,63.0,5.0,0.0
A,Doucouré,WAT,M,-0.02,38,20,1.9,1352,67.0,5.0,0.0
F,Coquelin,ARS,M,-0.04,52,29,1.8,1779,61.0,4.5,1.1
D,Gosling,BOU,M,-0.04,49,27,1.8,1366,50.0,5.0,0.1
A,King,LEI,M,-0.04,41,23,1.8,1446,62.0,4.5,0.8
M,Carrick,MUN,M,-0.04,42,23,1.8,1601,69.0,4.5,1.5
S,Ki Sung-yueng,SWA,M,-0.04,41,23,1.8,1291,56.0,5.0,0.0
V,Behrami,WAT,M,-0.04,48,27,1.8,2030,75.0,4.5,0.3
S,Boufal,SOU,M,-0.05,40,24,1.7,1104,46.0,6.0,0.3
M,Sissoko,TOT,M,-0.05,43,25,1.7,909,36.0,5.5,0.2
M,Fellaini,MUN,M,-0.06,48,28,1.7,1604,57.0,5.0,0.4
J,Cork,BUR,M,-0.07,50,29,1.7,2232,76.0,4.5,0.4
P,Højbjerg,SOU,M,-0.07,38,22,1.7,1300,59.0,4.5,0.4
J,Fulton,SWA,M,-0.07,19,11,1.7,690,62.0,4.5,0.1
C,Yacob,WBA,M,-0.09,54,34,1.6,2418,71.0,4.5,0.4
J,McClean,WBA,M,-0.1,52,35,1.5,1477,42.0,5.0,0.1
J,Ibe,BOU,M,-0.12,36,26,1.4,1055,40.0,5.0,0.5
A,Westwood,BUR,M,-0.13,13,9,1.4,551,61.0,4.5,0.1
E,Fernandes,WHU,M,-0.13,38,27,1.4,1002,37.0,4.5,0.3
F,Fernando,MCI,M,-0.18,18,15,1.2,568,37.0,4.5,0.4
