W,I,web_name       ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,030620
 ,V,Camarasa       ,CAR ,M,4.6 ,79 ,0.24 ,0.24 ,3.1,3.1 ,1.5 ,2.1 ,-2968 ,-2 ,      
 ,W,Hughes         ,WAT ,M,4.9 ,70 ,0.1  ,0.22 ,2.5,3.1 ,3.8 ,0.5 ,-145  ,0  ,      
 ,G,Xhaka          ,ARS ,M,5.2 ,82 ,0.17 ,0.19 ,2.9,3.0 ,1.0 ,2.3 ,-428  ,0  ,      
 ,S,March          ,BHA ,M,4.9 ,82 ,0.18 ,0.2  ,2.9,3.0 ,1.0 ,0.9 ,-2032 ,-4 ,      
m,H,Barnes         ,LEI ,M,5.5 ,21 ,0.13 ,0.18 ,2.7,3.0 ,2.8 ,0.4 ,992   ,4  ,      
 ,F,Fernandinho    ,MCI ,M,5.3 ,86 ,0.17 ,0.17 ,2.9,2.9 ,1.3 ,3.2 ,-6075 ,-3 ,      
 ,M,Ritchie        ,NEW ,M,5.8 ,85 ,0.12 ,0.16 ,2.7,2.9 ,2.0 ,0.6 ,-697  ,-2 ,      
 ,A,Mooy           ,HUD ,M,5.0 ,67 ,0.1  ,0.16 ,2.5,2.8 ,1.3 ,1.0 ,-107  ,0  ,      
 ,M,Sissoko        ,TOT ,M,4.9 ,72 ,0.12 ,0.16 ,2.6,2.8 ,3.0 ,0.3 ,779   ,4  ,      
 ,M,Noble          ,WHU ,M,4.8 ,67 ,0.13 ,0.17 ,2.6,2.8 ,4.5 ,0.4 ,4348  ,17 ,      
 ,R,Neves          ,WOL ,M,4.9 ,88 ,0.16 ,0.16 ,2.8,2.8 ,1.3 ,10.9,-9168 ,-1 ,      
 ,J,Jorginho       ,CHE ,M,4.6 ,92 ,0.15 ,0.15 ,2.7,2.7 ,4.3 ,5.8 ,10012 ,3  ,      
 ,J,Seri           ,FUL ,M,4.9 ,81 ,0.08 ,0.14 ,2.4,2.7 ,0.8 ,1.4 ,-450  ,-1 ,      
 ,E,Capoue         ,WAT ,M,4.8 ,89 ,0.15 ,0.15 ,2.7,2.7 ,2.8 ,0.5 ,-96   ,0  ,      
 ,P,Højbjerg       ,SOU ,M,4.4 ,77 ,0.14 ,0.14 ,2.6,2.6 ,2.3 ,2.5 ,8     ,0  ,      
 ,D,Pröpper        ,BHA ,M,4.8 ,85 ,0.1  ,0.1  ,2.5,2.5 ,5.0 ,0.2 ,312   ,2  ,      
 ,P,Billing        ,HUD ,M,4.5 ,84 ,0.11 ,0.11 ,2.5,2.5 ,1.3 ,1.4 ,226   ,0  ,      
 ,D,Stephens       ,BHA ,M,4.4 ,66 ,0.0  ,0.09 ,2.0,2.4 ,2.3 ,3.0 ,-390  ,0  ,      
 ,J,Cork           ,BUR ,M,4.6 ,99 ,0.09 ,0.09 ,2.4,2.4 ,2.0 ,0.6 ,-377  ,-1 ,      
 ,W,Ndidi          ,LEI ,M,4.9 ,102,0.08 ,0.08 ,2.4,2.4 ,1.8 ,0.8 ,114   ,0  ,      
 ,O,Oriol Romeu    ,SOU ,M,4.2 ,63 ,0.0  ,0.1  ,2.0,2.4 ,4.0 ,2.0 ,6403  ,5  ,      
 ,I,Gueye          ,EVE ,M,4.7 ,81 ,0.04 ,0.06 ,2.2,2.3 ,3.3 ,0.3 ,315   ,2  ,      
 ,J,Hogg           ,HUD ,M,4.4 ,71 ,0.0  ,0.05 ,2.0,2.2 ,1.8 ,0.3 ,-297  ,-2 ,      
 ,N,Mendy          ,LEI ,M,4.5 ,80 ,0.02 ,0.04 ,2.1,2.2 ,0.5 ,1.0 ,-247  ,0  ,      
 ,N,Matic          ,MUN ,M,5.0 ,81 ,0.04 ,0.04 ,2.2,2.2 ,0.5 ,0.7 ,-1300 ,-3 ,      
 ,M,Diamé          ,NEW ,M,4.8 ,75 ,0.0  ,0.04 ,2.0,2.2 ,0.8 ,0.1 ,6     ,0  ,      
 ,J,Lerma          ,BOU ,M,4.5 ,69 ,0.02 ,-0.02,2.1,1.9 ,0.8 ,0.2 ,-129  ,-1 ,      
 ,H,Arter          ,CAR ,M,4.9 ,70 ,-0.04,-0.02,1.8,1.9 ,1.0 ,0.2 ,-25   ,0  ,      
 ,M,Guendouzi      ,ARS ,M,4.4 ,67 ,-0.11,-0.05,1.5,1.8 ,1.3 ,1.9 ,-414  ,0  ,      
 ,J,Ralls          ,CAR ,M,4.6 ,66 ,-0.09,-0.07,1.6,1.7 ,1.5 ,0.1 ,-16   ,0  ,      
