W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,030620
 ,I,Gündogan        ,MCI ,M,5.4 ,56 ,0.3  ,0.5  ,3.6,4.7 ,4.0 ,2.6 ,5203  ,3  ,      
 ,J,Matip           ,LIV ,D,4.9 ,36 ,0.37 ,0.65 ,3.8,5.2 ,6.5 ,0.8 ,5065  ,10 ,      
 ,A,Ogbonna         ,WHU ,D,4.2 ,53 ,0.02 ,0.07 ,2.1,2.3 ,4.3 ,0.6 ,4867  ,13 ,      
 ,L,Digne           ,EVE ,D,5.2 ,86 ,0.35 ,0.42 ,3.8,4.2 ,3.8 ,7.5 ,4524  ,1  ,      
 ,M,Noble           ,WHU ,M,4.8 ,67 ,0.13 ,0.17 ,2.6,2.8 ,4.5 ,0.4 ,4348  ,17 ,      
m,F,Schär           ,NEW ,D,4.7 ,55 ,0.4  ,0.53 ,3.9,4.5 ,6.3 ,2.8 ,4157  ,2  ,      
m,F,Felipe Anderson ,WHU ,M,7.2 ,98 ,0.33 ,0.33 ,4.4,4.4 ,2.3 ,15.4,4109  ,0  ,      
 ,I,Hayden          ,NEW ,M,4.4 ,44 ,0.2  ,0.41 ,2.9,3.8 ,5.5 ,2.4 ,3774  ,3  ,      
 ,B,Chilwell        ,LEI ,D,5.0 ,96 ,0.22 ,0.22 ,3.1,3.1 ,1.0 ,2.5 ,3520  ,2  ,      
 ,M,Keane           ,EVE ,D,4.8 ,93 ,0.35 ,0.35 ,3.7,3.7 ,3.8 ,3.7 ,3169  ,1  ,      
 ,H,Lloris          ,TOT ,G,5.5 ,89 ,0.47 ,0.47 ,4.6,4.6 ,6.0 ,5.4 ,2866  ,1  ,      
 ,A,Alisson         ,LIV ,G,6.0 ,104,0.48 ,0.48 ,4.9,4.9 ,7.8 ,24.6,2821  ,0  ,      
 ,W,Boly            ,WOL ,D,4.6 ,94 ,0.28 ,0.35 ,3.3,3.6 ,5.3 ,4.4 ,2732  ,1  ,      
 ,O,Zinchenko       ,MCI ,M,4.7 ,20 ,0.47 ,0.6  ,4.2,4.8 ,4.0 ,0.2 ,2431  ,19 ,      
 ,A,Adam Smith      ,BOU ,D,4.3 ,66 ,0.14 ,0.16 ,2.6,2.7 ,0.8 ,0.5 ,2213  ,7  ,      
 ,P,van Aanholt     ,CRY ,D,5.4 ,102,0.28 ,0.3  ,3.5,3.6 ,2.0 ,4.9 ,2007  ,1  ,      
 ,C,Schindler       ,HUD ,D,4.2 ,101,0.1  ,0.14 ,2.4,2.6 ,2.3 ,2.4 ,1854  ,1  ,      
 ,J,McArthur        ,CRY ,M,4.8 ,92 ,0.23 ,0.25 ,3.1,3.2 ,3.5 ,3.2 ,1740  ,1  ,      
 ,J,Tomkins         ,CRY ,D,4.3 ,88 ,0.21 ,0.21 ,2.9,2.9 ,1.0 ,3.4 ,1667  ,1  ,      
 ,A,Gunn            ,SOU ,G,4.3 ,14 ,1.16 ,1.16 ,7.0,7.0 ,4.3 ,0.3 ,1659  ,9  ,      
 ,A,Barnes          ,BUR ,F,5.7 ,63 ,0.25 ,0.4  ,3.4,4.3 ,6.5 ,3.4 ,1464  ,1  ,      
 ,M,Ryan            ,BHA ,G,4.4 ,86 ,0.3  ,0.3  ,3.3,3.3 ,3.3 ,3.1 ,1392  ,1  ,      
 ,A,Westwood        ,BUR ,M,4.6 ,80 ,0.22 ,0.28 ,3.0,3.3 ,2.5 ,2.7 ,1029  ,1  ,      
 ,G,Wijnaldum       ,LIV ,M,5.5 ,83 ,0.2  ,0.24 ,3.1,3.3 ,4.8 ,1.1 ,1007  ,1  ,      
m,H,Barnes          ,LEI ,M,5.5 ,21 ,0.13 ,0.18 ,2.7,3.0 ,2.8 ,0.4 ,992   ,4  ,      
m,P,Pedro           ,CHE ,M,6.3 ,53 ,0.35 ,0.62 ,4.2,5.9 ,4.0 ,4.1 ,858   ,0  ,      
 ,M,Sissoko         ,TOT ,M,4.9 ,72 ,0.12 ,0.16 ,2.6,2.8 ,3.0 ,0.3 ,779   ,4  ,      
 ,K,Schmeichel      ,LEI ,G,5.0 ,104,0.2  ,0.2  ,3.0,3.0 ,1.0 ,4.8 ,743   ,0  ,      
~,~,~~~~~~~~        ,~~~~,~,~~  ,~~ ,~~~~ ,~~~~~,~~~,~~~~,~~~~,~   ,732.19,~~ ,~~~~~~
 ,N,Kanté           ,CHE ,M,5.0 ,99 ,0.28 ,0.28 ,3.4,3.4 ,2.3 ,19.2,732   ,0  ,      
 ,C,Chambers        ,FUL ,D,4.2 ,70 ,-0.05,0.02 ,1.8,2.1 ,2.0 ,0.9 ,618   ,1  ,      
 ,S,Coleman         ,EVE ,D,5.2 ,77 ,0.25 ,0.25 ,3.3,3.3 ,4.3 ,1.1 ,522   ,1  ,      
 ,L,Dunk            ,BHA ,D,4.4 ,89 ,0.16 ,0.18 ,2.7,2.8 ,3.0 ,2.3 ,439   ,0  ,      
 ,S,Sokratis        ,ARS ,D,5.1 ,66 ,0.06 ,0.08 ,2.3,2.4 ,2.3 ,1.1 ,410   ,1  ,      
 ,J,Lössl           ,HUD ,G,4.4 ,92 ,0.3  ,0.3  ,3.3,3.3 ,3.3 ,1.8 ,393   ,0  ,      
 ,I,Gueye           ,EVE ,M,4.7 ,81 ,0.04 ,0.06 ,2.2,2.3 ,3.3 ,0.3 ,315   ,2  ,      
 ,D,Pröpper         ,BHA ,M,4.8 ,85 ,0.1  ,0.1  ,2.5,2.5 ,5.0 ,0.2 ,312   ,2  ,      
 ,A,Knockaert       ,BHA ,M,5.2 ,55 ,0.13 ,0.31 ,2.7,3.6 ,4.0 ,0.5 ,285   ,1  ,      
 ,P,Billing         ,HUD ,M,4.5 ,84 ,0.11 ,0.11 ,2.5,2.5 ,1.3 ,1.4 ,226   ,0  ,      
 ,A,Rüdiger         ,CHE ,D,5.9 ,96 ,0.29 ,0.29 ,3.7,3.7 ,2.3 ,3.5 ,161   ,0  ,      
 ,C,Coady           ,WOL ,D,4.5 ,104,0.11 ,0.11 ,2.5,2.5 ,3.0 ,0.7 ,146   ,0  ,      
 ,W,Ndidi           ,LEI ,M,4.9 ,102,0.08 ,0.08 ,2.4,2.4 ,1.8 ,0.8 ,114   ,0  ,      
 ,P,Højbjerg        ,SOU ,M,4.4 ,77 ,0.14 ,0.14 ,2.6,2.6 ,2.3 ,2.5 ,8     ,0  ,      
 ,M,Diamé           ,NEW ,M,4.8 ,75 ,0.0  ,0.04 ,2.0,2.2 ,0.8 ,0.1 ,6     ,0  ,      
 ,J,Ralls           ,CAR ,M,4.6 ,66 ,-0.09,-0.07,1.6,1.7 ,1.5 ,0.1 ,-16   ,0  ,      
