team,29~32_avg,29,30~33_avg,30,31~34_avg,31,32,33,34
ARS,4.13,4,4.2,4,4.33,6,2,3,3
BHA,2.53,2,3.2,2,4.4,6,2,4,2
BOU,3.13,4,2.13,2,2.27,2,3,2,2
BUR,3.0,2,4.07,5,2.93,3,3,3,2
CAR,3.47,3,4.07,3,5.13,6,4,5,3
CHE,2.4,2,2.87,3,2.87,3,2,3,5
CRY,3.07,3,3.13,2,4.4,6,2,3,4
EVE,3.67,4,3.33,3,3.6,4,3,4,2
FUL,3.73,4,3.4,3,3.73,4,4,3,2
HUD,2.13,2,2.33,2,2.8,3,2,3,4
LEI,2.67,3,2.27,2,2.53,3,2,2,2
LIV,2.67,3,2.27,2,2.67,2,4,2,4
MCI,3.33,3,3.6,3,4.13,6,2,2,2
MUN,3.09,2,4.45,4,4.84,6,2.4,6,3
NEW,2.8,3,2.53,2,3.13,3,4,2,3
SOU,4.13,4,4.27,4,4.47,6,2,4,3
TOT,3.8,4,3.47,2,4.93,6,5,2,2
WAT,4.0,3,4.93,5,4.8,6,4,2,4
WHU,2.0,2,2.13,2,2.4,2,2,4,4
WOL,3.12,2,4.51,4,4.88,6,2.8,6,2
