W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,101921
o,E,Hazard,CHE,M,0.64,0.79,9.3,11.0,9.0,576,11.4,50.0,309124,11,
,J,Mata,MUN,M,0.26,0.89,3.6,7.5,4.0,252,6.2,1.1,4744,7,
m,R,Sterling,MCI,M,0.46,0.46,7.1,7.1,7.7,588,11.2,7.7,155261,35,
o,R,Richarlison,EVE,M,0.51,0.74,5.5,7.0,4.0,477,6.8,25.1,204546,14,
,B,Bernard,EVE,M,0.1,0.85,2.6,7.0,4.0,161,5.9,0.3,10433,60,
,L,Sané,MCI,M,0.22,0.54,4.0,7.0,4.3,294,9.2,5.2,4422,1,
,I,Gündogan,MCI,M,0.49,0.82,4.7,6.5,4.3,352,5.5,2.8,-52524,-33,
,J,Gudmundsson,BUR,M,0.6,0.72,5.6,6.3,9.7,554,6.0,3.5,43359,21,
o,R,Fraser,BOU,M,0.67,0.67,6.0,6.0,3.0,695,6.0,21.6,16135,1,
,S,Mané,LIV,M,0.41,0.41,6.0,6.0,2.3,700,9.8,33.5,-256892,-13,
m,G,Sigurdsson,EVE,M,0.45,0.53,5.3,5.9,8.7,658,7.4,6.3,222482,61,
,R,Barkley,CHE,M,0.18,0.65,3.0,5.7,5.0,277,5.7,0.7,21113,52,
m,J,Maddison,LEI,M,0.47,0.46,5.3,5.2,5.3,639,7.0,18.0,36476,4,
,M,Salah,LIV,M,0.26,0.25,5.3,5.2,4.3,671,12.8,30.2,-264665,-15,
,A,Martial,MUN,M,0.19,0.42,3.4,5.0,5.3,265,7.2,0.6,8453,24,
,L,Lucas Moura,TOT,M,0.41,0.41,5.0,5.0,3.0,684,7.4,20.7,-113066,-9,
o,B,Bernardo Silva,MCI,M,0.32,0.38,4.4,4.9,6.3,633,7.6,9.5,9217,2,
,M,Özil,ARS,M,0.34,0.34,4.8,4.8,4.3,510,8.3,3.8,-19131,-9,
,D,David Silva,MCI,M,0.33,0.33,4.8,4.8,2.0,509,8.5,7.0,-5715,-1,
,J,Milner,LIV,M,0.28,0.44,3.6,4.5,1.0,584,5.7,4.8,-92421,-33,
,R,Pereyra,WAT,M,0.4,0.4,4.5,4.5,2.0,698,6.2,13.4,-66281,-9,
o,T,Walcott,EVE,M,0.37,0.37,4.4,4.4,3.3,647,6.5,7.6,-21364,-5,
,P,Pogba,MUN,M,0.28,0.27,4.3,4.2,3.7,692,8.1,14.0,-46347,-6,
,D,Brooks,BOU,M,0.38,0.38,3.9,3.9,5.7,490,5.0,1.7,79289,81,
m,A,Schürrle,FUL,M,0.25,0.32,3.5,3.9,3.3,596,5.9,5.1,34130,12,
,J,Moutinho,WOL,M,0.35,0.35,3.9,3.9,5.0,703,5.5,4.4,39938,16,
m,A,Knockaert,BHA,M,0.33,0.33,3.8,3.8,3.7,677,5.5,2.1,28198,23,
,P,Højbjerg,SOU,M,0.4,0.4,3.8,3.8,1.7,526,4.5,5.5,28033,9,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,3.66,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,J,Seri,FUL,M,0.29,0.29,3.6,3.6,2.7,669,5.5,3.5,-7278,-4,
,R,Neves,WOL,M,0.29,0.29,3.5,3.5,2.3,720,5.1,21.1,-30508,-3,
,G,Xhaka,ARS,M,0.19,0.26,3.0,3.4,2.7,654,5.3,3.5,1315,1,
,A,Lennon,BUR,M,0.28,0.28,3.4,3.4,5.3,720,5.0,1.7,-4603,-5,
,G,Wijnaldum,LIV,M,0.25,0.25,3.4,3.4,2.3,699,5.5,1.5,20553,24,
,A,Ramsey,ARS,M,0.26,0.18,3.9,3.3,7.3,498,7.4,2.4,47515,34,
,W,Willian,CHE,M,0.26,0.18,3.9,3.3,3.0,478,7.4,5.8,-15141,-5,
,J,Jorginho,CHE,M,0.25,0.24,3.3,3.2,2.7,720,5.1,11.2,-29335,-5,
,C,Eriksen,TOT,M,0.13,0.13,3.2,3.2,0.7,540,9.2,4.5,-27407,-11,
,W,Hughes,WAT,M,0.26,0.24,3.3,3.2,3.0,640,5.0,2.0,-4415,-4,
,F,Felipe Anderson,WHU,M,0.19,0.18,3.3,3.2,4.7,674,6.8,2.6,-1366,-1,
,M,Fellaini,MUN,M,0.08,0.2,2.4,3.0,1.7,470,5.0,1.0,-4184,-7,
,E,Dier,TOT,M,0.21,0.21,3.0,3.0,4.3,601,4.8,2.1,27023,22,
,M,Noble,WHU,M,0.2,0.2,3.0,3.0,3.3,492,4.9,0.5,576,2,
,A,Westwood,BUR,M,0.13,0.2,2.6,2.9,3.7,623,4.5,2.1,4295,4,
,N,Kanté,CHE,M,0.18,0.18,2.9,2.9,2.3,720,5.0,17.6,-39070,-4,
,F,Fernandinho,MCI,M,0.17,0.17,2.9,2.9,2.7,703,5.4,4.2,-3207,-1,
,A,Doucouré,WAT,M,0.15,0.15,2.9,2.9,1.3,720,5.9,1.4,-5665,-7,
,P,Billing,HUD,M,0.18,0.18,2.8,2.8,1.7,720,4.5,2.5,-7467,-5,
,R,Kenedy,NEW,M,0.12,0.16,2.6,2.8,4.3,501,4.9,1.1,5471,9,
,V,Camarasa,CAR,M,0.16,0.16,2.7,2.7,2.0,597,4.5,0.5,1530,5,
,D,Jota,WOL,M,0.08,0.12,2.5,2.7,2.3,621,6.0,1.4,-5183,-6,
,N,Mendy,LEI,M,0.13,0.13,2.6,2.6,3.3,630,4.5,1.2,2629,4,
,E,Capoue,WAT,M,0.12,0.12,2.6,2.6,3.0,720,5.0,0.4,-276,-1,
,S,March,BHA,M,0.1,0.1,2.5,2.5,2.3,633,5.0,0.1,156,3,
,R,Sessegnon,FUL,M,0.02,0.08,2.1,2.5,2.0,557,6.1,3.0,-10851,-6,
,L,Milivojevic,CRY,M,0.07,0.07,2.4,2.4,2.3,720,6.1,3.1,-16469,-9,
,M,Ritchie,NEW,M,0.05,0.05,2.3,2.3,2.0,531,5.9,0.5,228,1,
,H,Costa,WOL,M,0.02,0.06,2.1,2.3,2.0,531,4.9,0.6,531,2,
,A,Townsend,CRY,M,0.05,0.03,2.3,2.2,2.0,686,5.8,1.2,-4920,-7,
,N,Redmond,SOU,M,0.06,0.04,2.3,2.2,2.0,720,5.3,0.3,-358,-2,
,M,Lemina,SOU,M,0.06,0.04,2.3,2.2,1.3,720,5.0,0.3,-1017,-6,
,J,McArthur,CRY,M,0.02,0.02,2.1,2.1,2.0,678,4.8,0.9,-3314,-6,
,A,Mooy,HUD,M,0.02,0.02,2.1,2.1,2.0,630,5.2,1.6,-8236,-9,
,D,Pröpper,BHA,M,0.0,0.0,2.0,2.0,2.3,692,4.9,0.1,-802,-14,
,J,Cork,BUR,M,0.0,0.0,2.0,2.0,2.3,720,4.8,0.5,-1636,-6,
,D,Hoilett,CAR,M,0.0,0.0,2.0,2.0,1.3,503,5.1,0.1,-198,-3,
,I,Gueye,EVE,M,0.0,0.0,2.0,2.0,2.3,630,4.9,0.3,-561,-3,
,W,Ndidi,LEI,M,0.0,0.0,2.0,2.0,2.0,720,4.9,0.6,-1134,-3,
,M,Diamé,NEW,M,0.0,0.0,2.0,2.0,2.0,720,5.0,0.1,-54,-1,
,A,Masuaku,WHU,M,0.0,0.0,2.0,2.0,2.3,630,4.4,2.0,-1482,-1,
,T,Davies,EVE,M,-0.04,-0.04,1.8,1.8,2.0,496,5.3,0.2,-176,-2,
,H,Arter,CAR,M,-0.08,-0.06,1.6,1.7,1.7,585,4.9,0.2,-139,-1,
,D,Gosling,BOU,M,-0.12,-0.08,1.4,1.6,0.7,502,4.9,0.1,-38,-1,
,J,Ralls,CAR,M,-0.08,-0.08,1.6,1.6,0.3,675,4.8,0.2,-2249,-20,
,D,Stephens,BHA,M,-0.16,-0.14,1.3,1.4,0.3,470,4.4,5.1,-22409,-8,
,R,Mahrez,MCI,M,0.06,-0.08,2.5,1.3,4.7,319,8.6,1.9,-1624,-1,
