W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,101921
,J,Matip,LIV,D,0.51,2.65,4.5,15.0,5.0,93,4.9,0.3,-413,-2,
o,M,Doherty,WOL,D,0.85,0.85,6.1,6.1,9.7,698,4.8,14.4,459046,55,
o,M,Alonso,CHE,D,0.79,0.79,7.5,7.5,4.7,720,7.0,46.0,6219,0,
m,K,Trippier,TOT,D,0.73,0.73,6.6,6.6,7.3,615,6.3,34.3,47710,2,
,N,Otamendi,MCI,D,0.66,0.66,6.0,6.0,4.0,270,6.1,3.2,-6609,-4,
o,A,Robertson,LIV,D,0.65,0.65,6.1,6.1,5.0,720,6.3,28.5,86057,5,
,K,Walker,MCI,D,0.65,0.65,6.3,6.3,6.3,630,6.6,15.5,15969,2,
,W,Boly,WOL,D,0.63,0.63,4.9,4.9,4.7,720,4.6,5.2,17515,6,
,J,Jonny,WOL,D,0.62,0.62,4.8,4.8,6.3,699,4.5,2.9,53481,32,
m,T,Alexander-Arnold,LIV,D,0.6,0.6,5.1,5.1,4.3,625,5.2,21.4,25013,2,
m,R,Pereira,LEI,D,0.59,0.59,5.0,5.0,4.3,625,5.1,4.9,7912,3,
,D,Rose,TOT,D,0.46,0.58,4.7,5.4,7.0,439,5.9,1.1,-11776,-19,
o,A,Wan-Bissaka,CRY,D,0.56,0.56,4.4,4.4,4.0,614,4.3,30.0,-16590,-1,
m,A,Laporte,MCI,D,0.58,0.56,5.3,5.2,6.0,720,5.7,8.5,47674,10,
,M,Keane,EVE,D,0.55,0.55,4.7,4.7,3.7,540,4.9,1.4,4165,5,
,D,Sánchez,TOT,D,0.55,0.55,5.2,5.2,6.0,422,5.8,1.9,6053,6,
,J,Gomez,LIV,D,0.41,0.51,4.1,4.6,3.0,665,5.1,3.3,15786,8,
,J,Holebas,WAT,D,0.5,0.5,4.4,4.4,0.3,713,4.8,14.4,-346260,-42,
m,H,Maguire,LEI,D,0.47,0.47,4.6,4.6,7.0,720,5.5,15.7,-3990,0,
,J,Tarkowski,BUR,D,0.38,0.46,3.9,4.3,3.0,656,5.0,7.2,-60169,-14,
,R,Holding,ARS,D,0.45,0.45,4.0,4.0,4.0,231,4.4,0.6,2211,6,
,P,van Aanholt,CRY,D,0.45,0.45,4.5,4.5,5.7,720,5.5,4.7,-11429,-4,
m,S,Duffy,BHA,D,0.44,0.44,4.0,4.0,3.0,720,4.5,4.0,26925,12,
,R,Bennett,WOL,D,0.43,0.43,3.8,3.8,5.0,720,4.2,12.1,34436,5,
,N,Monreal,ARS,D,0.42,0.42,4.3,4.3,5.7,630,5.5,2.6,10326,7,
,S,Steve Cook,BOU,D,0.41,0.41,3.9,3.9,2.7,720,4.6,8.7,-308,0,
,C,Coady,WOL,D,0.4,0.4,3.8,3.8,4.3,720,4.5,0.6,1733,5,
,D,David Luiz,CHE,D,0.38,0.38,4.1,4.1,5.0,720,5.5,4.5,5816,2,
,A,Rüdiger,CHE,D,0.39,0.37,4.3,4.2,4.7,698,5.9,2.4,-6463,-5,
