team,9~12_avg,9,10~13_avg,10,11~14_avg,11,12,13,14
LIV,2.27,2,2.6,2,3.2,4,2,3,2
BOU,2.33,2,2.8,2,3.8,4,3,4,5
NEW,2.47,2,2.93,3,2.8,3,3,2,2
FUL,2.47,2,2.93,3,2.93,2,5,2,4
EVE,2.67,2,3.33,4,2.73,2,4,2,5
BHA,2.67,3,2.33,2,2.67,3,2,3,2
MCI,2.67,2,3.33,4,2.6,2,4,2,3
WAT,2.73,3,2.53,2,3.13,3,3,4,3
CAR,2.93,2,3.93,5,2.67,3,2,3,2
TOT,3.0,2,4.13,5,3.2,3,3,4,4
SOU,3.0,3,2.93,2,4.0,5,3,2,4
CHE,3.07,4,2.13,2,2.27,2,2,4,2
LEI,3.07,4,2.07,2,2.2,2,2,3,3
ARS,3.07,3,3.13,3,3.33,4,2,3,4
WOL,3.2,3,3.33,3,3.6,4,4,2,2
HUD,3.33,4,2.6,3,2.13,2,2,3,2
WHU,3.33,4,2.73,3,2.47,2,2,5,3
MUN,3.4,4,2.67,2,3.4,3,5,2,3
CRY,3.47,3,4.0,4,3.87,4,4,4,2
BUR,4.2,5,3.2,4,2.33,2,3,2,3
