W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,082720
,J,McArthur,CRY,M,0.06,0.06,2.3,2.3,2.3,270,5.0,1.3,-1917,-3,
,A,Townsend,CRY,M,0.05,0.05,2.3,2.3,2.3,255,6.0,1.8,-1659,-2,
,L,Milivojevic,CRY,M,0.05,0.05,2.3,2.3,2.3,270,6.4,6.2,-17286,-5,
,W,Ndidi,LEI,M,0.06,0.06,2.3,2.3,2.3,270,5.0,0.7,-967,-3,
,F,Fernandinho,MCI,M,0.05,0.05,2.3,2.3,2.3,270,5.5,5.4,-9920,-3,
,N,Redmond,SOU,M,0.05,0.05,2.3,2.3,2.3,270,5.5,0.4,-813,-4,
,M,Özil,ARS,M,0.0,0.0,2.0,2.0,1.3,157,8.4,3.4,-20744,-11,
,D,Gosling,BOU,M,0.0,0.0,2.0,2.0,2.0,270,5.0,0.1,-118,-2,
,D,Pröpper,BHA,M,0.0,0.0,2.0,2.0,2.0,270,5.0,0.1,-67,-1,
,Y,Bissouma,BHA,M,-0.1,0.0,1.5,2.0,1.0,109,5.0,0.0,17,0.0,
,J,Cork,BUR,M,0.0,0.0,2.0,2.0,2.0,270,4.9,0.9,-1906,-4,
,H,Arter,CAR,M,0.0,0.0,2.0,2.0,1.3,180,5.0,0.3,-263,-2,
,N,Mendez-Laing,CAR,M,-0.14,0.0,1.3,2.0,1.3,83,5.0,0.1,-271,-5,
,R,Barkley,CHE,M,-0.05,0.0,1.7,2.0,1.7,137,6.0,0.5,-1313,-5,
,M,Kovacic,CHE,M,-0.08,0.0,1.5,2.0,1.0,108,6.0,1.0,-1107,-2,
,M,Schneiderlin,EVE,M,0.22,0.0,3.0,2.0,2.0,113,4.5,2.3,-7149,-6,
,T,Davies,EVE,M,0.0,0.0,2.0,2.0,1.3,156,5.4,0.2,-233,-2,
,A,Zambo Anguissa,FUL,M,-0.11,0.0,1.5,2.0,1.0,102,4.5,0.1,-163,-3,
,P,Billing,HUD,M,0.0,0.0,2.0,2.0,2.0,270,4.5,0.3,2770,17,
,A,Pritchard,HUD,M,-0.1,0.0,1.5,2.0,1.0,105,5.0,0.1,-196,-4,
,A,Silva,LEI,M,-0.1,0.0,1.5,2.0,1.0,87,5.0,0.3,-708,-4,
,F,Fred,MUN,M,0.0,0.0,2.0,2.0,2.0,255,5.9,3.3,-8690,-5,
,M,Diamé,NEW,M,0.0,0.0,2.0,2.0,2.0,270,5.0,0.1,-84,-2,
,S,Ki Sung-yueng,NEW,M,0.0,0.0,2.0,2.0,0.7,90,4.9,0.2,-297,-3,
,J,Ward-Prowse,SOU,M,0.0,0.0,2.0,2.0,0.7,83,5.4,0.4,-1253,-6,
,O,Oriol Romeu,SOU,M,-0.07,0.0,1.7,2.0,1.7,172,4.5,2.6,-4370,-3,
,M,Elyounoussi,SOU,M,-0.08,0.0,1.5,2.0,1.0,112,6.4,0.2,-483,-4,
,C,Eriksen,TOT,M,0.14,0.0,3.3,2.0,3.3,270,9.4,11.5,-20033,-3,
,M,Sissoko,TOT,M,0.0,0.0,2.0,2.0,0.7,90,5.0,0.1,-293,-5,
,A,Masuaku,WHU,M,0.0,0.0,2.0,2.0,2.0,270,4.5,2.2,2197,2,
,R,Snodgrass,WHU,M,-0.05,0.0,1.7,2.0,1.7,195,5.5,0.1,48,1,
,C,Carlos Sánchez,WHU,M,-0.11,0.0,1.5,2.0,1.0,103,4.5,0.3,243,2,
,H,Costa,WOL,M,-0.06,0.0,1.7,2.0,1.7,186,4.9,0.6,1373,4,
,M,Guendouzi,ARS,M,-0.07,-0.07,1.7,1.7,1.7,235,4.5,3.2,7344,4,
,D,Stephens,BHA,M,-0.07,-0.07,1.7,1.7,1.7,270,4.5,8.6,-9456,-2,
,I,Gueye,EVE,M,-0.06,-0.06,1.7,1.7,1.7,270,5.0,0.5,-805,-3,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,1.69,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,A,Ramsey,ARS,M,-0.09,-0.07,1.3,1.5,1.3,165,7.4,1.1,82,0,
,G,Xhaka,ARS,M,-0.19,-0.09,1.0,1.5,1.0,204,5.4,3.0,-7389,-5,
,K,McDonald,FUL,M,-0.11,-0.11,1.5,1.5,1.0,180,4.5,0.3,-439,-3,
,D,Amartey,LEI,M,-0.16,-0.11,1.3,1.5,1.3,182,4.5,0.3,-125,-1,
,R,Kenedy,NEW,M,-0.1,-0.1,1.5,1.5,1.0,180,5.0,1.6,-3350,-4,
,E,Dier,TOT,M,0.0,-0.1,2.0,1.5,2.0,249,4.9,1.7,-977,-1,
,M,Noble,WHU,M,-0.1,-0.1,1.5,1.5,1.0,166,4.9,0.3,-1560,-10,
,M,Antonio,WHU,M,-0.07,-0.07,1.5,1.5,1.0,152,6.9,1.2,-2354,-4,
,J,Wilshere,WHU,M,-0.14,-0.14,1.3,1.3,1.3,270,4.9,3.6,-9478,-5,
,J,Hogg,HUD,M,-0.22,-0.22,1.0,1.0,0.7,152,4.5,0.2,-954,-9,
,M,Albrighton,LEI,M,0.09,-0.19,2.5,1.0,1.7,82,5.4,0.7,-1026,-3,
,R,Mahrez,MCI,M,-0.11,-0.11,1.0,1.0,1.0,90,8.9,3.0,-25553,-16,
,A,Pereira,MUN,M,-0.2,-0.2,1.0,1.0,0.7,135,4.9,0.5,-1357,-5,
,S,Armstrong,SOU,M,-0.19,-0.19,1.0,1.0,1.0,65,5.4,0.2,-507,-5,
,M,Elneny,ARS,M,-0.45,-0.45,0.0,0.0,0.0,0,4.4,2.4,-2468,-2,
,R,Nelson,ARS,M,-0.45,-0.45,0.0,0.0,0.0,0,4.4,0.7,-980,-3,
,A,Maitland-Niles,ARS,M,-0.23,-0.45,1.0,0.0,0.3,34,4.4,0.4,-775,-4,
,L,Torreira,ARS,M,-0.2,-0.41,1.0,0.0,1.0,99,4.9,1.5,-3663,-5,
,M,Pugh,BOU,M,-0.45,-0.45,0.0,0.0,0.0,0,4.4,0.6,-649,-2,
,J,Stanislas,BOU,M,-0.33,-0.33,0.0,0.0,0.0,0,6.0,0.0,-90,0.0,
,J,Ibe,BOU,M,-0.19,-0.38,1.0,0.0,0.3,26,5.3,0.4,-850,-4,
,L,Lewis Cook,BOU,M,-0.2,-0.41,1.0,0.0,0.7,15,4.9,0.3,-446,-3,
,E,Hyndman,BOU,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.0,-91,0.0,
,J,Lerma,BOU,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.2,-256,-2,
,B,Kayal,BHA,M,-0.22,-0.44,1.0,0.0,0.3,1,4.5,0.1,-136,-3,
,J,Izquierdo,BHA,M,-0.34,-0.34,0.0,0.0,0.0,0,5.9,0.1,-397,-7,
,A,Jahanbakhsh,BHA,M,-0.14,-0.29,1.0,0.0,0.7,33,6.9,1.0,-1837,-3,
,S,Defour,BUR,M,-0.36,-0.36,0.0,0.0,0.0,0,5.5,0.0,-29,0.0,
,R,Brady,BUR,M,-0.36,-0.36,0.0,0.0,0.0,0,5.5,0.0,-75,0.0,
,J,Walters,BUR,M,-0.41,-0.41,0.0,0.0,0.0,0,4.9,0.1,-131,-2,
,A,Gunnarsson,CAR,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.7,-2553,-7,
,A,Pilkington,CAR,M,-0.45,-0.45,0.0,0.0,0.0,0,4.4,0.2,212,2,
,L,Damour,CAR,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.1,-111,-2,
,D,Ward,CAR,M,-0.22,-0.44,1.0,0.0,0.7,59,4.5,0.3,-457,-3,
,C,Fàbregas,CHE,M,-0.31,-0.31,0.0,0.0,0.0,0,6.4,0.6,-1938,-6,
,D,Drinkwater,CHE,M,-0.41,-0.41,0.0,0.0,0.0,0,4.9,0.2,-346,-3,
,T,Bakayoko,CHE,M,-0.41,-0.41,0.0,0.0,0.0,0,4.9,0.1,-625,-12,
,E,Ampadu,CHE,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.1,-115,-2,
,C,Hudson-Odoi,CHE,M,-0.45,-0.45,0.0,0.0,0.0,0,4.4,1.7,-4798,-5,
,R,Loftus-Cheek,CHE,M,-0.19,-0.37,1.0,0.0,0.3,22,5.4,0.8,-2439,-6,
,J,Puncheon,CRY,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.6,-1301,-4,
,B,Sako,CRY,M,-0.4,-0.4,0.0,0.0,0.0,0,5.0,0.0,-79,0.0,
,C,Kouyaté,CRY,M,-0.2,-0.41,1.0,0.0,0.3,2,4.9,0.4,-1104,-5,
,S,Kaikai,CRY,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.1,-268,-5,
,M,Meyer,CRY,M,0.0,-0.34,2.0,0.0,1.3,22,5.9,0.4,-356,-2,
,Y,Bolasie,EVE,M,-0.34,-0.34,0.0,0.0,0.0,0,5.8,0.2,-1676,-16,
,J,McCarthy,EVE,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.0,-61,0.0,
,A,Lookman,EVE,M,-0.38,-0.38,0.0,0.0,0.0,0,5.3,0.1,-458,-9,
,D,Klaassen,EVE,M,-0.33,-0.33,0.0,0.0,0.0,0,6.0,0.0,-24,0.0,
,N,Vlasic,EVE,M,-0.4,-0.4,0.0,0.0,0.0,0,5.0,0.0,-59,0.0,
,B,Baningime,EVE,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.1,-109,-2,
,K,Mirallas,EVE,M,-0.36,-0.36,0.0,0.0,0.0,0,5.5,0.0,-55,0.0,
,B,Bernard,EVE,M,-0.17,-0.33,1.0,0.0,0.3,5,6.0,0.2,9,0,
,A,André Gomes,EVE,M,-0.36,-0.36,0.0,0.0,0.0,0,5.5,0.2,-979,-9,
,K,Dowell,EVE,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.0,27,0.0,
,S,Johansen,FUL,M,-0.19,-0.37,1.0,0.0,0.7,25,5.4,0.1,-315,-6,
