I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
R,Mesa,SWA,M,0.0,2,1,2.0,66,66.0,4.5,0.5
E,Dier,TOT,M,0.0,6,3,2.0,247,82.0,5.0,3.7
N,Amrabat,WAT,M,0.0,6,3,2.0,198,66.0,5.0,0.1
A,Ayew,WHU,M,0.0,6,3,2.0,226,75.0,7.0,1.6
M,Noble,WHU,M,0.0,6,3,2.0,220,73.0,5.5,0.3
M,James,LEI,M,0.0,6,3,2.0,261,87.0,4.5,0.5
I,Hayden,NEW,M,0.0,6,3,2.0,246,82.0,4.5,0.3
E,Choupo-Moting,STK,M,0.0,6,3,2.0,198,66.0,5.5,0.2
M,Özil,ARS,M,-0.03,5,3,1.7,270,90.0,9.5,2.3
A,Townsend,CRY,M,-0.05,5,3,1.7,225,75.0,5.9,1.7
X,Shaqiri,STK,M,-0.05,5,3,1.7,204,68.0,5.9,2.3
J,Murphy,BHA,M,-0.06,5,3,1.7,157,52.0,5.0,0.1
J,Gudmundsson,BUR,M,-0.06,5,3,1.7,208,69.0,5.0,0.1
J,Allen,STK,M,-0.06,5,3,1.7,270,90.0,5.4,3.2
G,Sigurdsson,EVE,M,-0.06,3,2,1.5,119,59.0,8.4,5.1
M,Merino,NEW,M,-0.06,5,3,1.7,194,64.0,5.0,0.1
T,Bakayoko,CHE,M,-0.1,3,2,1.5,105,52.0,5.0,0.6
J,McArthur,CRY,M,-0.11,3,2,1.5,107,53.0,4.5,3.4
C,Yacob,WBA,M,-0.11,3,2,1.5,110,55.0,4.5,0.3
P,Obiang,WHU,M,-0.11,3,2,1.5,104,52.0,4.5,0.8
H,Arter,BOU,M,-0.14,4,3,1.3,270,90.0,5.0,0.7
L,Milivojevic,CRY,M,-0.14,4,3,1.3,178,59.0,4.9,0.8
J,Ibe,BOU,M,-0.2,2,2,1.0,104,52.0,4.9,0.4
S,Arfield,BUR,M,-0.2,2,2,1.0,105,52.0,4.9,0.1
J,Puncheon,CRY,M,-0.2,3,3,1.0,253,84.0,4.9,1.0
M,Schneiderlin,EVE,M,-0.2,2,2,1.0,177,88.0,5.0,0.9
E,Fernandes,WHU,M,-0.22,3,3,1.0,171,57.0,4.5,0.3
