I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
A,Robertson,LIV,D,1.43,9,1,9.0,90,90.0,4.9,2.1
E,Bailly,MUN,D,1.1,26,3,8.7,270,90.0,6.1,15.8
A,Hegazi,WBA,D,1.31,25,3,8.3,270,90.0,4.8,27.5
A,Nyom,WBA,D,1.14,23,3,7.7,270,90.0,5.0,2.8
M,Alonso,CHE,D,0.75,22,3,7.3,270,90.0,7.1,20.4
M,Zanka,HUD,D,1.15,22,3,7.3,270,90.0,4.6,9.5
C,Schindler,HUD,D,1.11,21,3,7.0,270,90.0,4.5,3.9
R,Klavan,LIV,D,1.11,7,1,7.0,90,90.0,4.5,0.5
M,van der Hoorn,SWA,D,1.11,7,1,7.0,69,69.0,4.5,0.1
A,Valencia,MUN,D,0.72,20,3,6.7,270,90.0,6.5,9.7
H,Maguire,LEI,D,0.84,19,3,6.3,270,90.0,5.1,6.3
P,Jones,MUN,D,0.84,19,3,6.3,270,90.0,5.1,5.1
K,Naughton,SWA,D,0.96,19,3,6.3,267,89.0,4.5,3.4
C,Löwe,HUD,D,0.89,18,3,6.0,270,90.0,4.5,1.2
D,Blind,MUN,D,0.73,18,3,6.0,270,90.0,5.5,3.3
C,Clark,NEW,D,0.89,18,3,6.0,270,90.0,4.5,1.4
B,Davies,TOT,D,0.71,18,3,6.0,259,86.0,5.6,12.5
S,Prödl,WAT,D,0.89,12,2,6.0,180,90.0,4.5,0.6
K,Walker-Peters,TOT,D,0.89,6,1,6.0,90,90.0,4.5,1.7
J,Gomez,LIV,D,0.82,17,3,5.7,181,60.0,4.5,1.5
M,Yoshida,SOU,D,0.74,17,3,5.7,270,90.0,5.0,2.6
F,Kiko Femenía,WAT,D,0.82,17,3,5.7,252,84.0,4.5,0.7
D,David Luiz,CHE,D,0.55,16,3,5.3,270,90.0,6.0,26.3
R,Bertrand,SOU,D,0.55,15,3,5.0,265,88.0,5.5,15.5
F,Fernández,SWA,D,0.67,15,3,5.0,270,90.0,4.5,2.4
J,Holebas,WAT,D,0.6,10,2,5.0,180,90.0,5.0,0.7
C,Dawson,WBA,D,0.6,15,3,5.0,270,90.0,5.0,5.9
