team,31~35_avg,31,32~36_avg,32,33,34,35,36
HUD ,2.06     ,2 ,2.13     ,2 ,2 ,2 ,4 ,2 
BOU ,2.19     ,2 ,2.39     ,2 ,2 ,4 ,4 ,2 
LIV ,2.39     ,2 ,2.77     ,3 ,3 ,2 ,2 ,2 
CRY ,2.65     ,2 ,3.32     ,4 ,3 ,2 ,2 ,3 
STK ,2.87     ,2 ,3.81     ,4 ,4 ,3 ,3 ,4 
WBA ,2.97     ,3 ,2.9      ,3 ,2 ,4 ,4 ,2 
WAT ,3.16     ,4 ,2.35     ,2 ,3 ,2 ,2 ,5 
EVE ,3.55     ,3 ,4.06     ,5 ,4 ,2 ,2 ,2 
ARS ,4.06     ,6 ,2.06     ,2 ,2 ,2 ,2 ,4 
LEI ,4.13     ,6 ,2.16     ,2 ,2 ,3 ,2 ,3 
BUR ,4.16     ,6 ,2.19     ,2 ,2 ,3 ,3 ,2 
NEW ,4.35     ,6 ,2.58     ,2 ,3 ,4 ,3 ,2 
WHU ,4.39     ,6 ,2.74     ,2 ,4 ,2 ,4 ,5 
BHA ,4.45     ,6 ,2.81     ,3 ,2 ,3 ,4 ,3 
MUN ,4.48     ,6 ,2.9      ,2 ,5 ,2 ,3 ,4 
CHE ,4.58     ,6 ,3.03     ,4 ,2 ,2 ,2 ,2 
SWA ,4.68     ,6 ,3.29     ,4 ,2 ,2 ,5 ,4 
SOU ,4.74     ,6 ,3.35     ,3 ,4 ,4 ,3 ,2 
MCI ,4.77     ,6 ,3.45     ,3 ,4 ,5 ,2 ,3 
TOT ,4.9      ,6 ,3.68     ,4 ,3 ,5 ,2 ,2 
