team,13~17_avg,13,14~18_avg,14,15,16,17,18
CRY ,2.0      ,2 ,2.03     ,2 ,2 ,2 ,2 ,3 
BOU ,2.06     ,2 ,2.19     ,2 ,2 ,2 ,4 ,4 
EVE ,2.13     ,2 ,2.26     ,2 ,2 ,4 ,2 ,2 
MCI ,2.13     ,2 ,2.32     ,2 ,2 ,4 ,2 ,4 
NEW ,2.26     ,2 ,2.58     ,2 ,4 ,2 ,2 ,4 
TOT ,2.26     ,2 ,2.61     ,3 ,2 ,2 ,2 ,5 
MUN ,2.45     ,2 ,2.9      ,2 ,4 ,5 ,2 ,2 
LEI ,2.52     ,2 ,3.03     ,4 ,2 ,2 ,2 ,2 
SWA ,2.61     ,2 ,3.26     ,4 ,2 ,2 ,5 ,3 
STK ,2.68     ,2 ,3.35     ,4 ,2 ,4 ,3 ,2 
ARS ,2.77     ,3 ,2.52     ,2 ,4 ,2 ,2 ,2 
WHU ,2.84     ,2 ,3.68     ,3 ,5 ,4 ,4 ,2 
WAT ,2.84     ,2 ,3.68     ,4 ,4 ,3 ,2 ,2 
SOU ,2.9      ,2 ,3.87     ,5 ,2 ,4 ,2 ,4 
CHE ,3.03     ,4 ,2.0      ,2 ,2 ,2 ,2 ,2 
LIV ,3.03     ,4 ,2.0      ,2 ,2 ,2 ,2 ,2 
WBA ,3.1      ,4 ,2.19     ,2 ,2 ,2 ,4 ,4 
BUR ,3.16     ,4 ,2.26     ,2 ,3 ,2 ,2 ,2 
BHA ,3.35     ,4 ,2.65     ,2 ,4 ,2 ,4 ,2 
HUD ,4.26     ,5 ,3.42     ,4 ,3 ,2 ,4 ,2 
