W,I,web_name       ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,021922
o,H,Son            ,TOT ,M,9.0 ,57 ,0.51 ,0.7  ,6.6,8.3 ,8.7 ,24.8,195183 ,13 ,      
 ,R,Sterling       ,MCI ,M,11.3,84 ,0.46 ,0.49 ,7.2,7.5 ,7.5 ,10.7,6617   ,1  ,      
o,M,Salah          ,LIV ,M,13.6,94 ,0.39 ,0.4  ,7.3,7.4 ,4.0 ,50.4,-14596 ,0  ,      
 ,E,Hazard         ,CHE ,M,10.8,86 ,0.43 ,0.46 ,6.6,7.0 ,6.3 ,26.0,-122570,-8 ,      
o,A,Martial        ,MUN ,M,7.2 ,54 ,0.43 ,0.62 ,5.1,6.5 ,4.0 ,5.6 ,9253   ,3  ,      
o,P,Pogba          ,MUN ,M,8.8 ,82 ,0.48 ,0.51 ,6.2,6.5 ,10.0,43.0,139382 ,5  ,      
m,S,Mané           ,LIV ,M,9.6 ,86 ,0.4  ,0.42 ,5.8,6.0 ,8.3 ,21.6,45838  ,3  ,      
 ,C,Eriksen        ,TOT ,M,9.3 ,72 ,0.29 ,0.35 ,4.7,5.3 ,6.0 ,7.0 ,41005  ,9  ,      
 ,D,David Silva    ,MCI ,M,8.5 ,69 ,0.29 ,0.38 ,4.5,5.2 ,3.5 ,4.3 ,-13646 ,-5 ,      
o,R,Richarlison    ,EVE ,M,6.6 ,84 ,0.39 ,0.45 ,4.6,5.0 ,3.3 ,22.1,-136030,-10,      
 ,R,Fraser         ,BOU ,M,6.1 ,91 ,0.44 ,0.46 ,4.7,4.8 ,2.3 ,20.8,-315   ,0  ,      
 ,G,Sigurdsson     ,EVE ,M,7.3 ,93 ,0.33 ,0.38 ,4.4,4.8 ,2.0 ,6.0 ,-48416 ,-13,      
 ,J,Milner         ,LIV ,M,5.6 ,60 ,0.3  ,0.5  ,3.7,4.8 ,4.3 ,2.6 ,3599   ,2  ,      
m,F,Felipe Anderson,WHU ,M,7.2 ,95 ,0.38 ,0.38 ,4.7,4.7 ,4.0 ,15.3,88515  ,9  ,      
m,D,Jota           ,WOL ,M,6.1 ,60 ,0.3  ,0.44 ,3.8,4.7 ,4.0 ,3.7 ,6292   ,3  ,      
 ,B,Bernardo Silva ,MCI ,M,7.5 ,89 ,0.29 ,0.35 ,4.2,4.6 ,2.3 ,6.8 ,-14978 ,-4 ,      
 ,R,Pereyra        ,WAT ,M,6.1 ,89 ,0.39 ,0.41 ,4.4,4.5 ,0.7 ,10.2,-53648 ,-8 ,      
 ,D,Brooks         ,BOU ,M,5.0 ,68 ,0.46 ,0.48 ,4.3,4.4 ,4.0 ,3.5 ,-34434 ,-16,      
 ,L,Milivojevic    ,CRY ,M,6.2 ,100,0.32 ,0.32 ,4.0,4.0 ,4.3 ,6.4 ,6394   ,2  ,      
m,J,Maddison       ,LEI ,M,6.6 ,77 ,0.24 ,0.3  ,3.6,4.0 ,2.0 ,4.3 ,28914  ,11 ,      
 ,J,Ward-Prowse    ,SOU ,M,5.1 ,40 ,0.22 ,0.39 ,3.1,4.0 ,4.3 ,2.3 ,-1071  ,-1 ,      
