team,27~31_avg,27,28~32_avg,28,29,30,31,32
BUR,2.13,2,2.26,2,2,3,4,2
EVE,2.13,2,2.32,2,3,2,2,4
LIV,2.13,2,2.29,2,2,4,2,3
BOU,2.26,2,2.52,2,3,4,2,2
HUD,2.26,2,2.52,2,4,2,2,2
STK,2.39,2,2.84,3,2,4,2,4
BHA,2.42,2,2.87,2,4,3,5,3
SWA,2.52,3,2.06,2,2,2,2,4
WHU,2.65,2,3.29,4,2,3,4,2
WAT,2.71,3,2.39,2,2,4,4,2
MUN,2.81,2,3.61,4,3,4,3,2
CHE,2.94,2,3.94,4,5,2,3,4
WBA,3.1,4,2.16,2,2,3,2,3
MCI,3.29,3,3.58,4,4,2,2,3
SOU,3.29,4,2.55,3,2,2,2,3
TOT,3.29,4,2.58,3,2,2,2,4
NEW,3.35,4,2.65,2,4,2,4,2
CRY,3.42,3,3.87,4,4,4,2,4
ARS,3.58,4,3.1,4,2,2,3,2
LEI,3.61,5,2.13,2,2,2,4,2
