team,27~30_avg,27,28~31_avg,28,29~32_avg,29,30,31,32
ARS,2.53,2,3.13,2,4.27,5,4,3,2
BHA,4.4,6,2.53,3,2.0,2,2,2,2
BOU,3.33,3,3.6,4,3.13,4,2,2,3
BUR,3.27,4,2.47,2,3.0,2,5,3,3
CAR,3.0,3,3.0,3,3.07,3,3,3,4
CHE,4.73,6,3.27,4,2.4,2,3,3,2
CRY,3.07,3,3.27,4,2.4,2,2,5,2
EVE,4.4,6,2.67,2,3.4,4,2,4,3
FUL,2.87,3,2.8,2,3.73,4,3,4,4
HUD,2.4,2,2.87,3,2.67,3,2,3,2
LEI,2.13,2,2.27,2,2.53,3,2,2,2
LIV,3.47,4,2.8,3,2.67,3,2,2,4
MCI,4.6,6,3.07,3,3.07,3,3,4,2
MUN,3.2,4,2.4,2,2.87,2,4,4,3
NEW,2.2,2,2.47,2,3.07,3,3,3,4
SOU,3.47,4,2.87,2,3.8,4,4,3,3
TOT,2.8,2,3.6,4,3.27,4,2,2,5
WAT,3.13,2,4.27,5,3.47,3,5,2,4
WHU,2.8,2,3.6,5,2.07,2,2,2,3
WOL,2.67,3,2.4,2,2.8,2,4,4,2
