W,I,web_name       ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,021922
 ,L,Shaw           ,MUN ,D,5.0 ,76 ,0.22 ,0.22 ,3.1,3.1 ,4.3 ,8.0 ,7454   ,2  ,      
 ,H,Maguire        ,LEI ,D,5.4 ,76 ,0.26 ,0.31 ,3.4,3.7 ,3.7 ,8.9 ,7438   ,1  ,      
 ,G,Wijnaldum      ,LIV ,M,5.5 ,79 ,0.22 ,0.25 ,3.2,3.4 ,4.3 ,0.9 ,7164   ,13 ,      
 ,M,Noble          ,WHU ,M,4.8 ,65 ,0.08 ,0.13 ,2.4,2.6 ,4.3 ,0.4 ,6829   ,27 ,      
o,L,Fabianski      ,WHU ,G,4.7 ,100,0.4  ,0.4  ,3.9,3.9 ,3.0 ,16.8,6804   ,1  ,      
 ,R,Sterling       ,MCI ,M,11.3,84 ,0.46 ,0.49 ,7.2,7.5 ,7.5 ,10.7,6617   ,1  ,      
 ,M,Dubravka       ,NEW ,G,5.0 ,100,0.32 ,0.32 ,3.6,3.6 ,2.7 ,0.8 ,6586   ,13 ,      
 ,L,Milivojevic    ,CRY ,M,6.2 ,100,0.32 ,0.32 ,4.0,4.0 ,4.3 ,6.4 ,6394   ,2  ,      
m,D,Jota           ,WOL ,M,6.1 ,60 ,0.3  ,0.44 ,3.8,4.7 ,4.0 ,3.7 ,6292   ,3  ,      
 ,R,Bennett        ,WOL ,D,4.2 ,96 ,0.14 ,0.14 ,2.6,2.6 ,3.0 ,11.7,6000   ,1  ,      
 ,M,Ritchie        ,NEW ,M,5.8 ,81 ,0.14 ,0.17 ,2.8,3.0 ,3.7 ,0.6 ,5243   ,14 ,      
m,J,Jonny          ,WOL ,D,4.3 ,81 ,0.26 ,0.28 ,3.1,3.2 ,3.3 ,2.8 ,4560   ,3  ,      
 ,F,Llorente       ,TOT ,F,5.7 ,14 ,0.12 ,0.65 ,2.7,5.7 ,7.0 ,2.7 ,4458   ,3  ,      
 ,J,Stephens       ,SOU ,D,4.2 ,52 ,0.12 ,0.21 ,2.5,2.9 ,4.7 ,0.3 ,4388   ,24 ,      
 ,P,van Aanholt    ,CRY ,D,5.4 ,98 ,0.31 ,0.33 ,3.7,3.8 ,4.0 ,4.7 ,4102   ,1  ,      
 ,C,Paterson       ,CAR ,M,5.0 ,79 ,0.26 ,0.3  ,3.3,3.5 ,3.0 ,0.8 ,4044   ,8  ,      
 ,P,Jones          ,MUN ,D,5.1 ,37 ,0.2  ,0.27 ,3.0,3.4 ,4.3 ,0.6 ,3744   ,10 ,      
 ,J,Milner         ,LIV ,M,5.6 ,60 ,0.3  ,0.5  ,3.7,4.8 ,4.3 ,2.6 ,3599   ,2  ,      
 ,D,Yedlin         ,NEW ,D,4.5 ,86 ,0.02 ,0.02 ,2.1,2.1 ,1.7 ,1.0 ,3407   ,5  ,      
 ,D,De Gea         ,MUN ,G,5.7 ,100,0.28 ,0.28 ,3.6,3.6 ,6.0 ,16.5,2939   ,0  ,      
m,V,Guaita         ,CRY ,G,4.2 ,33 ,0.5  ,0.6  ,4.1,4.5 ,4.0 ,1.5 ,2934   ,3  ,      
 ,M,Sissoko        ,TOT ,M,4.9 ,66 ,0.14 ,0.2  ,2.7,3.0 ,3.7 ,0.3 ,2860   ,15 ,      
 ,B,Leno           ,ARS ,G,4.8 ,75 ,0.19 ,0.19 ,2.9,2.9 ,3.3 ,2.5 ,2698   ,2  ,      
o,J,Bednarek       ,SOU ,D,4.0 ,46 ,-0.05,0.0  ,1.8,2.0 ,3.0 ,6.7 ,2600   ,1  ,      
 ,M,Guendouzi      ,ARS ,M,4.4 ,66 ,-0.11,-0.05,1.5,1.8 ,1.7 ,1.9 ,2546   ,2  ,      
 ,J,Schlupp        ,CRY ,D,4.4 ,43 ,0.18 ,0.55 ,2.8,4.4 ,5.7 ,2.1 ,2291   ,2  ,      
 ,M,Sakho          ,CRY ,D,4.9 ,100,0.27 ,0.27 ,3.3,3.3 ,4.0 ,1.9 ,2169   ,2  ,      
 ,L,Dendoncker     ,WOL ,M,4.3 ,22 ,0.21 ,0.28 ,2.9,3.2 ,4.3 ,0.7 ,2135   ,5  ,      
 ,I,Diop           ,WHU ,D,4.3 ,92 ,0.02 ,0.02 ,2.1,2.1 ,1.7 ,0.9 ,1994   ,4  ,      
 ,A,Doucouré       ,WAT ,M,5.9 ,85 ,0.27 ,0.25 ,3.6,3.5 ,1.0 ,1.3 ,1934   ,2  ,      
~,~,~~~~~~~~       ,~~~~,~,~~  ,~~ ,~~~~ ,~~~~~,~~~,~~~~,~~~~,~   ,1849.55,~~ ,~~~~~~
 ,A,Townsend       ,CRY ,M,5.9 ,98 ,0.27 ,0.27 ,3.6,3.6 ,3.3 ,4.4 ,1766   ,1  ,      
 ,K,Schmeichel     ,LEI ,G,5.0 ,100,0.26 ,0.26 ,3.3,3.3 ,2.0 ,4.7 ,1663   ,1  ,      
m,T,Heaton         ,BUR ,G,4.8 ,27 ,0.44 ,0.44 ,4.1,4.1 ,3.0 ,0.5 ,1645   ,5  ,      
 ,B,Ecuele Manga   ,CAR ,D,4.4 ,100,0.14 ,0.14 ,2.6,2.6 ,3.3 ,0.4 ,1443   ,6  ,      
 ,D,Janmaat        ,WAT ,D,4.9 ,38 ,0.31 ,0.31 ,3.5,3.5 ,4.3 ,0.3 ,1324   ,7  ,      
 ,S,Steve Cook     ,BOU ,D,4.4 ,100,0.16 ,0.16 ,2.7,2.7 ,2.7 ,6.1 ,1116   ,0  ,      
 ,R,Patrício       ,WOL ,G,4.5 ,100,0.29 ,0.29 ,3.3,3.3 ,3.7 ,8.8 ,960    ,0  ,      
 ,S,Mustafi        ,ARS ,D,5.4 ,77 ,0.07 ,0.11 ,2.4,2.6 ,1.7 ,1.0 ,908    ,1  ,      
 ,P,Højbjerg       ,SOU ,M,4.4 ,72 ,0.14 ,0.14 ,2.6,2.6 ,1.0 ,2.5 ,858    ,1  ,      
 ,V,van Dijk       ,LIV ,D,6.5 ,98 ,0.45 ,0.46 ,4.9,5.0 ,3.3 ,27.7,764    ,0  ,      
 ,A,Pérez          ,NEW ,F,6.1 ,83 ,0.11 ,0.1  ,2.7,2.6 ,1.7 ,1.0 ,744    ,1  ,      
