W,I,web_name    ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,021922
 ,J,Stephens    ,SOU ,D,4.2,52 ,0.12 ,0.21 ,2.5,2.9 ,4.7 ,0.3 ,4388   ,24 ,      
 ,J,Bennett     ,CAR ,D,4.4,68 ,0.2  ,0.2  ,2.9,2.9 ,3.7 ,0.4 ,85     ,0  ,      
 ,K,Zouma       ,EVE ,D,5.0,77 ,0.14 ,0.2  ,2.7,3.0 ,1.3 ,0.8 ,-17375 ,-35,      
 ,S,Morrison    ,CAR ,D,4.7,84 ,0.19 ,0.19 ,2.9,2.9 ,0.0 ,0.4 ,-1429  ,-6 ,      
 ,S,Steve Cook  ,BOU ,D,4.4,100,0.16 ,0.16 ,2.7,2.7 ,2.7 ,6.1 ,1116   ,0  ,      
 ,L,Dunk        ,BHA ,D,4.5,89 ,0.13 ,0.16 ,2.6,2.7 ,2.0 ,2.4 ,-4838  ,-3 ,      
 ,A,Young       ,MUN ,D,5.7,71 ,0.14 ,0.16 ,2.8,2.9 ,3.0 ,1.8 ,-3275  ,-3 ,      
 ,D,Rice        ,WHU ,D,4.5,87 ,0.13 ,0.16 ,2.6,2.7 ,1.7 ,2.3 ,9333   ,7  ,      
 ,S,Coleman     ,EVE ,D,5.2,75 ,0.15 ,0.15 ,2.8,2.8 ,2.0 ,1.1 ,-4979  ,-7 ,      
 ,B,Ecuele Manga,CAR ,D,4.4,100,0.14 ,0.14 ,2.6,2.6 ,3.3 ,0.4 ,1443   ,6  ,      
 ,P,Zabaleta    ,WHU ,D,4.3,69 ,0.12 ,0.14 ,2.5,2.6 ,0.7 ,2.0 ,-1120  ,-1 ,      
 ,R,Bennett     ,WOL ,D,4.2,96 ,0.14 ,0.14 ,2.6,2.6 ,3.0 ,11.7,6000   ,1  ,      
 ,C,Schindler   ,HUD ,D,4.2,97 ,0.07 ,0.12 ,2.3,2.5 ,0.7 ,2.3 ,-1566  ,-1 ,      
 ,S,Mustafi     ,ARS ,D,5.4,77 ,0.07 ,0.11 ,2.4,2.6 ,1.7 ,1.0 ,908    ,1  ,      
 ,F,Hadergjonaj ,HUD ,D,4.4,71 ,0.07 ,0.09 ,2.3,2.4 ,0.7 ,0.1 ,-42    ,-1 ,      
 ,C,Coady       ,WOL ,D,4.5,100,0.09 ,0.09 ,2.4,2.4 ,3.0 ,0.7 ,50     ,0  ,      
 ,B,Mee         ,BUR ,D,4.6,100,0.07 ,0.07 ,2.3,2.3 ,1.3 ,1.7 ,-646   ,-1 ,      
 ,G,Bong        ,BHA ,D,4.4,66 ,0.02 ,0.05 ,2.1,2.2 ,2.3 ,0.1 ,-110   ,-2 ,      
 ,C,Taylor      ,BUR ,D,4.4,92 ,0.02 ,0.05 ,2.1,2.2 ,1.3 ,0.4 ,-207   ,-1 ,      
 ,D,Yedlin      ,NEW ,D,4.5,86 ,0.02 ,0.02 ,2.1,2.1 ,1.7 ,1.0 ,3407   ,5  ,      
 ,I,Diop        ,WHU ,D,4.3,92 ,0.02 ,0.02 ,2.1,2.1 ,1.7 ,0.9 ,1994   ,4  ,      
o,J,Bednarek    ,SOU ,D,4.0,46 ,-0.05,0.0  ,1.8,2.0 ,3.0 ,6.7 ,2600   ,1  ,      
o,C,Chambers    ,FUL ,D,4.2,64 ,-0.07,-0.02,1.7,1.9 ,2.7 ,0.9 ,291    ,1  ,      
 ,T,Kongolo     ,HUD ,D,4.3,78 ,-0.05,-0.02,1.8,1.9 ,0.3 ,0.2 ,-302   ,-2 ,      
 ,M,Montoya     ,BHA ,D,4.3,69 ,-0.05,-0.05,1.8,1.8 ,3.3 ,0.2 ,-130   ,-1 ,      
 ,D,Odoi        ,FUL ,D,4.4,90 ,-0.16,-0.16,1.3,1.3 ,0.7 ,0.1 ,-69    ,-1 ,      
 ,M,Le Marchand ,FUL ,D,4.2,69 ,-0.21,-0.21,1.1,1.1 ,0.7 ,0.1 ,-52    ,-1 ,      
