I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
C,Eriksen,TOT,M,0.45,45,7,6.4,573,81.0,9.7,25.8
D,David Silva,MCI,M,0.51,44,7,6.3,602,86.0,8.5,23.9
M,Salah,LIV,M,0.45,43,7,6.1,512,73.0,9.2,34.0
H,Mkhitaryan,MUN,M,0.48,43,7,6.1,553,79.0,8.5,32.0
R,Sterling,MCI,M,0.48,35,6,5.8,387,64.0,7.9,6.4
R,Richarlison,WAT,M,0.61,40,7,5.7,570,81.0,6.1,6.8
A,Doucouré,WAT,M,0.64,38,7,5.4,630,90.0,5.3,12.4
K,De Bruyne,MCI,M,0.33,37,7,5.3,605,86.0,10.0,16.7
P,Groß,BHA,M,0.54,36,7,5.1,587,83.0,5.7,13.7
B,Alli,TOT,M,0.32,35,7,5.0,621,88.0,9.5,27.1
E,Choupo-Moting,STK,M,0.41,30,7,4.3,558,79.0,5.6,6.2
A,Mooy,HUD,M,0.35,28,7,4.0,600,85.0,5.7,9.8
M,Ritchie,NEW,M,0.33,28,7,4.0,627,89.0,6.0,5.7
S,Davis,SOU,M,0.39,28,7,4.0,571,81.0,5.1,4.5
A,Ramsey,ARS,M,0.27,27,7,3.9,494,70.0,7.1,5.0
C,Brunt,WBA,M,0.33,19,5,3.8,402,80.0,5.5,1.3
J,Mata,MUN,M,0.24,26,7,3.7,446,63.0,7.0,2.9
G,Xhaka,ARS,M,0.29,25,7,3.6,610,87.0,5.5,12.2
R,Brady,BUR,M,0.29,25,7,3.6,617,88.0,5.5,2.3
R,Mahrez,LEI,M,0.19,25,7,3.6,525,75.0,8.5,3.9
X,Shaqiri,STK,M,0.27,25,7,3.6,560,80.0,5.9,4.6
A,Surman,BOU,M,0.33,21,6,3.5,540,90.0,4.6,4.2
N,Kanté,CHE,M,0.27,24,7,3.4,630,90.0,5.1,20.4
C,Atsu,NEW,M,0.27,24,7,3.4,571,81.0,5.1,4.8
C,Kouyaté,WHU,M,0.28,17,5,3.4,379,75.0,5.0,0.6
S,March,BHA,M,0.26,23,7,3.3,597,85.0,5.0,0.5
N,Matic,MUN,M,0.26,23,7,3.3,630,90.0,5.0,15.5
J,Henderson,LIV,M,0.24,20,6,3.3,540,90.0,5.5,2.0
~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.17,~~~,~~~~~,~~~~~,~
M,Phillips,WBA,M,0.19,22,7,3.1,472,67.0,5.9,1.5
C,Fàbregas,CHE,M,0.14,18,6,3.0,449,74.0,6.9,5.2
E,Can,LIV,M,0.2,15,5,3.0,426,85.0,5.0,6.6
W,Willian,CHE,M,0.13,20,7,2.9,479,68.0,6.9,10.3
E,Kachunga,HUD,M,0.15,20,7,2.9,573,81.0,6.0,0.3
F,Fernandinho,MCI,M,0.18,20,7,2.9,630,90.0,5.0,3.7
T,Cleverley,WAT,M,0.18,20,7,2.9,603,86.0,5.0,0.4
D,Stephens,BHA,M,0.16,19,7,2.7,630,90.0,4.5,1.3
S,Defour,BUR,M,0.13,19,7,2.7,591,84.0,5.5,0.4
D,Tadic,SOU,M,0.11,19,7,2.7,564,80.0,6.5,3.0
N,Redmond,SOU,M,0.11,19,7,2.7,600,85.0,6.3,3.9
M,Antonio,WHU,M,0.09,16,6,2.7,454,75.0,7.5,0.5
J,Cork,BUR,M,0.13,18,7,2.6,630,90.0,4.5,3.7
T,Ince,HUD,M,0.1,18,7,2.6,630,90.0,5.8,0.8
N,Chalobah,WAT,M,0.09,12,5,2.4,429,85.0,4.5,2.2
M,Lemina,SOU,M,0.08,12,5,2.4,392,78.0,5.0,0.3
G,Barry,WBA,M,0.07,14,6,2.3,540,90.0,4.5,1.6
M,Albrighton,LEI,M,0.05,16,7,2.3,498,71.0,5.5,2.1
J,Allen,STK,M,0.06,16,7,2.3,623,89.0,5.3,2.3
T,Carroll,SWA,M,0.07,16,7,2.3,625,89.0,4.5,6.0
E,Dier,TOT,M,0.06,16,7,2.3,607,86.0,4.9,3.3
T,Bakayoko,CHE,M,0.06,14,6,2.3,402,67.0,5.0,1.3
D,Pröpper,BHA,M,0.06,16,7,2.3,630,90.0,5.4,0.1
G,Wijnaldum,LIV,M,0.03,13,6,2.2,487,81.0,6.8,3.2
D,Fletcher,STK,M,0.02,15,7,2.1,630,90.0,5.0,0.6
W,Ndidi,LEI,M,0.0,14,7,2.0,630,90.0,4.9,0.4
O,Oriol Romeu,SOU,M,0.0,14,7,2.0,630,90.0,4.5,3.2
L,Fer,SWA,M,0.0,14,7,2.0,527,75.0,5.4,0.4
J,Livermore,WBA,M,0.0,12,6,2.0,430,71.0,5.0,0.2
A,Townsend,CRY,M,-0.02,13,7,1.9,585,83.0,5.7,1.0
I,Gueye,EVE,M,-0.02,13,7,1.9,604,86.0,4.9,1.1
M,Merino,NEW,M,-0.02,13,7,1.9,537,76.0,5.0,0.1
G,Sigurdsson,EVE,M,-0.02,11,6,1.8,479,79.0,8.2,3.2
A,Knockaert,BHA,M,-0.05,12,7,1.7,381,54.0,5.7,0.8
I,Hayden,NEW,M,-0.07,12,7,1.7,465,66.0,4.5,0.3
H,Arter,BOU,M,-0.08,8,5,1.6,450,90.0,4.9,0.5
L,Milivojevic,CRY,M,-0.11,9,6,1.5,379,63.0,4.6,0.4
M,Schneiderlin,EVE,M,-0.1,9,6,1.5,509,84.0,4.9,0.7
J,Puncheon,CRY,M,-0.15,9,7,1.3,534,76.0,4.8,0.6
