O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,gf ,020214
 ,R,Fraser        ,BOU ,M,0.35 ,0.53 ,3.8,4.7 ,5.7 ,1131,5.1  ,1.1 ,6126   ,10 ,      
 ,C,Benteke       ,CRY ,F,0.11 ,0.14 ,2.8,3.1 ,6.0 ,1568,7.6  ,2.4 ,6088   ,4  ,      
 ,W,Hennessey     ,CRY ,G,0.37 ,0.37 ,3.6,3.6 ,4.0 ,1260,4.3  ,1.5 ,5445   ,6  ,      
 ,D,de Gea        ,MUN ,G,0.54 ,0.54 ,5.2,5.2 ,5.0 ,2250,5.9  ,43.1,5335   ,0  ,      
 ,K,Schmeichel    ,LEI ,G,0.38 ,0.38 ,3.9,3.9 ,7.0 ,2250,5.0  ,5.0 ,5124   ,2  ,      
 ,F,Fernández     ,SWA ,D,0.18 ,0.18 ,2.8,2.8 ,4.3 ,1710,4.4  ,1.7 ,5025   ,5  ,      
 ,M,van der Hoorn ,SWA ,D,0.32 ,0.36 ,3.4,3.6 ,5.0 ,1063,4.4  ,0.3 ,4827   ,28 ,      
 ,C,Dawson        ,WBA ,D,0.27 ,0.27 ,3.3,3.3 ,5.3 ,1340,4.8  ,1.2 ,4713   ,7  ,      
 ,M,Bauer         ,STK ,D,0.38 ,0.38 ,3.7,3.7 ,3.7 ,270 ,4.5  ,0.4 ,4657   ,20 ,      
 ,M,Noble         ,WHU ,M,0.21 ,0.21 ,3.1,3.1 ,5.5 ,1230,5.3  ,0.2 ,4613   ,40 ,      
 ,E,Choupo-Moting ,STK ,M,0.33 ,0.41 ,3.8,4.2 ,3.7 ,1855,5.4  ,4.2 ,4441   ,2  ,      
 ,B,Bernardo Silva,MCI ,M,0.07 ,0.22 ,2.5,3.6 ,3.3 ,764 ,7.4  ,0.9 ,4128   ,8  ,      
x,X,Shaqiri       ,STK ,M,0.33 ,0.34 ,4.0,4.1 ,3.7 ,1884,6.1  ,7.8 ,3451   ,1  ,      
 ,C,Clark         ,NEW ,D,0.3  ,0.32 ,3.3,3.4 ,2.3 ,1655,4.4  ,2.4 ,3211   ,2  ,      
 ,R,Shawcross     ,STK ,D,0.19 ,0.21 ,2.9,3.0 ,4.7 ,1471,4.8  ,0.8 ,3102   ,7  ,      
 ,A,Young         ,MUN ,M,0.38 ,0.42 ,3.9,4.1 ,1.3 ,1614,5.0  ,2.4 ,2848   ,2  ,      
 ,J,Stephens      ,SOU ,D,0.18 ,0.18 ,2.8,2.8 ,3.3 ,1170,4.5  ,0.3 ,2492   ,14 ,      
 ,T,Fosu-Mensah   ,CRY ,D,0.0  ,0.02 ,2.0,2.1 ,3.7 ,1320,4.4  ,1.1 ,2410   ,4  ,      
 ,G,Murray        ,BHA ,F,0.18 ,0.39 ,3.0,4.2 ,3.7 ,1331,5.7  ,2.1 ,2235   ,2  ,      
 ,M,Ryan          ,BHA ,G,0.38 ,0.38 ,3.7,3.7 ,1.7 ,2250,4.5  ,2.6 ,1798   ,1  ,      
 ,S,Steve Cook    ,BOU ,D,0.19 ,0.26 ,2.9,3.2 ,3.3 ,1693,4.7  ,1.3 ,1565   ,2  ,      
 ,D,Stephens      ,BHA ,M,0.09 ,0.09 ,2.4,2.4 ,2.0 ,2250,4.5  ,1.4 ,1536   ,2  ,      
 ,J,Allen         ,STK ,M,0.25 ,0.25 ,3.3,3.3 ,5.3 ,2052,5.1  ,2.1 ,1285   ,1  ,      
 ,E,Ederson       ,MCI ,G,0.39 ,0.41 ,4.2,4.3 ,3.3 ,2205,5.6  ,7.8 ,1170   ,0  ,      
 ,A,Dragovic      ,LEI ,D,0.37 ,0.37 ,3.8,3.8 ,4.3 ,404 ,4.9  ,0.3 ,1145   ,7  ,      
 ,W,Ndidi         ,LEI ,M,0.12 ,0.12 ,2.6,2.6 ,3.3 ,2220,4.9  ,0.5 ,1120   ,4  ,      
 ,D,Simpson       ,LEI ,D,0.07 ,0.07 ,2.3,2.3 ,0.0 ,1659,4.3  ,1.9 ,1107   ,1  ,      
 ,E,Dier          ,TOT ,M,0.09 ,0.11 ,2.4,2.5 ,3.3 ,2104,4.7  ,2.6 ,956    ,1  ,      
 ,L,Karius        ,LIV ,G,0.38 ,0.38 ,3.8,3.8 ,3.0 ,540 ,4.8  ,0.2 ,645    ,6  ,      
 ,G,Sigurdsson    ,EVE ,M,0.16 ,0.2  ,3.3,3.6 ,3.0 ,1914,8.0  ,2.0 ,551    ,0  ,      
 ,E,Pieters       ,STK ,D,0.04 ,0.04 ,2.2,2.2 ,3.7 ,1840,4.7  ,0.4 ,355    ,2  ,      
 ,O,Karnezis      ,WAT ,G,0.44 ,0.89 ,4.0,6.0 ,4.0 ,211 ,4.5  ,0.0 ,343    ,0.0,      
 ,K,Zouma         ,STK ,D,0.13 ,0.13 ,2.7,2.7 ,4.3 ,1955,5.4  ,1.9 ,304    ,0  ,      
 ,J,Chicharito    ,WHU ,F,0.21 ,0.25 ,3.4,3.7 ,3.8 ,1156,6.7  ,6.9 ,275    ,0  ,      
~,~,~~~~~~~~      ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,235.75 ,~~ ,~~~~~~
 ,D,Lovren        ,LIV ,D,0.3  ,0.4  ,3.6,4.1 ,2.7 ,1475,5.3  ,1.1 ,216    ,0  ,      
 ,J,Henderson     ,LIV ,M,0.17 ,0.21 ,2.9,3.1 ,1.0 ,1354,5.3  ,1.1 ,215    ,0  ,      
 ,G,Barry         ,WBA ,M,0.07 ,0.07 ,2.3,2.3 ,2.0 ,1684,4.5  ,0.9 ,164    ,0  ,      
 ,C,Martina       ,EVE ,D,0.14 ,0.18 ,2.6,2.8 ,1.3 ,1470,4.4  ,1.9 ,101    ,0  ,      
 ,M,Albrighton    ,LEI ,M,0.25 ,0.34 ,3.4,3.9 ,2.3 ,1837,5.6  ,3.9 ,84     ,0  ,      
 ,L,Fer           ,SWA ,M,0.02 ,0.1  ,2.1,2.5 ,1.7 ,1359,5.2  ,0.2 ,83     ,1  ,      
