team,2~6_avg,2,3~7_avg,3,4,5,6,7
MCI ,2.13   ,2,2.26   ,2,3,2,2,2
BUR ,2.29   ,2,2.58   ,2,4,2,3,2
EVE ,2.32   ,2,2.65   ,3,2,2,4,2
LEI ,2.32   ,2,2.68   ,2,4,3,2,3
LIV ,2.77   ,3,2.58   ,2,3,4,2,4
TOT ,2.81   ,2,3.61   ,4,3,4,3,2
BOU ,2.87   ,3,2.71   ,2,4,3,3,2
WAT ,2.9    ,3,2.84   ,2,4,4,2,4
SOU ,3.0    ,3,2.97   ,3,3,2,5,2
CAR ,3.0    ,3,3.0    ,2,4,4,5,3
NEW ,3.06   ,2,4.16   ,4,5,4,3,3
ARS ,3.1    ,4,2.13   ,2,2,3,2,2
WHU ,3.16   ,3,3.35   ,4,2,3,4,4
MUN ,3.23   ,3,3.45   ,4,3,3,2,3
CRY ,3.32   ,4,2.61   ,3,2,2,3,3
CHE ,3.45   ,4,2.9    ,3,3,2,3,4
WOL ,3.55   ,3,4.06   ,5,3,3,4,2
FUL ,3.61   ,4,3.19   ,3,3,5,2,3
HUD ,3.71   ,5,2.39   ,2,3,2,3,4
BHA ,3.87   ,4,3.77   ,5,2,2,4,5
