W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,011617
,V,Guaita,CRY,G,4.2,25,0.52,0.67,4.2,4.8,4.0,1.6,-5115,-5,
o,N,Etheridge,CAR,G,4.6,100,0.54,0.54,4.5,4.5,7.4,10.3,54580,9,
,A,Alisson,LIV,G,5.9,100,0.49,0.49,4.9,4.9,4.8,25.2,7160,0,
,W,Hennessey,CRY,G,4.5,75,0.4,0.44,3.8,4.0,0.0,4.0,-12817,-5,
,H,Lloris,TOT,G,5.4,82,0.44,0.44,4.4,4.4,4.0,5.1,4955,2,
o,L,Fabianski,WHU,G,4.8,100,0.44,0.44,4.1,4.1,3.6,17.9,3046,0,
,K,Kepa,CHE,G,5.6,100,0.37,0.37,4.1,4.1,3.8,6.1,-25157,-7,
,E,Ederson,MCI,G,5.6,100,0.37,0.37,4.1,4.1,2.8,20.9,-15126,-1,
,J,Hart,BUR,G,4.4,86,0.36,0.36,3.6,3.6,0.4,6.6,-25228,-6,
,J,Pickford,EVE,G,5.0,100,0.36,0.36,3.8,3.8,3.0,13.6,-6363,-1,
~,~,~~~~~~~~,~~~~,~,~~,~~,~~~~,0.35,~~~,~~~~,~~~~,~,~~~,~~,~~~~~~
,J,Lössl,HUD,G,4.4,90,0.34,0.34,3.5,3.5,5.0,1.9,2236,2,
,M,Dubravka,NEW,G,5.0,100,0.32,0.32,3.6,3.6,2.8,0.6,666,2,
,B,Foster,WAT,G,4.5,100,0.31,0.31,3.4,3.4,4.2,4.8,4194,1,
,R,Patrício,WOL,G,4.5,100,0.31,0.31,3.4,3.4,2.2,8.6,-3850,-1,
,M,Ryan,BHA,G,4.4,86,0.3,0.3,3.3,3.3,0.8,3.0,-8413,-5,
,K,Schmeichel,LEI,G,5.0,100,0.3,0.3,3.5,3.5,4.4,5.1,-8976,-3,
,D,De Gea,MUN,G,5.7,100,0.25,0.25,3.4,3.4,5.0,15.0,32702,4,
,A,McCarthy,SOU,G,4.4,95,0.23,0.23,3.0,3.0,2.0,2.7,90,0,
,S,Rico,FUL,G,4.4,59,0.2,0.2,2.9,2.9,4.2,0.4,-507,-2,
,A,Begovic,BOU,G,4.4,100,0.18,0.18,2.8,2.8,2.4,3.6,-2669,-1,
,B,Leno,ARS,G,4.8,70,0.13,0.13,2.6,2.6,2.0,2.1,-5487,-4,
