team,23~27_avg,23,24~28_avg,24,25,26,27,28
WHU,2.0,2,2.06,2,2,2,2,4
ARS,2.06,2,2.23,2,2,2,4,5
WAT,2.39,2,2.77,3,2,4,2,2
HUD,2.45,2,2.9,2,4,5,2,2
TOT,2.45,2,2.9,2,4,4,4,2
BHA,2.52,2,3.03,4,2,2,2,2
CHE,2.52,3,2.1,2,2,2,2,5
MUN,2.52,2,3.1,3,4,2,2,4
SOU,2.58,2,3.19,4,2,2,4,3
BUR,2.71,2,3.42,4,2,5,2,2
WBA,2.71,2,3.42,3,5,2,4,2
SWA,2.87,2,3.74,4,4,3,3,2
NEW,2.97,2,3.94,5,3,2,4,2
CRY,3.06,3,3.16,4,2,2,3,4
MCI,3.13,4,2.26,2,2,3,3,4
LEI,3.26,4,2.45,2,3,2,5,2
BOU,3.29,4,2.52,2,4,2,2,2
EVE,3.29,4,2.52,2,3,4,2,2
STK,3.55,5,2.03,2,2,2,2,3
LIV,3.68,5,2.26,2,2,4,2,2
