O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,011220
,J,Henderson,LIV,M,0.17,0.2,2.9,3.1,0.8,1272,5.4,1.2,-3301,
,M,Antonio,WHU,M,0.09,0.15,2.7,3.1,0.8,1061,7.4,0.2,-613,
,J,Allen,STK,M,0.2,0.2,3.0,3.0,4.2,1782,5.1,1.5,-2923,
,S,March,BHA,M,0.04,0.18,2.2,2.9,2.0,1269,4.9,0.2,-609,
,G,Wijnaldum,LIV,M,0.09,0.14,2.6,2.9,2.0,1413,6.6,2.1,-1707,
,C,Kouyaté,WHU,M,0.12,0.18,2.6,2.9,1.4,1366,5.0,0.4,-1463,
,T,Ince,HUD,M,0.15,0.15,2.8,2.8,3.4,1822,5.5,0.5,-432,
,V,Iborra,LEI,M,0.1,0.14,2.6,2.8,1.2,1054,5.8,0.1,-170,
,S,Defour,BUR,M,0.13,0.13,2.7,2.7,3.2,1818,5.4,0.4,388,
,J,Cork,BUR,M,0.15,0.15,2.7,2.7,2.2,1980,4.6,3.4,-9203,
,R,Sobhi,STK,M,0.11,0.16,2.5,2.7,3.2,855,4.5,0.6,-1749,
,T,Carroll,SWA,M,0.14,0.16,2.6,2.7,3.2,1690,4.3,5.0,11392,
,G,Krychowiak,WBA,M,0.06,0.14,2.3,2.7,1.0,1007,4.9,0.2,-423,
,Y,Cabaye,CRY,M,0.07,0.11,2.4,2.6,2.0,1423,5.4,0.3,-62,
,D,Fletcher,STK,M,0.12,0.12,2.6,2.6,1.6,1795,4.9,0.5,-1510,
,T,Cleverley,WAT,M,0.12,0.12,2.6,2.6,1.4,1795,5.0,0.6,-1784,
,D,Pröpper,BHA,M,0.11,0.11,2.6,2.6,2.4,1980,5.3,0.1,-163,
,N,Matic,MUN,M,0.1,0.1,2.5,2.5,1.8,1943,4.8,8.8,-8968,
,E,Kachunga,HUD,M,0.1,0.09,2.6,2.5,1.2,1253,5.8,0.1,-258,
,W,Ndidi,LEI,M,0.1,0.1,2.5,2.5,1.4,1950,4.9,0.5,-482,
,F,Delph,MCI,M,0.16,0.11,2.7,2.5,1.2,1252,4.5,0.7,-2146,
,N,Redmond,SOU,M,0.03,0.08,2.2,2.5,1.2,1369,6.0,1.7,-2561,
,L,Fer,SWA,M,0.02,0.1,2.1,2.5,1.6,1179,5.2,0.2,-235,
,M,Sissoko,TOT,M,0.0,0.09,2.0,2.5,1.8,997,5.4,0.4,-745,
,D,Stephens,BHA,M,0.09,0.09,2.4,2.4,2.2,1980,4.5,1.3,-2510,
,J,Livermore,WBA,M,0.04,0.08,2.2,2.4,2.2,1732,4.8,0.1,47,
,G,Barry,WBA,M,0.09,0.07,2.4,2.3,2.6,1447,4.5,0.9,-1480,
,O,Oriol Romeu,SOU,M,0.05,0.07,2.2,2.3,1.8,1709,4.3,2.2,-2112,
,E,Dier,TOT,M,0.04,0.06,2.2,2.3,2.4,1851,4.7,2.5,-3083,
,J,Ibe,BOU,M,0.02,0.04,2.1,2.2,2.6,1206,4.8,0.4,3273,
,I,Gueye,EVE,M,0.04,0.04,2.2,2.2,2.4,1669,4.8,0.8,-561,
,R,van La Parra,HUD,M,-0.02,0.04,1.9,2.2,2.4,1114,4.8,0.1,-8,
,M,Merino,NEW,M,0.08,0.04,2.4,2.2,1.0,1137,5.0,0.1,-236,
,M,Lemina,SOU,M,-0.02,0.04,1.9,2.2,1.4,1013,4.8,0.1,-223,
,J,Shelvey,NEW,M,-0.1,0.02,1.5,2.1,1.2,1029,5.2,0.3,-105,
,M,Schneiderlin,EVE,M,-0.04,0.0,1.8,2.0,2.4,1313,4.7,0.5,-162,
,T,Davies,EVE,M,-0.08,0.0,1.6,2.0,1.4,1036,5.2,0.4,-389,
,J,Hogg,HUD,M,-0.07,0.0,1.7,2.0,0.8,1020,4.4,0.3,-772,
,I,Hayden,NEW,M,-0.05,0.0,1.8,2.0,1.0,1182,4.4,0.2,-287,
