W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,011617
,H,Kane,TOT,F,12.5,95,0.32,0.34,6.0,6.2,8.2,23.8,-485212,-33,
,A,Lacazette,ARS,F,9.3,69,0.28,0.39,4.6,5.6,4.0,6.2,-18959,-5,
,C,Wilson,BOU,F,6.5,84,0.51,0.54,5.3,5.5,2.4,24.6,-170947,-11,
o,P,Aubameyang,ARS,F,11.3,87,0.36,0.3,6.1,5.4,6.8,33.9,-84834,-4,
o,M,Rashford,MUN,F,7.5,63,0.33,0.45,4.5,5.4,7.6,30.4,477736,26,
o,D,Ings,SOU,F,5.5,54,0.45,0.55,4.5,5.0,2.2,5.1,-40450,-13,
,R,Firmino,LIV,F,9.3,86,0.29,0.3,4.7,4.8,6.2,20.1,120246,10,
m,R,Jiménez,WOL,F,6.4,89,0.38,0.42,4.4,4.7,3.0,23.0,65219,5,
~,~,~~~~~~~~,~~~~,~,~~,~~,~~~~,~~~~~,~~~,4.35,~~~~,~,~~~,~~,~~~~~~
,G,Murray,BHA,F,6.3,69,0.24,0.35,3.5,4.2,1.4,2.4,-3017,-2,
,A,Mitrovic,FUL,F,6.6,97,0.3,0.33,4.0,4.2,3.0,15.5,-46081,-5,
,J,Vardy,LEI,F,8.9,68,0.26,0.25,4.3,4.2,5.0,4.6,-10337,-4,
,J,Locadia,BHA,F,5.3,34,0.06,0.38,2.3,4.0,4.8,0.5,3347,11,
,J,King,BOU,F,6.3,80,0.27,0.3,3.7,3.9,2.4,2.4,3738,3,
m,D,Calvert-Lewin,EVE,F,5.3,38,0.09,0.36,2.5,3.9,3.6,1.9,15041,13,
,T,Deeney,WAT,F,5.9,78,0.25,0.32,3.5,3.9,5.2,5.7,37831,11,
m,S,Long,SOU,F,4.7,33,0.06,0.36,2.3,3.7,3.0,2.0,51369,42,
,A,Barnes,BUR,F,5.7,50,0.11,0.25,2.6,3.4,4.4,1.6,-5418,-6,
,S,Mounie,HUD,F,5.8,57,0.07,0.21,2.4,3.2,4.2,0.2,-428,-3,
,W,Zaha,CRY,F,6.7,86,0.16,0.16,3.1,3.1,2.4,11.1,-7349,-1,
,A,Pérez,NEW,F,6.1,79,0.11,0.1,2.7,2.6,1.6,1.0,241,0,
