O,I,web_name,team,T,VA/M,pt,g,p/g,min,m/g,price,%,net_trans,1130 23
,K,Gibbs,WBA,D,0.0,22,11,2.0,916,83,5.0,0.4,855,
,N,Aké,BOU,D,0.79,43,14,3.1,1252,89,4.9,4.1,802,
,R,Shawcross,STK,D,0.54,24,9,2.7,810,90,4.8,0.9,782,
,S,Rondón,WBA,F,0.0,26,13,2.0,788,61,6.0,0.9,737,
,J,Gudmundsson,BUR,M,0.8,36,13,2.8,884,68,5.0,0.2,643,
,C,Clark,NEW,D,1.5,39,11,3.5,935,85,4.5,2.1,630,
,J,Ward,CRY,D,-0.23,22,13,1.7,1124,86,4.8,0.3,617,
,J,Cork,BUR,M,1.5,41,14,2.9,1260,90,4.6,3.7,568,
,R,Bertrand,SOU,D,0.74,47,14,3.4,1255,90,5.4,8.4,459,
,S,Malone,HUD,D,0.37,16,7,2.3,379,54,4.3,0.3,438,
,S,Boufal,SOU,M,0.29,25,10,2.5,499,50,5.7,0.2,406,
,H,Gomes,WAT,G,1.3,46,14,3.3,1228,88,4.5,2.2,372,
,J,Schlupp,CRY,D,-0.25,20,12,1.7,957,80,4.7,0.2,204,
,K,Zouma,STK,D,0.3,34,13,2.6,1170,90,5.5,2.4,168,
,W,Bony,SWA,F,-0.24,11,7,1.6,393,56,5.7,0.2,159,
,S,Francis,BOU,D,-0.11,21,11,1.9,892,81,4.4,1.2,100,
,C,Benteke,CRY,F,-0.17,13,9,1.4,671,75,7.6,2.1,93,
,D,Lovren,LIV,D,0.44,28,10,2.8,665,66,5.3,0.7,88,
,V,Moses,CHE,D,0.45,23,7,3.3,485,69,6.4,0.6,69,
,S,Long,SOU,F,-0.12,23,13,1.8,670,52,5.7,0.4,67,
,W,Hoedt,SOU,D,0.07,15,7,2.1,630,90,5.0,0.0,33,
,V,Iborra,LEI,M,0.5,23,8,2.9,642,80,5.8,0.1,29,
~,~,~~~~~~~~,~~~~,~,~~~~,~~,~,~~~,~~~,~~~,~~~~~,~,15.79,~~~~~~~
,B,Martins Indi,STK,D,-1.0,4,7,0.6,436,62,4.9,0.0,2,
,M,Olsson,SWA,D,1.0,42,12,3.5,1076,90,5.0,0.3,-3,
,A,Carrillo,WAT,M,0.07,25,12,2.1,630,52,5.5,0.0,-8,
,E,Pieters,STK,D,-0.29,23,14,1.6,1258,90,4.9,0.5,-12,
,D,Gosling,BOU,M,-0.5,11,7,1.6,367,52,4.8,0.1,-13,
,D,Williams,HUD,M,-0.89,12,10,1.2,519,52,4.9,0.0,-21,
,S,Ki Sung-yueng,SWA,M,-0.44,11,7,1.6,442,63,4.9,0.0,-23,
,D,Welbeck,ARS,F,0.58,31,8,3.9,488,61,7.3,0.8,-33,
,M,Lemina,SOU,M,0.2,20,9,2.2,674,75,5.0,0.1,-33,
,J,Livermore,WBA,M,0.22,29,13,2.2,1060,82,4.9,0.2,-40,
,M,Pugh,BOU,M,-0.25,18,10,1.8,596,60,4.8,0.1,-63,
,P,Pogba,MUN,M,1.32,51,7,7.3,609,87,8.0,16.8,-71,
,T,Davies,EVE,M,-0.33,21,13,1.6,662,51,5.2,0.5,-92,
,K,Walker,MCI,D,0.84,61,13,4.7,1123,86,6.7,15.5,-92,
,S,Clucas,SWA,M,0.33,21,9,2.3,582,65,4.9,0.0,-94,
,M,Noble,WHU,M,-0.07,15,8,1.9,611,76,5.4,0.1,-114,
,D,Pröpper,BHA,M,0.57,39,14,2.8,1260,90,5.4,0.1,-121,
,M,Merino,NEW,M,0.4,26,11,2.4,709,64,5.0,0.1,-125,
,E,Kachunga,HUD,M,0.22,31,13,2.4,967,74,5.8,0.2,-131,
,I,Gueye,EVE,M,-0.25,25,14,1.8,1189,85,4.8,0.9,-143,
,H,Arter,BOU,M,0.33,23,10,2.3,787,79,4.9,0.5,-186,
,F,Lejeune,NEW,D,-0.56,12,8,1.5,663,83,4.4,0.2,-214,
,M,Antonio,WHU,M,0.24,28,10,2.8,690,69,7.4,0.2,-226,
,M,Arnautovic,WHU,M,-0.29,12,10,1.2,568,57,6.8,0.5,-232,
,F,Delph,MCI,M,2.2,28,9,3.1,740,82,4.5,1.0,-233,
,L,Fer,SWA,M,-0.15,24,13,1.8,912,70,5.3,0.2,-241,
,A,Adam Smith,BOU,D,-0.15,24,13,1.8,956,74,4.8,0.5,-247,
,I,Hayden,NEW,M,-0.2,25,13,1.9,883,68,4.5,0.3,-268,
,M,Schneiderlin,EVE,M,-0.57,14,9,1.6,734,82,4.7,0.5,-269,
,T,Smith,HUD,D,0.23,25,11,2.3,934,85,4.8,0.3,-285,
,J,Hendrick,BUR,M,1.14,40,11,3.6,863,78,5.4,0.3,-311,
,S,Arfield,BUR,M,0.78,19,7,2.7,496,71,4.9,0.2,-334,
,Y,Cabaye,CRY,M,0.29,29,12,2.4,952,79,5.4,0.3,-334,
,A,Ogbonna,WHU,D,-1.63,6,9,0.7,810,90,4.3,0.7,-341,
,S,Mounie,HUD,F,0.35,23,9,2.6,518,58,5.7,0.8,-387,
,P,Billing,HUD,M,-0.6,12,7,1.7,420,60,4.5,0.3,-395,
,G,Cameron,STK,D,-0.13,13,7,1.9,563,80,4.3,0.3,-397,
,J,Ibe,BOU,M,0.22,28,13,2.2,710,55,4.9,0.4,-403,
,P,van Aanholt,CRY,D,-0.69,7,8,0.9,588,74,5.1,0.9,-411,
,S,Defour,BUR,M,0.4,36,14,2.6,1170,84,5.5,0.3,-420,
,R,van La Parra,HUD,M,-0.38,22,13,1.7,750,58,4.8,0.1,-434,
,J,Puncheon,CRY,M,-1.33,11,9,1.2,554,62,4.6,0.4,-459,
,R,Sobhi,STK,M,0.0,18,9,2.0,496,55,4.6,0.4,-461,
,K,Wimmer,STK,D,-0.56,12,8,1.5,675,84,4.4,0.4,-503,
,L,Depoitre,HUD,F,0.92,34,11,3.1,812,74,5.2,0.6,-506,
,M,Dembélé,TOT,M,-0.33,15,9,1.7,519,58,4.9,1.6,-514,
,A,Townsend,CRY,M,0.29,35,14,2.5,1215,87,5.7,0.9,-534,
,A,Mawson,SWA,D,1.0,49,14,3.5,1260,90,5.0,1.2,-542,
,J,Evans,WBA,D,-0.21,19,11,1.7,931,85,4.9,0.7,-547,
,V,van Dijk,SOU,D,0.11,20,9,2.2,723,80,5.4,2.0,-552,
,M,Diouf,STK,F,1.07,47,13,3.6,1148,88,5.5,5.3,-555,
,D,Sánchez,TOT,D,0.6,38,11,3.5,901,82,6.0,0.7,-570,
,J,Hogg,HUD,M,-0.5,16,9,1.8,645,72,4.4,0.4,-585,
,H,Bellerín,ARS,D,0.83,56,14,4.0,1260,90,5.9,9.6,-633,
,J,Shelvey,NEW,M,-0.31,18,11,1.6,730,66,5.3,0.4,-651,
,L,Milivojevic,CRY,M,0.33,29,13,2.2,1009,78,4.6,0.4,-659,
,L,Lewis Cook,BOU,M,-1.0,11,7,1.6,373,53,4.4,0.9,-664,
,D,Tadic,SOU,M,0.52,42,13,3.2,1023,79,6.3,1.9,-672,
,T,Fosu-Mensah,CRY,D,-0.78,12,9,1.3,701,78,4.4,0.9,-707,
,T,Ince,HUD,M,0.38,34,13,2.6,1161,89,5.6,0.5,-710,
,P,Cech,ARS,G,1.21,60,14,4.3,1260,90,5.4,5.3,-740,
,M,Ritchie,NEW,M,1.12,55,14,3.9,1220,87,5.7,3.1,-746,
,M,Sissoko,TOT,M,0.14,28,13,2.2,651,50,5.4,0.5,-775,
,S,March,BHA,M,0.4,33,14,2.4,825,59,5.0,0.4,-815,
,W,Reid,WHU,D,0.29,26,11,2.4,976,89,4.9,0.8,-832,
,G,Krychowiak,WBA,M,0.6,26,10,2.6,729,73,5.0,0.3,-857,
,D,Fletcher,STK,M,0.78,38,14,2.7,1254,90,4.9,0.7,-891,
,A,Nyom,WBA,D,0.5,30,11,2.7,856,78,4.9,1.5,-891,
,D,Stephens,BHA,M,1.2,36,14,2.6,1260,90,4.5,1.6,-905,
,J,Allen,STK,M,0.17,28,13,2.2,1163,89,5.2,1.3,-909,
