O,I,web_name,team,T,VA/M,pt,g,p/g,min,m/g,price,%,net_trans,1130 23
,Y,Cabaye,CRY,M,0.29,29,12,2.4,952,79,5.4,0.3,-334,
,G,Barry,WBA,M,0.8,31,13,2.4,1096,84,4.5,1.4,-1185,
,E,Kachunga,HUD,M,0.22,31,13,2.4,967,74,5.8,0.2,-131,
,O,Oriol Romeu,SOU,M,1.0,31,13,2.4,1124,86,4.4,2.6,1907,
,M,Merino,NEW,M,0.4,26,11,2.4,709,64,5.0,0.1,-125,
,H,Arter,BOU,M,0.33,23,10,2.3,787,79,4.9,0.5,-186,
,S,Clucas,SWA,M,0.33,21,9,2.3,582,65,4.9,0.0,-94,
,J,Ibe,BOU,M,0.22,28,13,2.2,710,55,4.9,0.4,-403,
,L,Milivojevic,CRY,M,0.33,29,13,2.2,1009,78,4.6,0.4,-659,
,J,Allen,STK,M,0.17,28,13,2.2,1163,89,5.2,1.3,-909,
,M,Sissoko,TOT,M,0.14,28,13,2.2,651,50,5.4,0.5,-775,
,J,Livermore,WBA,M,0.22,29,13,2.2,1060,82,4.9,0.2,-40,
,M,Lemina,SOU,M,0.2,20,9,2.2,674,75,5.0,0.1,-33,
,J,McArthur,CRY,M,0.25,21,10,2.1,591,59,4.4,2.4,-2376,
,E,Dier,TOT,M,0.13,30,14,2.1,1156,83,4.8,2.8,-2771,
,A,Carrillo,WAT,M,0.07,25,12,2.1,630,52,5.5,0.0,-8,
,R,Sobhi,STK,M,0.0,18,9,2.0,496,55,4.6,0.4,-461,
,M,Noble,WHU,M,-0.07,15,8,1.9,611,76,5.4,0.1,-114,
,I,Hayden,NEW,M,-0.2,25,13,1.9,883,68,4.5,0.3,-268,
,M,Pugh,BOU,M,-0.25,18,10,1.8,596,60,4.8,0.1,-63,
,I,Gueye,EVE,M,-0.25,25,14,1.8,1189,85,4.8,0.9,-143,
,J,Hogg,HUD,M,-0.5,16,9,1.8,645,72,4.4,0.4,-585,
,L,Fer,SWA,M,-0.15,24,13,1.8,912,70,5.3,0.2,-241,
,R,Sanches,SWA,M,-0.29,14,8,1.8,502,63,4.7,0.5,-1080,
,R,van La Parra,HUD,M,-0.38,22,13,1.7,750,58,4.8,0.1,-434,
,P,Billing,HUD,M,-0.6,12,7,1.7,420,60,4.5,0.3,-395,
,M,Dembélé,TOT,M,-0.33,15,9,1.7,519,58,4.9,1.6,-514,
,D,Gosling,BOU,M,-0.5,11,7,1.6,367,52,4.8,0.1,-13,
,L,Lewis Cook,BOU,M,-1.0,11,7,1.6,373,53,4.4,0.9,-664,
,M,Schneiderlin,EVE,M,-0.57,14,9,1.6,734,82,4.7,0.5,-269,
,T,Davies,EVE,M,-0.33,21,13,1.6,662,51,5.2,0.5,-92,
,J,Shelvey,NEW,M,-0.31,18,11,1.6,730,66,5.3,0.4,-651,
,S,Ki Sung-yueng,SWA,M,-0.44,11,7,1.6,442,63,4.9,0.0,-23,
,J,Puncheon,CRY,M,-1.33,11,9,1.2,554,62,4.6,0.4,-459,
,D,Williams,HUD,M,-0.89,12,10,1.2,519,52,4.9,0.0,-21,
,M,Arnautovic,WHU,M,-0.29,12,10,1.2,568,57,6.8,0.5,-232,
