W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,120410
 ,D,Yedlin          ,NEW ,D,0.18 ,0.24 ,2.8,3.1 ,1.3 ,92 ,4.5  ,1.5 ,-3607  ,-4 ,      
 ,J,Seri            ,FUL ,M,0.19 ,0.23 ,3.0,3.2 ,1.8 ,86 ,5.2  ,2.2 ,-3613  ,-3 ,      
 ,A,Pérez           ,NEW ,F,0.1  ,0.05 ,2.6,2.3 ,2.0 ,82 ,6.1  ,1.2 ,-3670  ,-5 ,      
 ,A,Lennon          ,BUR ,M,0.16 ,0.2  ,2.8,3.0 ,2.0 ,86 ,5.0  ,0.9 ,-3771  ,-7 ,      
 ,A,Adam Smith      ,BOU ,D,0.24 ,0.29 ,3.1,3.3 ,0.3 ,77 ,4.5  ,0.6 ,-3982  ,-11,      
 ,F,Fernandinho     ,MCI ,M,0.26 ,0.28 ,3.4,3.5 ,2.3 ,98 ,5.4  ,5.4 ,-4033  ,-1 ,      
 ,W,Hughes          ,WAT ,M,0.12 ,0.16 ,2.6,2.8 ,1.7 ,86 ,5.0  ,1.2 ,-4410  ,-6 ,      
 ,T,Deeney          ,WAT ,F,0.19 ,0.22 ,3.1,3.3 ,1.3 ,71 ,5.9  ,2.5 ,-4461  ,-3 ,      
 ,A,Knockaert       ,BHA ,M,0.24 ,0.33 ,3.3,3.8 ,2.7 ,69 ,5.5  ,1.0 ,-4732  ,-8 ,      
 ,A,McCarthy        ,SOU ,G,0.31 ,0.33 ,3.4,3.5 ,2.7 ,100,4.5  ,3.3 ,-4763  ,-2 ,      
 ,C,Paterson        ,CAR ,M,0.28 ,0.38 ,3.5,4.0 ,5.0 ,69 ,5.3  ,1.4 ,-4851  ,-6 ,      
 ,A,Doucouré        ,WAT ,M,0.2  ,0.22 ,3.2,3.3 ,2.0 ,100,5.9  ,1.4 ,-4972  ,-6 ,      
 ,S,Rondón          ,NEW ,F,0.19 ,0.46 ,3.1,4.6 ,5.3 ,45 ,5.7  ,1.5 ,-5217  ,-6 ,      
 ,N,Etheridge       ,CAR ,G,0.33 ,0.33 ,3.5,3.5 ,2.7 ,100,4.5  ,5.7 ,-5289  ,-2 ,      
 ,V,Lindelöf        ,MUN ,D,0.02 ,0.04 ,2.1,2.2 ,2.7 ,78 ,4.8  ,0.9 ,-5956  ,-11,      
 ,H,Bellerín        ,ARS ,D,0.19 ,0.24 ,3.0,3.3 ,1.3 ,96 ,5.4  ,10.4,-6227  ,-1 ,      
 ,B,Mee             ,BUR ,D,0.06 ,0.1  ,2.3,2.5 ,2.7 ,100,4.8  ,2.1 ,-6343  ,-5 ,      
 ,M,Ryan            ,BHA ,G,0.37 ,0.39 ,3.7,3.8 ,2.0 ,100,4.6  ,6.0 ,-6497  ,-2 ,      
 ,A,Young           ,MUN ,D,-0.02,0.02 ,1.9,2.1 ,2.0 ,71 ,5.7  ,1.2 ,-6777  ,-10,      
 ,J,Tarkowski       ,BUR ,D,0.13 ,0.17 ,2.6,2.8 ,0.0 ,73 ,4.7  ,4.2 ,-7448  ,-3 ,      
 ,B,Foster          ,WAT ,G,0.2  ,0.24 ,2.9,3.1 ,2.0 ,100,4.5  ,4.0 ,-7508  ,-3 ,      
 ,P,Højbjerg        ,SOU ,M,0.18 ,0.22 ,2.8,3.0 ,1.0 ,77 ,4.5  ,4.2 ,-8180  ,-3 ,      
o,M,Alonso          ,CHE ,D,0.65 ,0.66 ,6.6,6.7 ,5.3 ,99 ,7.1  ,48.0,-8956  ,0  ,      
 ,C,Smalling        ,MUN ,D,0.18 ,0.18 ,3.0,3.0 ,2.3 ,79 ,5.7  ,1.7 ,-9758  ,-10,      
m,E,Ederson         ,MCI ,G,0.52 ,0.55 ,5.0,5.2 ,3.3 ,100,5.8  ,26.5,-9956  ,-1 ,      
 ,R,Bertrand        ,SOU ,D,0.17 ,0.17 ,2.8,2.8 ,0.3 ,86 ,4.8  ,3.1 ,-10185 ,-6 ,      
 ,J,Moutinho        ,WOL ,M,0.19 ,0.22 ,3.0,3.2 ,1.7 ,93 ,5.4  ,2.8 ,-10225 ,-6 ,      
 ,J,Gudmundsson     ,BUR ,M,0.42 ,0.53 ,4.5,5.1 ,1.7 ,78 ,5.9  ,2.7 ,-11011 ,-7 ,      
 ,J,Jorginho        ,CHE ,M,0.16 ,0.16 ,2.8,2.8 ,2.0 ,96 ,4.9  ,8.3 ,-11899 ,-2 ,      
 ,J,Hart            ,BUR ,G,0.42 ,0.44 ,3.9,4.0 ,4.7 ,100,4.5  ,8.7 ,-12863 ,-2 ,      
 ,W,Boly            ,WOL ,D,0.3  ,0.3  ,3.4,3.4 ,1.3 ,100,4.6  ,4.8 ,-15471 ,-5 ,      
 ,J,Jonny           ,WOL ,D,0.41 ,0.5  ,3.8,4.2 ,0.7 ,80 ,4.4  ,1.7 ,-15510 ,-15,      
 ,D,De Gea          ,MUN ,G,0.16 ,0.18 ,2.9,3.0 ,3.0 ,100,5.7  ,15.5,-16794 ,-2 ,      
 ,W,Zaha            ,CRY ,F,0.22 ,0.24 ,3.5,3.6 ,1.5 ,86 ,6.7  ,14.1,-16895 ,-2 ,      
 ,G,Murray          ,BHA ,F,0.34 ,0.48 ,4.3,5.2 ,3.7 ,80 ,6.7  ,6.0 ,-19851 ,-6 ,      
 ,K,Walker          ,MCI ,D,0.54 ,0.54 ,5.5,5.5 ,2.7 ,79 ,6.5  ,14.0,-20423 ,-2 ,      
 ,E,Capoue          ,WAT ,M,0.22 ,0.28 ,3.1,3.4 ,0.3 ,93 ,5.0  ,1.0 ,-20507 ,-35,      
 ,G,Xhaka           ,ARS ,M,0.19 ,0.23 ,3.0,3.2 ,2.7 ,95 ,5.3  ,3.1 ,-21635 ,-12,      
 ,L,Shaw            ,MUN ,D,0.12 ,0.14 ,2.6,2.7 ,0.3 ,84 ,5.0  ,5.6 ,-22510 ,-7 ,      
 ,J,Holebas         ,WAT ,D,0.45 ,0.51 ,4.1,4.4 ,3.0 ,78 ,4.7  ,11.1,-22720 ,-3 ,      
 ,D,Ings            ,SOU ,F,0.37 ,0.39 ,4.0,4.1 ,2.0 ,65 ,5.4  ,3.4 ,-24277 ,-12,      
 ,R,Patrício        ,WOL ,G,0.35 ,0.35 ,3.6,3.6 ,1.7 ,100,4.6  ,9.5 ,-25928 ,-5 ,      
 ,A,Lacazette       ,ARS ,F,0.33 ,0.42 ,5.2,6.0 ,3.0 ,75 ,9.6  ,8.9 ,-26034 ,-5 ,      
 ,H,Maguire         ,LEI ,D,0.31 ,0.37 ,3.7,4.0 ,0.0 ,73 ,5.4  ,9.6 ,-26487 ,-5 ,      
 ,R,Bennett         ,WOL ,D,0.17 ,0.17 ,2.7,2.7 ,1.0 ,93 ,4.2  ,11.1,-26929 ,-4 ,      
 ,P,Pogba           ,MUN ,M,0.23 ,0.27 ,3.8,4.1 ,1.3 ,89 ,7.9  ,10.6,-28160 ,-4 ,      
 ,A,Schürrle        ,FUL ,M,0.29 ,0.32 ,3.7,3.9 ,2.8 ,81 ,5.9  ,4.5 ,-29476 ,-11,      
 ,W,Willian         ,CHE ,M,0.26 ,0.22 ,3.9,3.6 ,1.8 ,67 ,7.4  ,5.8 ,-30689 ,-9 ,      
m,R,Jiménez         ,WOL ,F,0.42 ,0.42 ,4.5,4.5 ,4.3 ,92 ,6.0  ,14.8,-32846 ,-4 ,      
 ,R,Firmino         ,LIV ,F,0.21 ,0.25 ,3.9,4.3 ,5.3 ,86 ,9.2  ,16.8,-32942 ,-3 ,      
