team,15~18_avg,15,16~19_avg,16,17~20_avg,17,18,19,20
WHU ,2.07     ,2 ,2.13     ,2 ,2.27     ,2 ,3 ,2 ,2 
BHA ,2.33     ,2 ,2.8      ,2 ,3.67     ,4 ,3 ,4 ,3 
TOT ,2.33     ,2 ,2.73     ,3 ,2.47     ,2 ,3 ,3 ,3 
LIV ,2.6      ,2 ,3.2      ,3 ,3.47     ,4 ,3 ,2 ,4 
BOU ,2.67     ,2 ,3.47     ,4 ,2.93     ,3 ,2 ,4 ,4 
LEI ,2.67     ,2 ,3.53     ,4 ,2.93     ,2 ,4 ,5 ,2 
CAR ,2.8      ,3 ,2.53     ,2 ,3.13     ,3 ,4 ,2 ,3 
EVE ,2.8      ,2 ,3.6      ,3 ,4.2      ,5 ,4 ,2 ,3 
NEW ,2.8      ,3 ,2.73     ,3 ,2.47     ,2 ,2 ,5 ,3 
ARS ,3.07     ,4 ,2.07     ,2 ,2.33     ,2 ,2 ,3 ,5 
FUL ,3.07     ,3 ,3.13     ,4 ,2.13     ,2 ,2 ,3 ,2 
HUD ,3.07     ,3 ,3.2      ,4 ,2.27     ,2 ,2 ,4 ,2 
CRY ,3.13     ,3 ,3.2      ,3 ,3.47     ,3 ,5 ,2 ,4 
MCI ,3.2      ,3 ,3.4      ,4 ,2.67     ,3 ,2 ,3 ,2 
SOU ,3.33     ,4 ,2.53     ,2 ,3.27     ,4 ,2 ,2 ,5 
WOL ,3.33     ,4 ,2.53     ,2 ,3.2      ,3 ,4 ,2 ,4 
BUR ,3.47     ,4 ,2.87     ,2 ,3.73     ,4 ,4 ,3 ,2 
MUN ,3.47     ,4 ,2.8      ,2 ,3.67     ,5 ,2 ,2 ,3 
CHE ,3.53     ,3 ,4.07     ,5 ,2.93     ,3 ,3 ,3 ,2 
WAT ,3.93     ,5 ,2.8      ,3 ,2.53     ,2 ,3 ,4 ,2 
