W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn   ,gf ,120621
 ,S,Francis         ,BOU ,D,0.09 ,0.2  ,2.4,2.9 ,1.8 ,74 ,4.4  ,0.5 ,-205  ,-1 ,      
 ,C,Löwe            ,HUD ,D,0.16 ,0.2  ,2.7,2.9 ,0.3 ,68 ,4.4  ,0.1 ,-115  ,-2 ,      
 ,C,Smalling        ,MUN ,D,0.14 ,0.18 ,2.8,3.0 ,2.0 ,80 ,5.7  ,1.7 ,-402  ,0  ,      
 ,D,Yedlin          ,NEW ,D,0.16 ,0.18 ,2.7,2.8 ,1.3 ,93 ,4.5  ,1.5 ,-165  ,0  ,      
 ,J,Tarkowski       ,BUR ,D,0.11 ,0.17 ,2.5,2.8 ,0.3 ,75 ,4.7  ,4.1 ,-1716 ,-1 ,      
 ,R,Bertrand        ,SOU ,D,0.17 ,0.17 ,2.8,2.8 ,0.3 ,80 ,4.8  ,2.9 ,-5349 ,-3 ,      
 ,R,Bennett         ,WOL ,D,0.14 ,0.17 ,2.6,2.7 ,1.3 ,93 ,4.2  ,11.0,-5173 ,-1 ,      
 ,J,Tomkins         ,CRY ,D,0.16 ,0.16 ,2.7,2.7 ,3.0 ,84 ,4.3  ,2.8 ,-1083 ,-1 ,      
 ,C,Cathcart        ,WAT ,D,0.16 ,0.16 ,2.7,2.7 ,1.3 ,99 ,4.5  ,0.9 ,-391  ,-1 ,      
 ,C,Coady           ,WOL ,D,0.13 ,0.16 ,2.6,2.7 ,1.3 ,100,4.5  ,0.6 ,-71   ,0  ,      
 ,S,Morrison        ,CAR ,D,0.15 ,0.15 ,2.7,2.7 ,3.8 ,98 ,4.7  ,0.4 ,2273  ,10 ,      
 ,T,Kongolo         ,HUD ,D,0.12 ,0.14 ,2.5,2.6 ,4.0 ,73 ,4.3  ,0.2 ,3030  ,26 ,      
 ,P,Zabaleta        ,WHU ,D,0.14 ,0.14 ,2.6,2.6 ,1.8 ,72 ,4.3  ,2.7 ,-1125 ,-1 ,      
 ,F,Balbuena        ,WHU ,D,0.14 ,0.14 ,2.6,2.6 ,2.0 ,93 ,4.4  ,1.1 ,2663  ,4  ,      
 ,W,Morgan          ,LEI ,D,0.11 ,0.13 ,2.5,2.6 ,3.8 ,70 ,4.5  ,0.9 ,97    ,0  ,      
 ,L,Shaw            ,MUN ,D,0.12 ,0.12 ,2.6,2.6 ,0.3 ,79 ,5.0  ,5.4 ,-8623 ,-3 ,      
 ,J,Bennett         ,CAR ,D,0.11 ,0.11 ,2.5,2.5 ,0.3 ,67 ,4.5  ,0.6 ,-306  ,-1 ,      
 ,S,Mustafi         ,ARS ,D,0.15 ,0.09 ,2.8,2.5 ,2.8 ,99 ,5.4  ,1.6 ,12900 ,14 ,      
 ,F,Hadergjonaj     ,HUD ,D,0.07 ,0.09 ,2.3,2.4 ,2.5 ,75 ,4.4  ,0.1 ,-24   ,0  ,      
 ,D,Rice            ,WHU ,D,0.05 ,0.09 ,2.2,2.4 ,2.5 ,77 ,4.4  ,0.4 ,1406  ,6  ,      
