O,I,web_name        ,team,T,VA/M ,pt,g ,p/g,min ,m/g,price,%   ,net_trans,1207 14
 ,C,Kabasele        ,WAT ,D,0.27 ,45,14,3.2,1139,81 ,4.5  ,1.0 ,28879    ,       
 ,A,Mawson          ,SWA ,D,0.26 ,50,15,3.3,1350,90 ,5.0  ,1.2 ,-776     ,       
 ,J,Vertonghen      ,TOT ,D,0.25 ,52,15,3.5,1319,88 ,6.1  ,8.5 ,-9828    ,       
 ,B,Bruno           ,BHA ,D,0.24 ,43,14,3.1,1172,84 ,4.5  ,0.7 ,485      ,       
 ,R,Bertrand        ,SOU ,D,0.24 ,50,15,3.3,1345,90 ,5.4  ,8.3 ,-2861    ,       
 ,F,Fernández       ,SWA ,D,0.24 ,37,12,3.1,1080,90 ,4.5  ,2.1 ,-6666    ,       
 ,A,Hegazi          ,WBA ,D,0.24 ,47,15,3.1,1316,88 ,4.5  ,18.3,10563    ,       
 ,A,Christensen     ,CHE ,D,0.24 ,36,11,3.3,784 ,71 ,5.5  ,2.9 ,17609    ,       
 ,C,Dawson          ,WBA ,D,0.21 ,27,9 ,3.0,810 ,90 ,4.8  ,1.3 ,-2120    ,       
~,~,~~~~~~~~        ,~~~~,~,0.21 ,~~,~ ,~~~,~~~ ,~~~,~~~~~,~   ,~~~~~~~~~,~~~~~~~
 ,S,Steve Cook      ,BOU ,D,0.2  ,36,12,3.0,939 ,78 ,4.9  ,2.0 ,-3423    ,       
 ,N,Aké             ,BOU ,D,0.2  ,45,15,3.0,1342,89 ,4.9  ,4.2 ,500      ,       
 ,C,Löwe            ,HUD ,D,0.2  ,38,13,2.9,877 ,67 ,4.5  ,3.0 ,-5865    ,       
 ,M,Zanka           ,HUD ,D,0.2  ,43,15,2.9,1350,90 ,4.5  ,6.6 ,-4526    ,       
 ,S,Prödl           ,WAT ,D,0.19 ,14,5 ,2.8,365 ,73 ,4.3  ,0.2 ,274      ,       
 ,A,Nyom            ,WBA ,D,0.18 ,35,12,2.9,946 ,79 ,4.9  ,1.5 ,-760     ,       
 ,C,Cédric          ,SOU ,D,0.17 ,39,14,2.8,1248,89 ,4.8  ,4.9 ,-26434   ,       
 ,D,Sánchez         ,TOT ,D,0.17 ,36,12,3.0,952 ,79 ,6.0  ,0.5 ,-8358    ,       
 ,B,Chilwell        ,LEI ,D,0.16 ,19,7 ,2.7,478 ,68 ,4.3  ,0.4 ,2616     ,       
 ,A,Williams        ,EVE ,D,0.15 ,33,12,2.8,933 ,78 ,5.2  ,2.3 ,1489     ,       
 ,C,Schindler       ,HUD ,D,0.15 ,38,14,2.7,1226,88 ,4.6  ,2.9 ,-1682    ,       
 ,L,Baines          ,EVE ,D,0.14 ,36,13,2.8,1099,85 ,5.7  ,4.1 ,-10059   ,       
 ,J,Holebas         ,WAT ,D,0.14 ,30,11,2.7,904 ,82 ,4.9  ,0.5 ,-1111    ,       
 ,A,Cresswell       ,WHU ,D,0.14 ,38,14,2.7,1134,81 ,5.0  ,0.7 ,-608     ,       
 ,D,Simpson         ,LEI ,D,0.13 ,39,15,2.6,1333,89 ,4.5  ,3.9 ,5631     ,       
 ,D,Lovren          ,LIV ,D,0.13 ,30,11,2.7,755 ,69 ,5.3  ,0.8 ,1091     ,       
 ,R,Shawcross       ,STK ,D,0.13 ,26,10,2.6,900 ,90 ,4.8  ,0.9 ,-428     ,       
 ,J,Kenny           ,EVE ,D,0.12 ,20,8 ,2.5,644 ,80 ,4.3  ,0.8 ,8302     ,       
 ,V,Kompany         ,MCI ,D,0.12 ,16,6 ,2.7,529 ,88 ,5.8  ,2.3 ,-1881    ,       
 ,G,Cahill          ,CHE ,D,0.11 ,30,11,2.7,774 ,70 ,6.2  ,3.4 ,-3102    ,       
 ,K,Zouma           ,STK ,D,0.11 ,36,14,2.6,1260,90 ,5.5  ,2.4 ,-1751    ,       
 ,W,Morgan          ,LEI ,D,0.11 ,38,15,2.5,1350,90 ,4.5  ,2.9 ,7676     ,       
