team,16~19_avg,16,17~20_avg,17,18~21_avg,18,19,20,21
ARS,2.07,2,2.33,2,2.67,2,3,5,2
WHU,2.13,2,2.27,2,2.53,3,2,2,2
CAR,2.53,2,3.13,3,3.33,4,2,3,4
SOU,2.53,2,3.27,4,2.53,2,2,5,4
WOL,2.53,2,3.2,3,3.33,4,2,4,2
NEW,2.73,3,2.47,2,3.07,2,5,3,4
TOT,2.73,3,2.47,2,2.93,3,3,3,2
BHA,2.8,2,3.67,4,3.27,3,4,3,3
MUN,2.8,2,3.67,5,2.13,2,2,3,2
WAT,2.8,3,2.53,2,3.13,3,4,2,3
BUR,2.87,2,3.73,4,3.33,4,3,2,2
FUL,3.13,4,2.13,2,2.4,2,3,2,4
CRY,3.2,3,3.47,3,3.93,5,2,4,3
HUD,3.2,4,2.27,2,2.53,2,4,2,2
LIV,3.2,3,3.47,4,3.0,3,2,4,5
MCI,3.4,4,2.67,3,2.4,2,3,2,4
BOU,3.47,4,2.93,3,2.87,2,4,4,3
LEI,3.53,4,2.93,2,3.93,4,5,2,3
EVE,3.6,3,4.2,5,3.27,4,2,3,3
CHE,4.07,5,2.93,3,2.8,3,3,2,2
