W,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn   ,gf,120621
 ,A,Alisson   ,LIV ,G,0.53,0.54 ,5.0,5.1 ,6.3 ,100,5.7  ,20.8,9018  ,1 ,      
 ,J,Pickford  ,EVE ,G,0.48,0.5  ,4.4,4.5 ,4.5 ,100,5.0  ,15.8,2194  ,0 ,      
m,E,Ederson   ,MCI ,G,0.48,0.48 ,4.8,4.8 ,3.0 ,100,5.8  ,26.3,-12914,-1,      
o,W,Hennessey ,CRY ,G,0.47,0.47 ,4.1,4.1 ,4.8 ,100,4.5  ,6.7 ,-1032 ,0 ,      
o,L,Fabianski ,WHU ,G,0.46,0.46 ,4.1,4.1 ,5.5 ,100,4.6  ,15.0,32847 ,4 ,      
 ,K,Kepa      ,CHE ,G,0.42,0.45 ,4.3,4.5 ,4.8 ,100,5.5  ,5.5 ,-5072 ,-2,      
m,H,Lloris    ,TOT ,G,0.43,0.44 ,4.3,4.4 ,3.5 ,73 ,5.4  ,4.2 ,666   ,0 ,      
 ,J,Hart      ,BUR ,G,0.42,0.42 ,3.9,3.9 ,4.3 ,100,4.5  ,8.6 ,-2688 ,-1,      
 ,M,Ryan      ,BHA ,G,0.37,0.37 ,3.7,3.7 ,2.3 ,100,4.6  ,5.9 ,-4123 ,-1,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,0.37 ,~~~,~~~~,~~~~,~~ ,~~~~~,~   ,~~~   ,~~,~~~~~~
 ,R,Patrício  ,WOL ,G,0.33,0.35 ,3.5,3.6 ,1.8 ,100,4.6  ,9.3 ,-6321 ,-1,      
 ,M,Dubravka  ,NEW ,G,0.32,0.34 ,3.6,3.7 ,2.3 ,100,5.0  ,0.6 ,-153  ,0 ,      
 ,N,Etheridge ,CAR ,G,0.33,0.33 ,3.5,3.5 ,2.8 ,100,4.5  ,5.6 ,-2729 ,-1,      
 ,A,McCarthy  ,SOU ,G,0.29,0.31 ,3.3,3.4 ,2.5 ,100,4.5  ,3.3 ,-1709 ,-1,      
 ,K,Schmeichel,LEI ,G,0.3 ,0.28 ,3.5,3.4 ,4.8 ,100,5.0  ,5.0 ,-2033 ,-1,      
 ,A,Begovic   ,BOU ,G,0.27,0.27 ,3.2,3.2 ,2.3 ,100,4.5  ,4.0 ,-2245 ,-1,      
 ,J,Lössl     ,HUD ,G,0.25,0.25 ,3.1,3.1 ,2.8 ,86 ,4.4  ,1.6 ,19    ,0 ,      
 ,B,Foster    ,WAT ,G,0.2 ,0.2  ,2.9,2.9 ,2.0 ,100,4.5  ,3.9 ,-1887 ,-1,      
 ,D,De Gea    ,MUN ,G,0.16,0.16 ,2.9,2.9 ,2.8 ,100,5.7  ,15.4,-4361 ,0 ,      
