team,24~27_avg,24,25~28_avg,25,26~29_avg,26,27,28,29
ARS,2.8,2,3.6,5,2.2,2,2,2,5
BHA,2.4,2,2.87,3,2.67,2,4,3,2
BOU,3.53,4,3.07,2,4.27,5,3,4,4
BUR,3.33,4,2.53,2,3.07,3,4,2,2
CAR,3.13,4,2.2,2,2.47,2,3,3,3
CHE,2.93,3,2.93,2,3.87,5,2,4,2
CRY,2.2,2,2.53,2,3.07,3,3,4,2
EVE,2.53,2,3.07,3,3.2,3,4,2,4
FUL,2.33,2,2.67,2,3.47,4,3,2,4
HUD,3.33,3,3.67,4,3.27,4,2,3,3
LEI,4.53,5,3.87,4,3.67,5,2,2,3
LIV,2.93,3,2.87,3,2.73,2,4,3,3
MCI,2.87,2,3.8,4,3.53,4,3,3,3
MUN,2.4,2,2.8,3,2.53,2,4,2,2
NEW,4.0,4,3.87,5,2.6,3,2,2,3
SOU,2.13,2,2.27,2,2.67,2,4,2,4
TOT,2.67,3,2.4,2,2.93,3,2,4,4
WAT,4.0,5,3.0,3,3.0,3,2,5,3
WHU,3.07,3,3.27,4,2.4,2,2,5,2
WOL,2.87,3,2.67,3,2.27,2,3,2,2
