O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,011921
 ,W,Hennessey       ,CRY ,G,0.44 ,0.44 ,3.9,3.9 ,3.4 ,1080,4.3  ,1.2 ,8359   ,      
 ,J,Gomez           ,LIV ,D,0.32 ,0.38 ,3.5,3.8 ,1.2 ,1451,4.7  ,5.9 ,8298   ,      
 ,J,McArthur        ,CRY ,M,0.19 ,0.3  ,2.8,3.3 ,2.8 ,1116,4.3  ,3.2 ,7581   ,      
 ,J,Wilshere        ,ARS ,M,0.09 ,0.24 ,2.5,3.3 ,3.4 ,716 ,5.4  ,1.0 ,7371   ,      
 ,A,Cresswell       ,WHU ,D,0.25 ,0.27 ,3.3,3.4 ,2.4 ,1749,5.1  ,3.9 ,7151   ,      
 ,B,Foster          ,WBA ,G,0.34 ,0.34 ,3.5,3.5 ,4.2 ,1980,4.4  ,9.5 ,7052   ,      
 ,T,Carroll         ,SWA ,M,0.12 ,0.16 ,2.5,2.7 ,2.6 ,1780,4.3  ,5.1 ,6773   ,      
 ,J,Ward-Prowse     ,SOU ,M,0.12 ,0.44 ,2.6,4.2 ,4.2 ,937 ,5.0  ,0.5 ,6708   ,      
 ,A,Hegazi          ,WBA ,D,0.26 ,0.26 ,3.2,3.2 ,3.4 ,2036,4.6  ,19.2,6657   ,      
 ,A,Gray            ,WAT ,F,0.13 ,0.33 ,2.8,4.1 ,3.2 ,1192,6.3  ,1.9 ,6347   ,      
 ,A,Martial         ,MUN ,M,0.34 ,0.45 ,4.7,5.6 ,5.8 ,988 ,8.0  ,2.6 ,6315   ,      
 ,A,Masuaku         ,WHU ,D,0.02 ,0.04 ,2.1,2.2 ,1.4 ,1233,4.5  ,2.4 ,4938   ,      
 ,D,Danilo          ,MCI ,D,0.44 ,0.68 ,4.2,5.4 ,4.4 ,740 ,5.0  ,2.7 ,4631   ,      
 ,M,Holgate         ,EVE ,D,0.19 ,0.19 ,2.8,2.8 ,1.2 ,1080,4.3  ,2.0 ,4428   ,      
 ,S,Aurier          ,TOT ,D,0.37 ,0.42 ,4.2,4.5 ,4.2 ,906 ,5.9  ,0.9 ,4282   ,      
 ,C,Martina         ,EVE ,D,0.16 ,0.2  ,2.7,2.9 ,2.6 ,1290,4.4  ,2.0 ,4141   ,      
 ,T,Alexander-Arnold,LIV ,D,0.6  ,0.6  ,4.5,4.5 ,3.8 ,709 ,4.2  ,2.9 ,4104   ,      
