W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,012910
,H,Kane,TOT,F,12.4,91,0.32,0.34,6.0,6.2,4.7,14.2,-156374,-18,
,G,Jesus,MCI,F,10.1,38,0.13,0.41,3.3,6.1,4.3,2.6,-41934,-26,
,S,Agüero,MCI,F,11.3,65,0.31,0.35,5.5,5.9,4.0,25.0,-901,0,
,A,Lacazette,ARS,F,9.3,70,0.29,0.41,4.7,5.8,5.3,6.7,46190,11,
,C,Wilson,BOU,F,6.5,83,0.52,0.55,5.4,5.6,4.3,21.5,-52697,-4,
o,M,Rashford,MUN,F,7.7,65,0.35,0.47,4.7,5.6,9.5,40.0,233992,10,
o,P,Aubameyang,ARS,F,11.3,88,0.35,0.28,5.9,5.2,4.3,32.2,-17647,-1,
,M,Arnautovic,WHU,F,6.9,60,0.41,0.45,4.8,5.1,5.0,7.3,-18812,-4,
m,R,Firmino,LIV,F,9.3,86,0.31,0.32,4.9,5.0,6.0,22.4,31071,2,
o,D,Ings,SOU,F,5.5,55,0.44,0.51,4.4,4.8,1.0,5.8,30591,9,
m,R,Jiménez,WOL,F,6.5,90,0.37,0.42,4.4,4.7,2.7,24.6,45960,3,
~,~,~~~~~~~~,~~~~,~,~~,~~,~~~~,~~~~~,~~~,4.69,~~~~,~,~~~,~~,~~~~~~
,J,Vardy,LEI,F,8.8,70,0.27,0.25,4.4,4.2,5.0,4.0,-27313,-11,
,J,King,BOU,F,6.3,81,0.32,0.33,4.0,4.1,3.5,2.4,-7369,-5,
,G,Murray,BHA,F,6.3,69,0.21,0.32,3.3,4.0,1.7,2.2,-3197,-2,
,A,Mitrovic,FUL,F,6.5,98,0.29,0.31,3.9,4.0,1.7,14.1,-37519,-4,
m,D,Calvert-Lewin,EVE,F,5.3,38,0.08,0.36,2.4,3.9,2.7,1.9,-4968,-4,
,T,Deeney,WAT,F,6.0,79,0.23,0.3,3.4,3.8,6.3,5.7,-33843,-10,
m,S,Long,SOU,F,4.7,32,0.02,0.36,2.1,3.7,4.3,2.5,7357,5,
,W,Zaha,CRY,F,6.7,87,0.18,0.18,3.2,3.2,4.0,11.3,19537,3,
,A,Pérez,NEW,F,6.1,80,0.15,0.13,2.9,2.8,3.7,1.0,145,0,
