team,24~28_avg,24,25~29_avg,25,26,27,28,29
STK,2.03,2,2.06,2,2,2,3,2
WHU,2.06,2,2.13,2,2,2,4,2
CHE,2.1,2,2.29,2,2,2,5,5
ARS,2.23,2,2.45,2,2,4,5,2
LIV,2.26,2,2.52,2,4,2,2,2
MCI,2.26,2,2.58,2,3,3,4,4
LEI,2.45,2,2.9,3,2,5,2,2
BOU,2.52,2,3.06,4,2,2,2,3
EVE,2.52,2,3.06,3,4,2,2,3
WAT,2.77,3,2.52,2,4,2,2,2
HUD,2.9,2,3.87,4,5,2,2,4
TOT,2.9,2,3.81,4,4,4,2,2
BHA,3.03,4,2.06,2,2,2,2,4
MUN,3.1,3,3.16,4,2,2,4,2
CRY,3.16,4,2.32,2,2,3,4,4
SOU,3.19,4,2.32,2,2,4,3,2
BUR,3.42,4,2.77,2,5,2,2,2
WBA,3.42,3,3.81,5,2,4,2,2
SWA,3.74,4,3.42,4,3,3,2,2
NEW,3.94,5,2.84,3,2,4,2,4
