O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,011921
 ,M,Suttner         ,BHA ,D,0.26 ,0.26 ,3.1,3.1 ,2.0 ,1080,4.3  ,0.5 ,-887  ,      
 ,A,Hegazi          ,WBA ,D,0.26 ,0.26 ,3.2,3.2 ,3.4 ,2036,4.6  ,19.2,6657  ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,0.26 ,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,~~~   ,~~~~~~
 ,A,Williams        ,EVE ,D,0.17 ,0.25 ,2.9,3.3 ,1.6 ,1428,5.2  ,2.8 ,-7937 ,      
 ,S,Duffy           ,BHA ,D,0.24 ,0.24 ,3.1,3.1 ,2.0 ,1962,4.6  ,4.1 ,-4601 ,      
 ,J,Kenny           ,EVE ,D,0.22 ,0.24 ,3.0,3.1 ,2.6 ,1274,4.6  ,5.7 ,-13057,      
 ,J,Evans           ,WBA ,D,0.2  ,0.24 ,3.0,3.2 ,4.8 ,1734,4.9  ,1.7 ,36772 ,      
 ,S,Steve Cook      ,BOU ,D,0.15 ,0.23 ,2.7,3.1 ,2.8 ,1513,4.7  ,1.2 ,-991  ,      
 ,C,Fuchs           ,LEI ,D,0.17 ,0.23 ,2.8,3.1 ,1.8 ,1368,4.8  ,2.1 ,992   ,      
 ,C,Schindler       ,HUD ,D,0.22 ,0.22 ,3.0,3.0 ,2.6 ,1946,4.6  ,3.7 ,-7873 ,      
 ,K,Naughton        ,SWA ,D,0.22 ,0.22 ,3.0,3.0 ,0.8 ,1876,4.5  ,2.9 ,-7972 ,      
 ,C,Daniels         ,BOU ,D,0.21 ,0.21 ,3.0,3.0 ,0.6 ,1737,4.7  ,6.1 ,-8778 ,      
 ,C,Martina         ,EVE ,D,0.16 ,0.2  ,2.7,2.9 ,2.6 ,1290,4.4  ,2.0 ,4141  ,      
 ,D,Sánchez         ,TOT ,D,0.18 ,0.2  ,3.1,3.2 ,3.2 ,1370,6.0  ,0.5 ,-360  ,      
 ,M,Holgate         ,EVE ,D,0.19 ,0.19 ,2.8,2.8 ,1.2 ,1080,4.3  ,2.0 ,4428  ,      
 ,R,Bertrand        ,SOU ,D,0.19 ,0.19 ,3.0,3.0 ,0.4 ,1795,5.3  ,4.8 ,-5196 ,      
 ,A,Nyom            ,WBA ,D,0.13 ,0.19 ,2.6,2.9 ,0.6 ,1330,4.8  ,1.2 ,-1461 ,      
 ,K,Gibbs           ,WBA ,D,0.18 ,0.18 ,2.9,2.9 ,4.0 ,1716,5.0  ,0.5 ,972   ,      
 ,M,Zanka           ,HUD ,D,0.17 ,0.17 ,2.8,2.8 ,1.8 ,2070,4.6  ,7.3 ,-21876,      
 ,L,Baines          ,EVE ,D,0.14 ,0.16 ,2.8,2.9 ,0.0 ,1099,5.6  ,3.0 ,-3070 ,      
 ,A,Mawson          ,SWA ,D,0.16 ,0.16 ,2.8,2.8 ,1.2 ,2070,5.0  ,1.0 ,-2534 ,      
 ,M,Olsson          ,SWA ,D,0.16 ,0.16 ,2.8,2.8 ,1.0 ,1886,5.0  ,0.2 ,-367  ,      
 ,N,Aké             ,BOU ,D,0.14 ,0.14 ,2.7,2.7 ,2.8 ,2002,4.9  ,4.0 ,-2044 ,      
 ,L,Dunk            ,BHA ,D,0.13 ,0.13 ,2.6,2.6 ,3.2 ,2070,4.5  ,3.8 ,-6186 ,      
 ,W,Reid            ,WHU ,D,0.13 ,0.13 ,2.6,2.6 ,1.0 ,1426,4.8  ,0.7 ,-1660 ,      
 ,J,Holebas         ,WAT ,D,0.06 ,0.1  ,2.3,2.5 ,0.4 ,1211,4.8  ,0.4 ,-1057 ,      
 ,P,Zabaleta        ,WHU ,D,0.1  ,0.1  ,2.5,2.5 ,1.4 ,1939,4.9  ,2.3 ,-731  ,      
 ,C,Cédric          ,SOU ,D,0.09 ,0.09 ,2.4,2.4 ,0.0 ,1444,4.7  ,2.5 ,-1693 ,      
 ,F,Fernández       ,SWA ,D,0.09 ,0.09 ,2.4,2.4 ,0.6 ,1530,4.4  ,1.5 ,-2484 ,      
 ,C,Kabasele        ,WAT ,D,0.09 ,0.09 ,2.4,2.4 ,0.8 ,1859,4.6  ,1.7 ,-11653,      
 ,J,Manquillo       ,NEW ,D,0.09 ,0.09 ,2.4,2.4 ,1.6 ,1620,4.4  ,1.0 ,-3988 ,      
 ,R,Shawcross       ,STK ,D,0.06 ,0.08 ,2.3,2.4 ,0.6 ,1291,4.8  ,0.7 ,-1157 ,      
 ,K,Zouma           ,STK ,D,0.07 ,0.07 ,2.4,2.4 ,1.2 ,1775,5.4  ,1.9 ,-73   ,      
 ,D,Simpson         ,LEI ,D,0.07 ,0.07 ,2.3,2.3 ,0.2 ,1659,4.3  ,1.7 ,-5641 ,      
 ,T,Fosu-Mensah     ,CRY ,D,0.02 ,0.07 ,2.1,2.3 ,3.4 ,1140,4.4  ,1.0 ,9447  ,      
 ,D,Yedlin          ,NEW ,D,0.07 ,0.07 ,2.3,2.3 ,3.2 ,1625,4.4  ,0.8 ,-1695 ,      
x,A,Ogbonna         ,WHU ,D,0.07 ,0.07 ,2.3,2.3 ,1.4 ,1620,4.5  ,6.1 ,-2737 ,      
 ,M,Keane           ,EVE ,D,0.04 ,0.06 ,2.2,2.3 ,3.2 ,1344,5.3  ,4.5 ,-7570 ,      
 ,W,Hoedt           ,SOU ,D,0.06 ,0.06 ,2.3,2.3 ,2.2 ,1170,5.0  ,0.1 ,-16   ,      
 ,A,Masuaku         ,WHU ,D,0.02 ,0.04 ,2.1,2.2 ,1.4 ,1233,4.5  ,2.4 ,4938  ,      
 ,A,Adam Smith      ,BOU ,D,0.0  ,0.02 ,2.0,2.1 ,2.8 ,1676,4.8  ,0.4 ,38    ,      
 ,J,Schlupp         ,CRY ,D,0.02 ,0.02 ,2.1,2.1 ,1.0 ,1560,4.7  ,0.3 ,-2642 ,      
 ,T,Smith           ,HUD ,D,0.02 ,0.02 ,2.1,2.1 ,1.4 ,1519,4.8  ,0.3 ,-506  ,      
 ,W,Morgan          ,LEI ,D,0.0  ,0.02 ,2.0,2.1 ,0.6 ,1917,4.5  ,2.1 ,-13517,      
 ,S,Dann            ,CRY ,D,-0.02,0.0  ,1.9,2.0 ,0.6 ,1434,4.7  ,0.3 ,-1662 ,      
 ,J,Ward            ,CRY ,D,-0.02,-0.02,1.9,1.9 ,0.0 ,1214,4.7  ,0.2 ,-167  ,      
 ,P,Jagielka        ,EVE ,D,-0.06,-0.04,1.7,1.8 ,1.8 ,1174,4.7  ,2.5 ,-1467 ,      
 ,E,Pieters         ,STK ,D,-0.04,-0.04,1.8,1.8 ,1.2 ,1660,4.7  ,0.3 ,-483  ,      
 ,S,Francis         ,BOU ,D,-0.12,-0.05,1.5,1.8 ,0.6 ,1612,4.3  ,0.9 ,1092  ,      
 ,G,Cameron         ,STK ,D,-0.09,-0.07,1.6,1.7 ,1.0 ,1118,4.3  ,0.3 ,366   ,      
 ,K,Wimmer          ,STK ,D,-0.21,-0.17,1.1,1.3 ,1.2 ,1321,4.2  ,0.4 ,1536  ,      
