W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,012910
,W,Ndidi,LEI,M,4.9,98,0.14,0.14,2.7,2.7,4.0,0.8,-2676,-5,
,P,Billing,HUD,M,4.5,89,0.13,0.13,2.6,2.6,1.7,1.6,-10333,-10,
,A,Pritchard,HUD,M,4.8,69,0.04,0.13,2.2,2.6,1.7,0.1,-272,-4,
,D,Stephens,BHA,M,4.4,64,0.02,0.11,2.1,2.5,4.3,3.3,-616,0,
,J,Cork,BUR,M,4.6,95,0.11,0.11,2.5,2.5,2.3,0.5,-633,-2,
,J,Jorginho,CHE,M,4.7,92,0.11,0.11,2.5,2.5,2.0,6.1,-9062,-2,
,M,Lemina,SOU,M,4.7,71,0.04,0.09,2.2,2.4,0.0,0.2,-350,-3,
,N,Mendy,LEI,M,4.5,88,0.04,0.07,2.2,2.3,1.7,1.1,-2253,-3,
,D,Pröpper,BHA,M,4.8,81,0.04,0.04,2.2,2.2,3.0,0.1,619,10,
,J,Hogg,HUD,M,4.4,69,0.02,0.05,2.1,2.2,2.0,0.3,-580,-3,
,N,Matic,MUN,M,5.0,85,0.06,0.04,2.3,2.2,2.5,0.8,-639,-1,
,M,Diamé,NEW,M,4.8,88,0.02,0.04,2.1,2.2,0.3,0.1,-167,-3,
,I,Gueye,EVE,M,4.8,82,-0.02,0.02,1.9,2.1,2.0,0.3,-17,0,
,J,Lerma,BOU,M,4.5,75,0.07,-0.02,2.3,1.9,1.8,0.3,-312,-2,
,H,Arter,CAR,M,4.9,72,-0.04,-0.02,1.8,1.9,1.3,0.2,-315,-3,
